step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,7040804655148950,7040804699789712,0.044640762,1826624012288,9069510656,5286.648108739721,201.40270865436204,40.91829822008862,203.16657354549636,False,4,sampled,106.5675,18.419205637956633,122.519,34.5,23.671361036774655,55.0,4.757254404435,43.47445967741935,1.9407330075382738
1,decode,4,59,7040804699892470,7040804743194956,0.043302486,36279418880,9069854720,92.3734494135048,4.0,0.8378137661657579,209.45344154143945,False,4,sampled,122.519,0.0,122.519,55.0,0.0,55.0,5.305377282234001,59.42595967741936,2.5732917869680163
2,decode,4,60,7040804743288780,7040804786396033,0.043107253,36280795136,9070198784,92.79180930410945,4.0,0.8416401559152935,210.41003897882337,False,5,sampled,124.3792,4.159533651745103,131.82,55.0,0.0,55.0,5.361645642337599,61.28615967741935,2.641877990612914
3,decode,4,61,7040804786483736,7040804829582972,0.043099236,36282171392,9070542848,92.80906974777929,4.0,0.8418286438302526,210.45716095756313,False,4,sampled,131.82,0.0,131.82,55.0,0.0,55.0,5.68134128952,68.72695967741934,2.9620794546995803
4,decode,4,62,7040804829665489,7040804872772978,0.043107489,36283547648,9070886912,92.79130129801808,4.0,0.8416994004916408,210.42485012291021,False,4,sampled,131.82,0.0,131.82,55.0,0.0,55.0,5.68242919998,68.72695967741934,2.962646658297798
5,decode,4,63,7040804872857741,7040804915919330,0.043061589,36284923904,9071230976,92.8902089516483,4.0,0.8426285408093046,210.65713520232615,False,4,sampled,136.224,2.936000000000007,137.692,41.5,9.0,55.0,5.866021899935999,73.13095967741934,3.1491353288046042
6,decode,4,64,7040804916008106,7040804959351325,0.043343219,36286300160,9071575040,92.28663888577357,4.0,0.8371851698416769,209.2962924604192,False,5,sampled,137.692,0.0,137.692,37.0,0.0,37.0,5.9680145105480005,74.59895967741936,3.233359046470557
7,decode,4,65,7040804959434746,7040805003569555,0.044134809,36287676416,9071919104,90.63141068538441,4.0,0.8222008260192086,205.55020650480216,False,4,sampled,131.80525,3.924500000000009,137.692,37.0,0.0,37.0,5.8171995339472495,68.71220967741935,3.0326002500808547
8,decode,4,66,7040805003667898,7040805047110954,0.043443056,36289052672,9072263168,92.07455387116413,4.0,0.8353245837953942,208.83114594884853,False,4,sampled,129.843,0.0,129.843,37.0,0.0,37.0,5.640776720208,66.74995967741934,2.8998222362638706
9,decode,4,67,7040805047195297,7040805090759234,0.043563937,36290428928,9072607232,91.81906584797422,4.0,0.833038320847815,208.25958021195376,False,5,sampled,126.93419999999999,3.983038438177563,129.843,40.2,7.155417527999327,53.0,5.5297534919453994,63.84115967741934,2.781172258194036
10,decode,4,68,7040805090841423,7040805134079832,0.043238409,36291805184,9072951296,92.51034190457841,4.0,0.8393418264765478,209.83545661913692,False,4,sampled,122.571,0.0,122.571,53.0,0.0,53.0,5.299775029539,59.47795967741935,2.571732347017766
11,decode,4,69,7040805134164228,7040805177718815,0.043554587,36293181440,9073295360,91.83877693525139,4.0,0.8332803486346916,208.3200871586729,False,4,sampled,122.571,0.0,122.571,53.0,0.0,53.0,5.3385292831769995,59.47795967741935,2.590537969352653
12,decode,4,70,7040805177802155,7040805221292460,0.043490305,36294557696,9073639424,91.9745216778774,4.0,0.834543645899931,208.63591147498275,False,5,sampled,127.131,0.0,127.131,53.0,0.0,53.0,5.528965964955,64.03795967741935,2.785030397948669
13,decode,4,71,7040805221376739,7040805264780899,0.04340416,36295933952,9073983488,92.15706512924108,4.0,0.8362316872852741,209.0579218213185,False,4,sampled,127.131,0.0,127.131,53.0,0.0,53.0,5.51801426496,64.03795967741935,2.779513847912258
