step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,480,120,7040969869713507,7040969937297292,0.067583785,2920722923520,7233454080,7102.295321281577,403.7798389562736,43.216326571824894,107.0294313939357,False,6,sampled,106.54700000000001,2.791646395946309,108.349,27.666666666666668,16.524728943818314,49.0,7.200849540395,43.58899193548388,2.9459090593344763
1,decode,4,120,7040969937408358,7040969974994359,0.037586001,29029761024,7233650688,106.42260132968123,4.013154944315719,0.7723556710382677,192.4559808317996,False,4,sampled,102.943,0.0,102.943,49.0,0.0,49.0,3.869215700943,39.98499193548387,1.5028759468720887
2,decode,4,121,7040969975091753,7040970013072651,0.037980898,29031333888,7233847296,105.31609863463471,4.013263302372039,0.7643667058109053,190.4601438333554,False,4,sampled,102.943,0.0,102.943,49.0,0.0,49.0,3.909867582814,39.98499193548387,1.5186659002324354
3,decode,4,122,7040970013159009,7040970050323286,0.037164277,29032906752,7234043904,107.6302385756085,4.013371654538413,0.7812046700652887,194.65046781348659,False,3,sampled,148.416,0.0,148.416,49.0,0.0,49.0,5.515773335232001,85.45799193548388,3.175984484154089
4,decode,4,123,7040970050407487,7040970087415646,0.037008159,29034479616,7234240512,108.08427406507846,4.013480000815322,0.7845426630381696,195.4769085379254,False,4,sampled,148.416,0.0,148.416,49.0,0.0,49.0,5.4926029261439995,85.45799193548388,3.162642953369105
5,decode,4,124,7040970087500388,7040970124491189,0.036990801,29036052480,7234437120,108.13499280537343,4.013588341203247,0.7849533315053114,195.5739514805316,False,4,sampled,135.8975,14.455118689700656,148.416,50.0,2.0,53.0,5.0269573788974995,72.93949193548389,2.698090231226589
6,decode,4,125,7040970124573146,7040970161675518,0.037102372,29037625344,7234633728,107.80981873611746,4.013696675702668,0.7826352812159826,194.99113770947042,False,3,sampled,123.379,0.0,123.379,53.0,0.0,53.0,4.577653554988,60.420991935483876,2.241762119399323
7,decode,4,126,7040970161757291,7040970198490907,0.036733616,29039198208,7234830336,108.8920840246166,4.013805004314064,0.7905347028182579,196.95393821288928,False,4,sampled,123.379,0.0,123.379,53.0,0.0,53.0,4.532156808463999,60.420991935483876,2.2194815160971615
8,decode,4,127,7040970198573614,7040970235586222,0.037012608,29040771072,7235026944,108.07128208852507,4.0139133270379155,0.7846183406475976,195.47465944577587,False,4,sampled,122.48649999999999,0.595000000000006,123.379,53.0,0.0,53.0,4.533544809792,59.52849193548386,2.203304736839226
9,decode,4,128,7040970235671064,7040970274010488,0.038339424,29042343936,7235223552,104.33124921229907,4.014021643874702,0.7575060057240297,188.71497787760194,False,4,sampled,122.189,0.0,122.189,53.0,0.0,53.0,4.684655879136,59.230991935483864,2.2708821137550963
10,decode,4,129,7040970274099677,7040970311128159,0.037028482,29043916800,7235420160,108.02495225162079,4.014129954824904,0.7843669313800117,195.4014793261036,False,3,sampled,122.18900000000001,0.0,122.189,53.0,0.0,53.0,4.524473187098001,59.23099193548388,2.1932337187252102
11,decode,4,130,7040970311212332,7040970347952054,0.036739722,29045489664,7235616768,108.87398658051903,4.014238259889002,0.790574562975735,196.94261072525262,False,4,sampled,117.972,0.0,117.972,41.0,0.0,41.0,4.334258483784,55.013991935483865,2.0211987698199194
12,decode,4,131,7040970348042906,7040970384941248,0.036898342,29047062528,7235813376,108.40595493423525,4.014346559067474,0.7872186378455704,196.10131468779815,False,4,sampled,117.972,0.0,117.972,41.0,0.0,41.0,4.3529712024239995,55.013991935483865,2.0299250892207255
13,decode,4,132,7040970385031928,7040970421704979,0.036673051,29048635392,7236009984,109.07191768691403,4.0144548523608,0.7920975920983505,197.31137133913404,False,3,sampled,118.78366666666666,1.40584790547674,120.407,41.0,0.0,41.0,4.356159465633667,55.82565860215053,2.0472972250252552
14,decode,4,133,7040970421787741,7040970458570858,0.036783117,29050208256,7236206592,108.74554214641462,4.0145631397694626,0.7897701615662426,196.72630223262485,False,4,sampled,120.407,0.0,120.407,41.0,0.0,41.0,4.428944768618999,57.44899193548387,2.1131529918949594
15,decode,4,134,7040970458653939,7040970495515242,0.036861303,29051781120,7236403200,108.51488348092307,4.014671421293938,0.7881376607875202,196.31436251724472,False,4,sampled,120.407,0.0,120.407,41.0,0.0,41.0,4.438358910321,57.44899193548387,2.117644698778427
16,decode,4,135,7040970495597954,7040970532310470,0.036712516,29053353984,7236599808,108.95466821178913,4.014779696934707,0.7913746359415954,197.11533276553425,False,3,sampled,125.63433333333332,4.527003460715852,128.248,41.0,0.0,41.0,4.612352472649333,62.67632526881719,2.3010055942526555
17,decode,4,136,7040970532394149,7040970570909937,0.038515788,29054926848,7236796416,103.85351586211867,4.01488796669225,0.7543640765703663,187.89168784499486,False,4,sampled,128.248,0.0,128.248,41.0,0.0,41.0,4.939572779424,65.28999193548387,2.5146954879088064
18,decode,4,137,7040970571016016,7040970607925994,0.036909978,29056499712,7236993024,108.37177957678543,4.014996230567045,0.7872261455154483,196.07145319891546,False,4,sampled,128.248,0.0,128.248,41.0,0.0,41.0,4.733630858544,65.28999193548387,2.4098521659588874
19,decode,4,138,7040970608013382,7040970644822801,0.036809419,29058072576,7237189632,108.66783852252598,4.015104488559572,0.7894194846161521,196.6124385717688,False,3,sampled,118.54900000000002,0.0,118.549,41.0,0.0,41.0,4.363719813031001,55.59099193548389,2.046272114778848
20,decode,4,139,7040970644905130,7040970681785122,0.036879992,29059645440,7237386240,108.45989337524801,4.015212740670312,0.787951511486228,196.2415349764718,False,4,sampled,118.549,0.0,118.549,41.0,0.0,41.0,4.372086171608,55.59099193548388,2.05019533785271
21,decode,4,140,7040970681866820,7040970719042092,0.037175272,29061218304,7237582848,107.59840573594188,4.0153209868997415,0.7817351895636432,194.68809395664945,False,4,sampled,118.84525000000001,0.592499999999994,119.734,41.0,0.0,41.0,4.418104494658,55.88724193548388,2.07762342028142
