step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,7041110915341436,7041110942227290,0.026885854,3034794491904,14153875456,8629.073117781567,214.41438433863806,112.87699813827747,526.4432164215427,False,2,sampled,194.643,0.0,194.643,34.0,25.45584412271571,52.0,5.233143280122,131.57917338709677,3.5376184451261694
1,decode,4,58,7041110942335622,7041110959080420,0.016744798,56657018880,14154104832,238.88015848265232,4.002868394185425,3.3835594123022563,845.2837013620588,False,2,sampled,194.643,0.0,194.643,52.0,0.0,52.0,3.2592577171140005,131.57917338709677,2.2032666793739115
2,decode,4,59,7041110959173509,7041110975879820,0.016706311,56658624512,14154334208,239.43047630323653,4.002916963764828,3.391450363398598,847.2447452941585,False,2,sampled,194.643,0.0,194.643,52.0,0.0,52.0,3.2517664919730005,131.57917338709677,2.198202591727762
3,decode,4,60,7041110975962258,7041110992704931,0.016742673,56660230144,14154563584,238.9104774369063,4.002965531770082,3.3841806588470074,845.4183859411219,False,1,single_sample,194.643,,194.643,52.0,,52.0,3.258844100739,131.57917338709677,2.2029870736304638
4,decode,4,61,7041110992787054,7041111009532145,0.016745091,56661835776,14154792960,238.8759786375601,4.003014098201264,3.3837878680981786,845.3100051830116,False,2,sampled,194.643,0.0,194.643,52.0,0.0,52.0,3.259314747513,131.57917338709677,2.2033052320717137
5,decode,4,62,7041111009616431,7041111026290513,0.016674082,56663441408,14155022336,239.89326668778529,4.00306266305845,3.3982945152842596,848.9236370554014,False,2,sampled,214.71550000000002,28.386801730733957,234.788,52.0,0.0,52.0,3.5801838536710004,151.6516733870968,2.5286524374936694
6,decode,4,63,7041111026373157,7041111043038519,0.016665362,56665047040,14155251712,240.01878867077716,4.003111226341717,3.4001689876283514,849.3815923110461,False,1,single_sample,234.788,,234.788,52.0,,52.0,3.912827013256,171.72417338709678,2.861845513646734
7,decode,4,64,7041111043121293,7041111059796426,0.016675133,56666652672,14155481088,239.8781466990398,4.00315978805114,3.398272905649388,848.8976422556868,False,2,sampled,234.788,0.0,234.788,52.0,0.0,52.0,3.9151211268040007,171.72417338709678,2.8635234305448996
8,decode,4,65,7041111059875780,7041111077242761,0.017366981,56668258304,14155710464,230.3221267991253,4.0032083481867975,3.262988443644868,815.0933351052782,False,2,sampled,234.788,0.0,234.788,52.0,0.0,52.0,4.077558735028,171.72417338709678,2.9823304564544153
9,decode,4,66,7041111077343726,7041111094101520,0.016757794,56669863936,14155939840,238.69490220490837,4.003256906748764,3.3817019075422454,844.7376689318415,False,1,single_sample,234.788,,234.788,52.0,,52.0,3.934528937672,171.72417338709678,2.87771832244125
10,decode,4,67,7041111094181842,7041111110849026,0.016667184,56671469568,14156169216,239.9925506312284,4.003305463737118,3.4001826324110898,849.3437893287792,False,2,sampled,234.788,0.0,234.788,52.0,0.0,52.0,3.9132547969920006,171.72417338709678,2.8621583950906455
11,decode,4,68,7041111110928987,7041111127539643,0.016610656,56673075200,14156398592,240.8092732761427,4.003354019151935,3.411850513309046,852.2480142867325,False,2,sampled,232.9935,2.537806237678518,234.788,70.0,25.45584412271571,88.0,3.8701748787360004,169.92967338709678,2.82264334882542
12,decode,4,69,7041111127625270,7041111144276502,0.016651232,56674680832,14156627968,240.22246522059152,4.003402572993292,3.403632886263311,850.1850174209333,False,1,single_sample,231.199,,231.199,88.0,,88.0,3.8497481871679997,168.13517338709678,2.7996577794287743
13,decode,4,70,7041111144359732,7041111161138703,0.016778971,56676286464,14156857344,238.3936416601471,4.003451125261265,3.3778165814816656,843.7261941748395,False,2,sampled,231.199,0.0,231.199,88.0,0.0,88.0,3.879281316229,168.13517338709678,2.821135198342069
14,decode,4,71,7041111161219921,7041111177865904,0.016645983,56677892096,14157086720,240.29821489064358,4.00349967595593,3.4048990736083296,850.4806667170092,False,2,sampled,231.199,0.0,231.199,88.0,0.0,88.0,3.848534623617,168.13517338709678,2.7987752379036652
15,decode,4,72,7041111177946014,7041111194550789,0.016604775,56679497728,14157316096,240.89456195582298,4.003548225077364,3.413445694265656,852.6051148540104,False,1,single_sample,231.199,,231.199,88.0,,88.0,3.839007375225,168.13517338709678,2.79184672367873
16,decode,4,73,7041111194631664,7041111211489178,0.016857514,56681103360,14157545472,237.28291134742642,4.003596772625644,3.3623643059112984,839.8359017824336,False,2,sampled,231.199,0.0,231.199,88.0,0.0,88.0,3.8974403792860004,168.13517338709678,2.8343410392654116
17,decode,4,74,7041111211573776,7041111228457983,0.016884207,56682708992,14157774848,236.90778015218604,4.003645318600846,3.3571436900767684,838.5217527835332,False,2,sampled,231.81150000000002,0.8662058069535167,232.424,88.0,0.0,88.0,3.9139533509805,168.7476733870968,2.849170648236133
18,decode,4,75,7041111228543660,7041111245212707,0.016669047,56684314624,14158004224,239.9657280947135,4.003693863003046,3.400573207574494,849.3589479950474,False,1,single_sample,232.424,,232.424,88.0,,88.0,3.874286579928,169.36017338709678,2.8230726901176655
19,decode,4,76,7041111245294451,7041111261875820,0.016581369,56685920256,14158233600,241.23460493521375,4.0037424058323206,3.418651394586298,853.8639722691173,False,2,sampled,232.424,0.0,232.424,88.0,0.0,88.0,3.853908108456,169.36017338709678,2.8082235288354314
20,decode,4,77,7041111261953809,7041111278820384,0.016866575,56687525888,14158462976,237.15543908588432,4.003790947088747,3.360938773165269,839.4391259636292,False,2,sampled,232.424,0.0,232.424,88.0,0.0,88.0,3.9201968278000003,169.36017338709678,2.856526066446472
21,decode,4,78,7041111278899811,7041111295534120,0.016634309,56689131520,14158692352,240.46685678377142,4.003839486772401,3.4079643176040557,851.174061513466,False,1,single_sample,232.424,,232.424,88.0,,88.0,3.866212635016,169.36017338709678,2.8171894564145443
22,decode,4,79,7041111295615190,7041111312299954,0.016684764,56690737152,14158921728,239.73968106471267,4.003888024883359,3.3977548110359845,848.6138448227376,False,2,sampled,232.424,0.0,232.424,88.0,0.0,88.0,3.8779395879360004,169.36017338709678,2.8257345239627907
23,decode,4,80,7041111312380249,7041111328988083,0.016607834,56692342784,14159151104,240.8501915421361,4.003936561421698,3.4135904046247094,852.558563868112,False,2,sampled,232.4095,0.020506096654407304,232.424,88.0,0.0,88.0,3.859818396023,169.34567338709678,2.8124648322311208
24,decode,4,81,7041111329077413,7041111345801437,0.016724024,56693948416,14159380480,239.1768870936803,4.003985096387494,3.389970524797142,846.6491365953552,False,1,single_sample,232.395,,232.395,88.0,,88.0,3.88657955748,169.33117338709678,2.831898607673968
25,decode,4,82,7041111345881766,7041111362528003,0.016646237,56695554048,14159609856,240.29454825135554,4.004033629780824,3.4059081369561177,850.6192634407404,False,2,sampled,232.395,0.0,232.395,88.0,0.0,88.0,3.8685022476150004,169.33117338709678,2.818726843689706
26,decode,4,83,7041111362608741,7041111379221169,0.016612428,56697159680,14159839232,240.78358684233277,4.004082161601763,3.4129363678807216,852.3642198479357,False,2,sampled,232.395,0.0,232.395,88.0,0.0,88.0,3.86064520506,169.33117338709678,2.813001926048661
27,decode,4,84,7041111379302800,7041111396034157,0.016731357,56698765312,14160068608,239.07206092129886,4.004130691850388,3.3887726687082225,846.3191962253869,False,1,single_sample,232.395,,232.395,88.0,,88.0,3.888283710015,169.33117338709678,2.8331403131684154
28,decode,4,85,7041111396117792,7041111413762511,0.017644719,56700370944,14160297984,226.69672438535292,4.004179220526776,3.2134470911098107,802.5232923233292,False,2,sampled,232.395,0.0,232.395,88.0,0.0,88.0,4.100544472005,169.33117338709678,2.987800972355601
29,decode,4,86,7041111413845070,7041111430796529,0.016951459,56701976576,14160527360,235.9678892536625,4.0042277476310035,3.344961432287333,835.3574379644843,False,2,sampled,229.6775,3.8431253557488874,232.395,88.0,0.0,88.0,3.8933687244725,166.61367338709678,2.824344853260762
30,decode,4,87,7041111430877505,7041111447543720,0.016666215,56703582208,14160756736,240.00650417626315,4.004276273163146,3.4023071350033582,849.6684301744576,False,1,single_sample,226.96,,226.96,88.0,,88.0,3.7825641564000003,163.89617338709678,2.7315288633466333
31,decode,4,88,7041111447625796,7041111464297647,0.016671851,56705187840,14160986112,239.92536881477645,4.004324797123281,3.4012532765557943,849.3949539256319,False,2,sampled,226.96,0.0,226.96,88.0,0.0,88.0,3.7838433029600003,163.89617338709678,2.732452582179843
32,decode,4,89,7041111464378599,7041111481099344,0.016720745,56706793472,14161215488,239.22379056674808,4.004373319511484,3.3914035213143916,846.9249120179753,False,2,sampled,226.96,0.0,226.96,88.0,0.0,88.0,3.7949402852,163.89617338709678,2.740466121681431
33,decode,4,90,7041111481181660,7041111497816319,0.016634659,56708399104,14161444864,240.46179726317203,4.004421840327832,3.409050892116274,851.3216209601892,False,1,single_sample,226.96,,226.96,88.0,,88.0,3.77540220664,163.89617338709678,2.72635695569923
34,decode,4,91,7041111497895348,7041111514545689,0.016650341,56710004736,14161674240,240.2353201054561,4.004470359572401,3.405936535233723,850.533586068898,False,2,sampled,226.96,0.0,226.96,88.0,0.0,88.0,3.77896139336,163.89617338709678,2.7289271754902864
35,decode,4,92,7041111514627897,7041111531269739,0.016641842,56711610368,14161903616,240.35800844642077,4.004518877245267,3.407772430960467,850.9817372379812,False,2,sampled,229.6775,3.8431253557488874,232.395,87.5,0.7071067811865476,88.0,3.8222566659550004,166.61367338709678,2.7727584275476698
36,decode,4,93,7041111531353822,7041111548040342,0.01668652,56713216000,14162132992,239.71445214460536,4.004567393346506,3.3987443756996667,848.7169878440802,False,1,single_sample,232.395,,232.395,87.0,,87.0,3.8778638154,169.33117338709678,2.825548011347258
37,decode,4,94,7041111548121759,7041111564793661,0.016671902,56714821632,14162362368,239.9246348736935,4.004615907876197,3.4018207179960633,849.4749050228343,False,2,sampled,232.395,0.0,232.395,87.0,0.0,87.0,3.87446666529,169.33117338709678,2.8230727282546852
38,decode,4,95,7041111564874430,7041111581415863,0.016541433,56716427264,14162591744,241.81701790890787,4.004664420834413,3.4287493268569897,856.1889253488497,False,2,sampled,232.395,0.0,232.395,87.0,0.0,87.0,3.8441463220350003,169.33117338709678,2.8009802593940445
39,decode,4,96,7041111581499371,7041111598223558,0.016724187,56718032896,14162821120,239.17455598888003,4.004712932221232,3.391377583615873,846.8466132314832,False,1,single_sample,232.395,,232.395,87.0,,87.0,3.8866174378650005,169.33117338709678,2.83192620865523
40,decode,4,97,7041111598306449,7041111615045012,0.016738563,56719638528,14163050496,238.9691397045254,4.004761442036731,3.388560805846953,846.1329981552179,False,2,sampled,232.395,0.0,232.395,87.0,0.0,87.0,3.8899583483850004,169.33117338709678,2.8343605136038432
41,decode,4,98,7041111615127067,7041111631842708,0.016715641,56721244160,14163279872,239.2968358198169,4.004809950280985,3.3933035628128168,847.3070145500254,False,2,sampled,232.1125,0.39951533137039774,232.395,87.0,0.0,87.0,3.8799092216125,169.04867338709678,2.825756935864964
42,decode,4,99,7041111631923761,7041111648652642,0.016728881,56722849792,14163509248,239.10744538143345,4.0048584569540715,3.3907139271299735,846.6501284813969,False,1,single_sample,231.83,,231.83,87.0,,87.0,3.8782564822300003,168.76617338709679,2.8232692314181094
43,decode,4,100,7041111648734025,7041111665346930,0.016612905,56724455424,14163738624,240.77667331511256,4.004906962056066,3.414481418150528,852.5744668978724,False,2,sampled,231.83,0.0,231.83,87.0,0.0,87.0,3.8513697661500004,168.76617338709679,2.8036964056933673
