step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,4840958907328997,4840959025678259,0.118317721,1826624012288,9069510656,1994.6293590289827,201.40270865436204,15.438296113631194,76.65386536645681,False,11,sampled,125.30963636363636,1.110267289685436,126.276,13.272727272727273,8.355727485873496,22.0,14.82635059388418,60.143633339442815,7.116057629382493
1,decode,4,59,4840959025708392,4840959059408147,0.033699755,36279418880,9069854720,118.69522493561156,4.0,1.0765484461237183,269.13711153092953,False,4,sampled,124.15,0.0,124.15,22.0,0.0,22.0,4.18382458325,58.98399697580646,1.9877462470054186
2,decode,4,60,4840959059432898,4840959093218658,0.03378576,36280795136,9070198784,118.3930744787153,4.0,1.073848720170865,268.4621800427162,False,3,sampled,108.738,13.347183523125773,124.15,22.0,0.0,22.0,3.6737959708799997,43.57199697580646,1.4721130325453227
3,decode,4,61,4840959093239858,4840959127226911,0.033987053,36282171392,9070542848,117.69187519729938,4.0,1.0675291968385725,266.8822992096431,False,3,sampled,101.032,0.0,101.032,22.0,0.0,22.0,3.4337799386960004,35.86599697580645,1.2189795401145738
4,decode,4,62,4840959127247983,4840959161864020,0.034616037,36283547648,9070886912,115.55337775956271,4.0,1.0481716219566093,262.0429054891523,False,4,sampled,101.032,0.0,101.032,22.0,0.0,22.0,3.497327450184,35.86599697580645,1.2415386783564044
5,decode,4,63,4840959161884312,4840959195638549,0.033754237,36284923904,9071230976,118.5036414835862,4.0,1.0749739033947057,268.74347584867644,False,3,sampled,104.95,3.3930875320274363,106.909,26.666666666666668,4.041451884327381,29.0,3.54250717315,39.78399697580646,1.3428784627286545
6,decode,4,64,4840959195658526,4840959229332327,0.033673801,36286300160,9071575040,118.78670899076702,4.0,1.0775825443643858,269.39563609109643,False,3,sampled,106.909,0.0,106.909,29.0,0.0,29.0,3.6000323911090004,41.74299697580646,1.4056453733069088
7,decode,4,65,4840959229352390,4840959263145932,0.033793542,36287676416,9071919104,118.36581084042625,4.0,1.073805060623713,268.4512651559283,False,4,sampled,106.909,0.0,106.909,29.0,0.0,29.0,3.6128337816780003,41.74299697580646,1.4106437215077887
8,decode,4,66,4840959263166096,4840959296826785,0.033660689,36289052672,9072263168,118.83298051326281,4.0,1.078084072254136,269.521018063534,False,3,sampled,112.56566666666667,4.898817034073974,115.394,29.0,0.0,29.0,3.7890378977443335,47.39966364247313,1.5955053365738951
9,decode,4,67,4840959296846959,4840959330751543,0.033904584,36290428928,9072607232,117.97814714376085,4.0,1.0703693909944447,267.5923477486112,False,3,sampled,115.394,0.0,115.394,29.0,0.0,29.0,3.9123855660960003,50.22799697580646,1.7029593426179763
