step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,480,120,4841550620879566,4841550794442693,0.173525414,2920722923520,3721936896,2766.165421740472,784.7319836773504,16.831672411512013,21.448944049198467,False,17,sampled,99.86611764705881,16.823379141400046,113.518,2.3529411764705883,1.4552137502179978,8.0,17.329309409278586,34.728972485768494,6.026359328387587
1,decode,4,120,4841550794476573,4841550817304381,0.022827808,29029761024,3722133504,175.22488361563228,7.799226167681276,1.2716841242050045,163.0526025100614,False,2,sampled,80.592,0.0,80.592,2.0,0.0,2.0,1.8397387023360001,15.454854838709679,0.35280045892593553
2,decode,4,121,4841550817330631,4841550840160779,0.022830148,29031333888,3722330112,175.20692375713026,7.799236772259709,1.271622675770652,163.04450203301352,False,2,sampled,80.592,0.0,80.592,2.0,0.0,2.0,1.839927287616,15.454854838709679,0.35283662328625814
3,decode,4,122,4841550840184714,4841550862864859,0.022680145,29032906752,3722526720,176.36571547492312,7.799247375717964,1.2801023429083016,164.1315220868297,False,2,sampled,170.835,0.0,170.835,18.0,0.0,18.0,3.874562571075,105.69785483870969,2.3972426739308874
4,decode,4,123,4841550862885971,4841550885520686,0.022634715,29034479616,3722723328,176.71969803905196,7.799257978056219,1.2827411176151324,164.46963560177366,False,3,sampled,170.835,0.0,170.835,18.0,0.0,18.0,3.866801537025,105.69785483870969,2.392440820385565
5,decode,4,124,4841550885542039,4841550908070424,0.022528385,29036052480,3722919936,177.55378381539555,7.799268579274653,1.2888652462216,165.25463036964254,False,2,sampled,170.835,0.0,170.835,18.0,0.0,18.0,3.8486366514750006,105.69785483870969,2.381201967480565
6,decode,4,125,4841550908091481,4841550930641811,0.02255033,29037625344,3723116544,177.3809961982818,7.799279179373441,1.2876807276877988,165.102530384256,False,2,sampled,170.835,0.0,170.835,18.0,0.0,18.0,3.85238562555,105.69785483870969,2.383521506905
7,decode,4,126,4841550930662726,4841550953186352,0.022523626,29039198208,3723313152,177.59129902085925,7.799289778352761,1.2892772330707318,165.30700483128248,False,2,sampled,137.0485,47.78132652511858,170.835,18.0,0.0,18.0,3.086829157861,71.91135483870967,1.619704461540387
8,decode,4,127,4841550953207619,4841550975891875,0.022684256,29040771072,3723509760,176.33375324277773,7.799300376212791,1.2802170400475115,164.14511280422863,False,3,sampled,103.262,0.0,103.262,18.0,0.0,18.0,2.342421643072,38.12485483870968,0.8648339671241291
9,decode,4,128,4841550975912867,4841550998439504,0.022526637,29042343936,3723706368,177.5675614606832,7.799310972953709,1.2892445479544952,165.30236484034435,False,2,sampled,103.262,0.0,103.262,18.0,0.0,18.0,2.3261455898939998,38.12485483870968,0.8588247656293064
10,decode,4,129,4841550998460614,4841551021158768,0.022698154,29043916800,3723902976,176.2257847047826,7.79932156857569,1.2795717572451044,164.0619310275188,False,2,sampled,103.262,0.0,103.262,18.0,0.0,18.0,2.343856778348,38.12485483870968,0.8653638263566775
