step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,4841284021543062,4841284129308627,0.107735006,3034794491904,14153875456,2153.4319123721034,214.41438433863806,28.169065975677395,131.37675470125282,False,10,sampled,144.2516,91.08118607923372,317.066,6.0,0.0,6.0,15.540946991509598,78.93612016129032,8.504183379193332
1,decode,4,58,4841284129342158,4841284142058713,0.012716555,56657018880,14154104832,314.55059959242107,4.002868394185425,4.45537481495578,1113.045540399896,False,1,single_sample,317.066,,317.066,6.0,,6.0,4.031987227629999,251.7505201612903,3.201399335909657
2,decode,4,59,4841284142083277,4841284154567842,0.012484565,56658624512,14154334208,320.3956245171538,4.002916963764828,4.538293846201289,1133.7466870491685,False,2,sampled,317.066,0.0,317.066,6.0,0.0,6.0,3.9584310862899996,251.7505201612903,3.142995732737439
3,decode,4,60,4841284154588136,4841284166980484,0.012392348,56660230144,14154563584,322.77983155411715,4.002965531770082,4.572194885424457,1142.2019123413902,False,1,single_sample,317.066,,317.066,6.0,,6.0,3.9291922109679995,251.7505201612903,3.119780055019725
4,decode,4,61,4841284167006528,4841284179403686,0.012397158,56661835776,14154792960,322.65459551293935,4.003014098201264,4.570550425831469,1141.7772492695503,False,1,single_sample,317.066,,317.066,6.0,,6.0,3.9307172984279997,251.7505201612903,3.1209909750217015
5,decode,4,62,4841284179423040,4841284191789691,0.012366651,56663441408,14155022336,323.4505445330349,4.00306266305845,4.581955244633329,1144.6124206141178,False,1,single_sample,317.066,,317.066,6.0,,6.0,3.9210445659659996,251.7505201612903,3.1133108219031405
6,decode,4,63,4841284191808607,4841284204197043,0.012388436,56665047040,14155251712,322.88175843988705,4.003111226341717,4.5740275075885295,1142.6181409824453,False,2,sampled,317.066,0.0,317.066,6.0,0.0,6.0,3.9279518487759995,251.7505201612903,3.118795206984854
7,decode,4,64,4841284204216326,4841284216568386,0.01235206,56666652672,14155481088,323.83262387002657,4.00315978805114,4.587627705176303,1146.0016457173945,False,1,single_sample,246.721,,246.721,47.0,,47.0,3.04751259526,181.40552016129033,2.2407318693634677
8,decode,4,65,4841284216587338,4841284229018692,0.012431354,56668258304,14155710464,321.76704162716305,4.0032083481867975,4.558494457160499,1138.7102695329888,False,1,single_sample,246.721,,246.721,47.0,,47.0,3.067076090234,181.40552016129033,2.255116238679137
9,decode,4,66,4841284229038118,4841284241439420,0.012401302,56669863936,14155939840,322.54677774962664,4.003256906748764,4.569670502016644,1141.4881953523914,False,1,single_sample,246.721,,246.721,47.0,,47.0,3.0596616307419997,181.40552016129033,2.24966463998725
