step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,53927765051946,53927786705671,0.021653725,1826624012288,9069510656,10898.817639921077,201.40270865436204,84.35611019757572,418.84297764010586,False,2,sampled,106.58,0.0,106.58,31.0,0.0,31.0,2.3078540105,32.54232854209445,0.7046626331101642
1,decode,4,59,53927786769100,53927806015579,0.019246479,36279418880,9069854720,207.83022182914598,4.0,1.8849899184157268,471.2474796039317,False,2,sampled,106.58,0.0,106.58,31.0,0.0,31.0,2.05128973182,32.54232854209445,0.6263252428965215
2,decode,4,60,53927806069728,53927825196478,0.01912675,36280795136,9070198784,209.13119061000953,4.0,1.8968614707673805,474.21536769184513,False,1,single_sample,106.58,,106.58,31.0,,31.0,2.038529015,32.54232854209445,0.6224289824425051
3,decode,4,61,53927825243558,53927844429928,0.01918637,36282171392,9070542848,208.48133336321564,4.0,1.8910388672792195,472.75971681980485,False,2,sampled,109.882,4.66973318295596,113.184,42.0,15.556349186104045,53.0,2.10823670834,35.84432854209446,0.6877225498101849
4,decode,4,62,53927844474787,53927863577577,0.01910279,36283547648,9070886912,209.39349697086132,4.0,1.8993847311308976,474.8461827827244,False,2,sampled,113.184,0.0,113.184,53.0,0.0,53.0,2.16213018336,39.14632854209445,0.7478040934106365
5,decode,4,63,53927863623567,53927882845146,0.019221579,36284923904,9071230976,208.09944906191112,4.0,1.8877181684189421,471.92954210473556,False,2,sampled,113.184,0.0,113.184,53.0,0.0,53.0,2.175575197536,39.14632854209445,0.7524542466318233
6,decode,4,64,53927882890926,53927902151165,0.019260239,36286300160,9071575040,207.68174268242467,4.0,1.8840005131815865,471.0001282953966,False,2,sampled,113.184,0.0,113.184,53.0,0.0,53.0,2.179950890976,39.14632854209445,0.7539676436932606
7,decode,4,65,53927902196964,53927921442333,0.019245369,36287676416,9071919104,207.84220868926963,4.0,1.88552770362574,471.381925906435,False,2,sampled,113.184,0.0,113.184,53.0,0.0,53.0,2.178267844896,39.14632854209445,0.7533855377878397
8,decode,4,66,53927921487583,53927958978211,0.037490628,36289052672,9072263168,106.69333146406618,4.0,0.9679499813126631,241.98749532816578,False,4,sampled,117.027,2.5620000000000047,118.308,53.0,0.0,53.0,4.387415722956,42.989328542094455,1.6116969243414454
9,decode,4,67,53927959034291,53927996351271,0.03731698,36290428928,9072607232,107.1898101078919,4.0,0.9724910463815668,243.1227615953917,False,3,sampled,118.308,0.0,118.308,53.0,0.0,53.0,4.41489726984,44.27032854209446,1.6520349647987682
10,decode,4,68,53927996402780,53928033885589,0.037482809,36291805184,9072951296,106.71558793792643,4.0,0.9682253318848115,242.0563329712029,False,4,sampled,118.308,0.0,118.308,53.0,0.0,53.0,4.434516167172,44.27032854209446,1.6593762691105751
11,decode,4,69,53928033937628,53928072502446,0.038564818,36293181440,9073295360,103.72148002876611,4.0,0.9410956234773363,235.27390586933407,False,4,sampled,121.353,0.0,121.353,52.0,0.0,52.0,4.679956358754,47.31532854209445,1.8247070338360778
12,decode,4,70,53928072567025,53928110510109,0.037943084,36294557696,9073639424,105.4210564433824,4.0,0.9565526538644038,239.13816346610096,False,4,sampled,121.353,0.0,121.353,52.0,0.0,52.0,4.604507072652,47.31532854209445,1.7952894853602872
13,decode,4,71,53928110564938,53928148037737,0.037472799,36295933952,9073983488,106.74409456309895,4.0,0.9685941515070704,242.14853787676762,False,3,sampled,122.056,1.217631717720926,123.462,52.0,0.0,52.0,4.573779954744,48.01832854209445,1.7993811737738685
14,decode,4,72,53928148091436,53928185635714,0.037544278,36297310208,9074327552,106.54086889086001,4.0,0.9667867419903508,241.69668549758768,False,4,sampled,123.462,0.0,123.462,52.0,0.0,52.0,4.635291650436,49.42432854209446,1.8556007307477291
15,decode,4,73,53928185689104,53928224179562,0.038490458,36298686464,9074671616,103.92186032184912,4.0,0.9430567561446008,235.7641890361502,False,4,sampled,123.462,0.0,123.462,52.0,0.0,52.0,4.752108925596,49.42432854209446,1.9023650419276878
16,decode,4,74,53928224236071,53928261944457,0.037708386,36300062720,9075015680,106.07719990985558,4.0,0.9626522524724341,240.6630631181085,False,4,sampled,125.95575000000001,1.6625000000000014,126.787,43.0,6.0,52.0,4.749588039919501,51.91807854209446,1.9577469460436154
17,decode,4,75,53928261998017,53928299452656,0.037454639,36301438976,9075359744,106.79584977444317,4.0,0.9692107558692531,242.30268896731326,False,3,sampled,126.78699999999999,0.0,126.787,40.0,0.0,40.0,4.748761314893,52.749328542094446,1.9757070580365437
18,decode,4,76,53928299507875,53928337245531,0.037737656,36302815232,9075703808,105.99492453903336,4.0,0.9619785402675778,240.49463506689443,False,4,sampled,126.787,0.0,126.787,40.0,0.0,40.0,4.784644191272,52.74932854209446,1.9906360147525424
19,decode,4,77,53928337300940,53928374780289,0.037479349,36304191488,9076047872,106.72543965478162,4.0,0.9686451994670452,242.16129986676128,False,4,sampled,128.762,0.0,128.762,40.0,0.0,40.0,4.825915935938,54.724328542094455,2.0510322082198194
20,decode,4,78,53928374832878,53928412277447,0.037444569,36305567744,9076391936,106.82457047375817,4.0,0.9695816700146824,242.3954175036706,False,4,sampled,128.762,0.0,128.762,40.0,0.0,40.0,4.821437593578,54.724328542094455,2.049128896073125
21,decode,4,79,53928412333427,53928449762486,0.037429059,36306944000,9076736000,106.86883685748018,4.0,0.9700202187824171,242.5050546956043,False,3,sampled,130.98866666666666,1.928349899093352,132.102,44.666666666666664,4.041451884327381,47.0,4.902782532998,56.950995208761114,2.131622159777437
22,decode,4,80,53928449815245,53928487173015,0.03735777,36308320256,9077080064,107.07277227736024,4.0,0.9719081266360385,242.97703165900964,False,4,sampled,132.102,0.0,132.102,47.0,0.0,47.0,4.93503613254,58.06432854209446,2.16915383088
23,decode,4,81,53928487226915,53928524894241,0.037667326,36309696512,9077424128,106.19283142105706,4.0,0.96395737016214,240.989342540535,False,4,sampled,132.102,0.0,132.102,47.0,0.0,47.0,4.975929099252,58.06432854209446,2.1871279921661766
