step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,480,120,53953225723351,53953258412441,0.03268909,2920722923520,7233454080,14683.798172417772,403.7798389562736,89.34855401358679,221.2803745836914,False,3,sampled,231.9706666666667,0.9653296500850526,232.528,4.0,0.0,4.0,7.582910000026667,157.23531143052705,5.139879246530527
1,decode,4,120,53953258473830,53953273586723,0.015112893,29029761024,7233650688,264.6746721491378,4.013154944315719,1.9208606203987548,478.6410310719463,False,1,single_sample,232.528,,232.528,4.0,,4.0,3.514170783504,157.79264476386035,2.384703356503232
2,decode,4,121,53953273639362,53953288730155,0.015090793,29031333888,7233847296,265.06228002729875,4.013263302372039,1.9237778881467662,479.3550144117675,False,2,sampled,232.528,0.0,232.528,4.0,0.0,4.0,3.509031914704,157.79264476386035,2.3812161390539504
3,decode,4,122,53953288778824,53953307473760,0.018694936,29032906752,7234043904,213.96168459736904,4.013371654538413,1.5529824093540625,386.95205503779204,False,2,sampled,232.528,0.0,232.528,4.0,0.0,4.0,4.347096078208,157.79264476386035,2.9499233951311044
4,decode,4,123,53953307534609,53953322642622,0.015108013,29034479616,7234240512,264.7601640268644,4.013480000815322,1.9217933963917029,478.8346761417269,False,1,single_sample,232.528,,232.528,4.0,,4.0,3.513036046864,157.79264476386035,2.3839333283967843
5,decode,4,124,53953322691201,53953337674505,0.014983304,29036052480,7234437120,266.96381519056143,4.013588341203247,1.9378938370335408,482.83323357785446,False,2,sampled,232.528,0.0,232.528,4.0,0.0,4.0,3.484037712512,157.79264476386035,2.3642551654609276
6,decode,4,125,53953337721285,53953352730798,0.015009513,29037625344,7234633728,266.4976538545921,4.013696675702668,1.9346147569211607,482.00322875232524,False,1,single_sample,237.345,,237.345,82.0,,82.0,3.562432862985,162.60964476386036,2.440691577008544
7,decode,4,126,53953352776757,53953367597293,0.014820536,29039198208,7234830336,269.89577165090384,4.013805004314064,1.959389202117926,488.16252907452196,False,2,sampled,237.345,0.0,237.345,82.0,0.0,82.0,3.51758011692,162.60964476386036,2.409962094170004
8,decode,4,127,53953367644322,53953384253189,0.016608867,29040771072,7235026944,240.83521169746257,4.0139133270379155,1.7485100622456669,435.6123114237714,False,1,single_sample,237.345,,237.345,82.0,,82.0,3.9420315381149997,162.60964476386036,2.700761962800203
9,decode,4,128,53953384305609,53953399857207,0.015551598,29042343936,7235223552,257.20829460740947,4.014021643874702,1.8674829387951002,465.23987772832095,False,2,sampled,237.345,0.0,237.345,82.0,0.0,82.0,3.69109402731,162.60964476386036,2.528839826290361
