step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,53971929956519,53971941758386,0.011801867,3034794491904,14153875456,19657.906668495754,214.41438433863806,257.1452882754906,1199.2912185843138,False,1,single_sample,109.862,,109.862,21.0,,21.0,1.296576712354,34.21236960985625,0.4037698358903654
1,decode,4,58,53971941821986,53971950310057,0.008488071,56657018880,14154104832,471.24959251636795,4.002868394185425,6.674899265098042,1667.5290336284888,True,1,single_sample,109.862,,109.862,21.0,,21.0,0.932516456202,34.21236960985625,0.29039702232670217
2,decode,4,59,53971950365257,53971958822779,0.008457522,56658624512,14154334208,472.95177003382315,4.002916963764828,6.6991991876580395,1673.5793543309728,True,1,nearest,109.862,,109.862,21.0,,21.0,0.929160281964,34.21236960985625,0.2893518686474907
3,decode,4,60,53971958868688,53971967310381,0.008441693,56660230144,14154563584,473.8386008588561,4.002965531770082,6.7119510439434364,1676.7446511025692,True,1,single_sample,109.862,,109.862,21.0,,21.0,0.9274212763659999,34.21236960985625,0.2888103210489363
4,decode,4,61,53971967355390,53971975795662,0.008440272,56661835776,14154792960,473.9183760902492,4.003014098201264,6.713271299313576,1677.0541233742229,True,1,single_sample,109.862,,109.862,21.0,,21.0,0.927265162464,34.21236960985625,0.2887617052717207
5,decode,4,62,53971975841562,53971984285464,0.008443902,56663441408,14155022336,473.7146404588779,4.00306266305845,6.710575443438353,1676.3603291464065,True,1,single_sample,109.862,,109.862,21.0,,21.0,0.9276639615239999,34.21236960985625,0.28888589617340443
6,decode,4,63,53971984331423,53971992832465,0.008501042,56665047040,14155251712,470.5305537838773,4.003111226341717,6.665658990980164,1665.1196067493843,True,1,single_sample,109.862,,109.862,21.0,,21.0,0.933941476204,34.21236960985625,0.29084079097291166
7,decode,4,64,53971992878274,53972001333546,0.008455272,56666652672,14155481088,473.0776254152439,4.00315978805114,6.701931371575036,1674.1603449303584,True,1,single_sample,125.217,,125.217,62.0,,62.0,1.0587437940239999,49.56736960985626,0.41910559237586853
8,decode,4,65,53972001383256,53972028344905,0.026961649,56668258304,14155710464,148.3588781976948,4.0032083481867975,2.1018098078496608,525.0313311326024,False,2,sampled,125.217,0.0,125.217,62.0,0.0,62.0,3.3760568028330002,49.56736960985626,1.3364180212742114
9,decode,4,66,53972028397205,53972055069538,0.026672333,56669863936,14155939840,149.96813364620186,4.003256906748764,2.124668432116531,530.7349694531783,False,3,sampled,125.217,0.0,125.217,62.0,0.0,62.0,3.339829521261,49.56736960985626,1.3220773881681662
10,decode,4,67,53972055123377,53972081759500,0.026636123,56671469568,14156169216,150.17200513753446,4.003305463737118,2.127617054779331,531.4650790582398,False,3,sampled,125.217,0.0,125.217,62.0,0.0,62.0,3.335295413691,49.56736960985626,1.3202825537145932
11,decode,4,68,53972081820119,53972108454232,0.026634113,56673075200,14156398592,150.18333818738398,4.003354019151935,2.127837904720161,531.5137993144356,False,2,sampled,128.9375,5.261581558809092,132.658,62.0,0.0,62.0,3.4341359449375,53.28786960985626,1.4192751407181776
