step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,54546220914409,54546252440160,0.031505592,1826624012288,9069510656,7490.733708479434,201.40270865436204,57.9777714473037,287.8698694504772,False,3,sampled,110.291,0.0,110.291,34.0,0.0,34.0,3.4747832472719997,36.514131416837785,1.150399326653273
1,decode,4,59,54546252462300,54546265191272,0.012728972,36279418880,9069854720,314.24375825479075,4.0,2.8501452340377527,712.5363085094381,False,1,single_sample,110.291,,110.291,34.0,,34.0,1.403891050852,36.514131416837785,0.4647873564092485
2,decode,4,60,54546265207481,54546277817034,0.012609553,36280795136,9070198784,317.21980945716314,4.0,2.8772467299990727,719.3116824997682,False,1,single_sample,110.291,,110.291,34.0,,34.0,1.390720209923,36.514131416837785,0.46042687534958116
3,decode,4,61,54546277831674,54546290528405,0.012696731,36282171392,9070542848,315.0417221566717,4.0,2.8575994397298015,714.3998599324503,False,1,single_sample,110.291,,110.291,34.0,,34.0,1.4003351587209998,36.514131416837785,0.4636101042982382
4,decode,4,62,54546290542355,54546303205357,0.012663002,36283547648,9070886912,315.8808630054706,4.0,2.865319585987588,716.329896496897,False,2,sampled,110.291,0.0,110.291,34.0,0.0,34.0,1.396615153582,36.514131416837785,0.4623785191596797
5,decode,4,63,54546303219437,54546315976778,0.012757341,36284923904,9071230976,313.54496207320943,4.0,2.844238772327243,711.0596930818107,False,1,single_sample,110.291,,110.291,34.0,,34.0,1.4070198962309999,36.514131416837785,0.4658232258034128
6,decode,4,64,54546315990468,54546328583531,0.012593063,36286300160,9071575040,317.63519328061807,4.0,2.8814514911900306,720.3628727975076,False,1,single_sample,118.889,,118.889,34.0,,34.0,1.497176667007,45.112131416837784,0.5680999129965174
7,decode,4,65,54546328597100,54546341208853,0.012611753,36287676416,9071919104,317.1644734875477,4.0,2.877290446141785,719.3226115354463,False,1,single_sample,118.889,,118.889,34.0,,34.0,1.499398702417,45.112131416837784,0.5689430587326981
8,decode,4,66,54546341222883,54546353864585,0.012641702,36289052672,9072263168,316.4130905791008,4.0,2.8705828275338243,717.645706883456,False,2,sampled,118.889,0.0,118.889,34.0,0.0,34.0,1.5029593090779998,45.112131416837784,0.570294121956501
9,decode,4,67,54546353878475,54546366695775,0.0128173,36290428928,9072607232,312.07820679862374,4.0,2.8313629959507853,707.8407489876963,False,1,single_sample,118.889,,118.889,34.0,,34.0,1.5238359797,45.112131416837784,0.5782157220090349
10,decode,4,68,54546366709635,54546379284198,0.012574563,36291805184,9072951296,318.102505828632,4.0,2.8861285425187337,721.5321356296835,False,1,single_sample,118.889,,118.889,34.0,,34.0,1.494977220507,45.112131416837784,0.567265338565306
11,decode,4,69,54546379297758,54546391947600,0.012649842,36293181440,9073295360,316.2094830907769,4.0,2.8690620357155447,717.2655089288862,False,1,single_sample,118.889,,118.889,34.0,,34.0,1.503927065538,45.112131416837784,0.570661334706234
12,decode,4,70,54546391961590,54546404617372,0.012655782,36294557696,9073639424,316.06106995205823,4.0,2.867824184708618,716.9560461771545,False,2,sampled,118.889,0.0,118.889,34.0,0.0,34.0,1.504633266198,45.112131416837784,0.5709293007668501
13,decode,4,71,54546404631522,54546417363743,0.012732221,36295933952,9073983488,314.1635697338273,4.0,2.8507150442958853,712.6787610739713,False,1,single_sample,118.889,,118.889,34.0,,34.0,1.5137210224689999,45.112131416837784,0.5743776269802218
14,decode,4,72,54546417377213,54546430028285,0.012651072,36297310208,9074327552,316.1787396356609,4.0,2.8691094484325124,717.277362108128,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.555044468096,49.141131416837794,0.621687991715877
15,decode,4,73,54546430041775,54546442869836,0.012828061,36298686464,9074671616,311.8164155907896,4.0,2.8296315759645982,707.4078939911495,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.5767996019980002,49.141131416837794,0.6303854314242117
16,decode,4,74,54546442899535,54546455605697,0.012706162,36300062720,9075015680,314.8078861264322,4.0,2.8568865027850268,714.2216256962568,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.5618160207160001,49.141131416837794,0.6243951766456305
17,decode,4,75,54546455619487,54546468232799,0.012613312,36301438976,9075359744,317.1252720934835,4.0,2.8780259281622467,719.5064820405617,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.550403084416,49.141131416837794,0.6198324225935772
18,decode,4,76,54546468246529,54546480830062,0.012583533,36302815232,9075703808,317.87575079272256,4.0,2.884946161940371,721.2365404850927,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.546742709294,49.141131416837794,0.6183690488411151
19,decode,4,77,54546480843601,54546493618272,0.012774671,36304191488,9076047872,313.11960989054046,4.0,2.8418885690285096,710.4721422571274,False,2,sampled,122.918,0.0,122.918,53.0,0.0,53.0,1.570237009978,49.141131416837794,0.6277617864178666
20,decode,4,78,54546493632262,54546506204545,0.012572283,36305567744,9076391936,318.16019413498725,4.0,2.8877466204029925,721.9366551007482,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.5453598817940002,49.141131416837794,0.6178162111126757
21,decode,4,79,54546506218245,54546518916967,0.012698722,36306944000,9076736000,314.9923275743811,4.0,2.859102199418177,714.7755498545444,False,1,single_sample,122.918,,122.918,53.0,,53.0,1.5609015107960003,49.141131416837794,0.6240295666278893
22,decode,4,80,54546518931057,54546531496540,0.012565483,36308320256,9077080064,318.3323713063795,4.0,2.8895284213109833,722.3821053277459,False,1,single_sample,127.7,,127.7,53.0,,53.0,1.6046121791,53.92313141683779,0.6775701911250412
23,decode,4,81,54546531510120,54546544359920,0.0128498,36309696512,9077424128,311.28889165590124,4.0,2.8257012958956564,706.425323973914,False,2,sampled,127.7,0.0,127.7,53.0,0.0,53.0,1.64091946,53.92313141683779,0.6929014540800822
24,decode,4,82,54546544373819,54546557053911,0.012680092,36311072768,9077768192,315.45512445808754,4.0,2.8636284948090283,715.9071237022571,False,1,single_sample,127.7,,127.7,53.0,,53.0,1.6192477484,53.92313141683779,0.6837502672935936
25,decode,4,83,54546557069331,54546569584625,0.012515294,36312449024,9078112256,319.60895205498167,4.0,2.9014459447776457,725.3614861944113,False,1,single_sample,127.7,,127.7,53.0,,53.0,1.5982030438,53.92313141683779,0.6748638430823615
26,decode,4,84,54546569598255,54546582185467,0.012587212,36313825280,9078456320,317.78284182390826,4.0,2.88497764874382,721.2444121859551,False,1,single_sample,127.7,,127.7,53.0,,53.0,1.6073869724,53.92313141683779,0.6787418868475976
27,decode,4,85,54546582199587,54546594847489,0.012647902,36315201536,9078800384,316.2579849211355,4.0,2.8712431149450715,717.8107787362678,False,2,sampled,127.7,0.0,127.7,53.0,0.0,53.0,1.6151370854000002,53.92313141683779,0.6820144816932856
28,decode,4,86,54546594860989,54546607435602,0.012574613,36316577792,9079144448,318.10124096860875,4.0,2.8880871158420542,722.0217789605135,False,1,single_sample,127.7,,127.7,53.0,,53.0,1.6057780801000001,53.92313141683779,0.6780625093148769
29,decode,4,87,54546607449312,54546619982775,0.012533463,36317954048,9079488512,319.14563437096353,4.0,2.8976791209261163,724.4197802315291,False,1,single_sample,127.7,,127.7,53.0,,53.0,1.6005232251000001,53.92313141683779,0.675843572457074
30,decode,4,88,54546619996515,54546632635837,0.012639322,36319330304,9079832576,316.4726715562749,4.0,2.873518872610414,718.3797181526035,False,1,single_sample,135.709,,135.709,54.0,,54.0,1.715269749298,61.93213141683779,0.782780151123729
31,decode,4,89,54546632649227,54546645574167,0.01292494,36320706560,9080176640,309.47919294016066,4.0,2.8101257383013,702.531434575325,False,2,sampled,135.709,0.0,135.709,54.0,0.0,54.0,1.75403068246,61.93213141683779,0.8004690826347434
32,decode,4,90,54546645587636,54546658243938,0.012656302,36322082816,9080520704,316.0480841876245,4.0,2.8698811719252593,717.4702929813149,False,1,single_sample,135.709,,135.709,54.0,,54.0,1.717574088118,61.93213141683779,0.783831758715187
33,decode,4,91,54546658257688,54546670821081,0.012563393,36323459072,9080864768,318.3853279126109,4.0,2.891214106889755,722.8035267224387,False,1,single_sample,135.709,,135.709,54.0,,54.0,1.7049655006370001,61.93213141683779,0.77807770631738
