step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,480,120,54725133306846,54725183086114,0.049759499,2920722923520,3721936896,9646.399373916527,784.7319836773504,58.6967912100562,74.7985202986067,False,4,sampled,105.31675,1.3104999999999976,105.972,12.75,8.5,17.0,5.24050871630825,32.203273613963034,1.60241876119072
1,decode,4,120,54725183108994,54725200997794,0.0178888,29029761024,3722133504,223.60359554581638,7.799226167681276,1.62278973570055,208.0706086489871,False,2,sampled,105.972,0.0,105.972,17.0,0.0,17.0,1.8957119135999998,32.85852361396303,0.5877995572254618
2,decode,4,121,54725201018494,54725218924124,0.01790563,29031333888,3722330112,223.39342430285896,7.799236772259709,1.621352272329988,207.8860175263311,False,2,sampled,105.972,0.0,105.972,17.0,0.0,17.0,1.8974954223599998,32.85852361396303,0.5883525661778848
3,decode,4,122,54725218940534,54725236625966,0.017685432,29032906752,3722526720,226.17485397020553,7.799247375717964,1.6416283612410485,210.48548432404704,False,2,sampled,105.972,0.0,105.972,17.0,0.0,17.0,1.874160599904,32.85852361396303,0.5811171849951374
4,decode,4,123,54725236641865,54725254238348,0.017596483,29034479616,3722723328,227.31815215574613,7.799257978056219,1.6500160637781995,211.5606469770124,False,1,single_sample,105.972,,105.972,17.0,,17.0,1.8647344964759998,32.85852361396303,0.578194452178199
5,decode,4,124,54725254255798,54725271882021,0.017626223,29036052480,3722919936,226.93460760141298,7.799268579274653,1.6473212939607085,211.21484370190936,False,2,sampled,113.158,0.0,113.158,17.0,0.0,17.0,1.994548142234,40.04452361396304,0.7058337031484784
6,decode,4,125,54725271898031,54725289554463,0.017656432,29037625344,3723116544,226.54633733474577,7.799279179373441,1.6445919166454468,210.86460412839924,False,2,sampled,113.158,0.0,113.158,17.0,0.0,17.0,1.997966532256,40.04452361396304,0.7070434081623326
7,decode,4,126,54725289570703,54725307223175,0.017652472,29039198208,3723313152,226.59715874354595,7.799289778352761,1.6450499515308679,210.92304533891914,False,2,sampled,113.158,0.0,113.158,17.0,0.0,17.0,1.997518426576,40.04452361396304,0.7068848318488212
8,decode,4,127,54725307238285,54725324993966,0.017755681,29040771072,3723509760,225.2800103809029,7.799300376212791,1.635576302142396,209.70807934654832,False,1,single_sample,113.158,,113.158,17.0,,17.0,2.009197350598,40.04452361396304,0.7110177870864948
9,decode,4,128,54725325013836,54725342636518,0.017622682,29042343936,3723706368,226.98020653155973,7.799310972953709,1.6480093061884677,211.30191011788105,False,2,sampled,113.158,0.0,113.158,17.0,0.0,17.0,1.9941474497560001,40.04452361396304,0.7056919054903614
