step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,54626263816724,54626280277898,0.016441894,3034794491904,14153875456,14110.296538829409,214.41438433863806,184.57694058263607,860.842154559566,False,1,single_sample,105.026,,105.026,0.0,,0.0,1.7268263592439999,30.933546666666658,0.5086060953373864
1,decode,4,58,54626280302918,54626286382996,0.006080078,56657018880,14154104832,657.8862968534286,4.002868394185425,9.318469085429497,2327.9479032999247,False,1,single_sample,105.026,,105.026,0.0,,0.0,0.638566272028,30.933546666666658,0.18807837654997328
2,decode,4,59,54626286400946,54626292465435,0.006064489,56658624512,14154334208,659.5774186415376,4.002916963764828,9.342687324851278,2333.9698048755636,False,1,nearest,117.814,,117.814,0.0,,0.0,0.714481707046,43.721546666666654,0.2651488388229866
3,decode,4,60,54626292481255,54626298540654,0.006059399,56660230144,14154563584,660.1314750852354,4.002965531770082,9.35080032590691,2335.9682344734188,False,1,single_sample,117.814,,117.814,0.0,,0.0,0.713882033786,43.721546666666654,0.26492629615045327
4,decode,4,61,54626298556213,54626304603872,0.006047659,56661835776,14154792960,661.4129533427728,4.003014098201264,9.369218035606837,2340.540853907272,False,1,single_sample,117.814,,117.814,0.0,,0.0,0.712498897426,43.721546666666654,0.2644130051925866
5,decode,4,62,54626304619482,54626310671401,0.006051919,56663441408,14155022336,660.9473788396705,4.00306266305845,9.362888268663212,2338.9312275990474,False,1,nearest,117.814,,117.814,0.0,,0.0,0.713000785066,43.721546666666654,0.2645992589813866
6,decode,4,63,54626310686171,54626316776150,0.006089979,56665047040,14155251712,656.8167148031217,4.003111226341717,9.304637510244289,2324.3514816717757,False,1,single_sample,117.814,,117.814,0.0,,0.0,0.717484785906,43.721546666666654,0.2662633010475199
7,decode,4,64,54626316790570,54626322842738,0.006052168,56666652672,14155481088,660.9201859565035,4.00315978805114,9.36303365537771,2338.910798246182,False,1,nearest,117.814,,117.814,0.0,,0.0,0.713030120752,43.721546666666654,0.2646101456465066
8,decode,4,65,54626322857038,54626328949197,0.006092159,56668258304,14155710464,656.5816814695743,4.0032083481867975,9.30183508079812,2323.595044712392,False,1,single_sample,117.814,,117.814,0.0,,0.0,0.717741620426,43.721546666666654,0.26635861401925326
9,decode,4,66,54626328964116,54626335007835,0.006043719,56669863936,14155939840,661.8441393453269,4.003256906748764,9.376654330884676,2342.256455007256,False,1,single_sample,117.814,,117.814,0.0,,0.0,0.712034710266,43.721546666666654,0.26424074229871997
