step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,24659668157374,24659794042210,0.125884836,1826624012288,9069510656,1874.7293756652311,201.40270865436204,14.510278364965261,72.04609343098322,False,9,sampled,13.051777777777778,1.0831213895240202,14.634,89.0,4.898979485566356,95.0,1.643020905064,10.162186868686868,1.279265227366
1,decode,4,59,24659794393997,24659886425923,0.092031926,36279418880,9069854720,43.46317820187747,4.0,0.39420471196049944,98.55117799012486,False,6,sampled,14.761666666666665,0.20707550957722312,15.029,88.5,7.44983221287567,93.0,1.358544614303333,11.872075757575756,1.0926099975876058
2,decode,4,60,24659886855812,24659976946069,0.090090257,36280795136,9070198784,44.3999177402724,4.0,0.40271607989751873,100.67901997437968,False,6,sampled,14.035499999999999,0.21526611437938828,14.232,89.83333333333333,3.8686776379877745,93.0,1.2644618021235,11.14590909090909,1.0041378144986364
3,decode,4,61,24659977261189,24660065771346,0.088510157,36282171392,9070542848,45.1925534376806,4.0,0.40992099236701157,102.4802480917529,False,6,sampled,13.644166666666665,0.21781865546060736,13.843,89.16666666666667,6.145459028149701,93.0,1.2076473338008333,10.754575757575756,0.9518891887714241
4,decode,4,62,24660066077725,24660154589354,0.088511629,36283547648,9070886912,45.19180185916588,4.0,0.409929724014005,102.48243100350125,False,7,sampled,13.275285714285713,0.21262307360343427,13.447,90.85714285714286,2.7945525240230875,93.0,1.175017164011857,10.385694805194804,0.9192547655046297
5,decode,4,63,24660154897298,24660243710547,0.088813249,36284923904,9071230976,45.038325306621765,4.0,0.40855305162859207,102.138262907148,False,6,sampled,12.980166666666667,0.1612580747332257,13.046,89.66666666666667,5.428320796219276,93.0,1.1528107742281666,10.090575757575758,0.8961768173109393
6,decode,4,64,24660244084518,24660333090918,0.0890064,36286300160,9071575040,44.94058854194755,4.0,0.40768192130004133,101.92048032501033,False,7,sampled,12.655285714285714,0.0018898223650464317,12.656,92.0,3.7859388972001824,97.0,1.1264014224,9.765694805194805,0.8692093381090908
7,decode,4,65,24660333394695,24660422221068,0.088826373,36287676416,9071919104,45.03167094304301,4.0,0.4085236759132336,102.1309189783084,False,6,sampled,12.656,0.0,12.656,89.83333333333333,4.445971959725642,93.0,1.1241865766880001,9.766409090909091,0.8675146967796818
8,decode,4,66,24660422533068,24660511367237,0.088834169,36289052672,9072263168,45.02771900753639,4.0,0.40850331669112594,102.12582917278148,False,6,sampled,12.259333333333332,0.0025819888974710978,12.261,91.5,2.7386127875258306,95.0,1.0890476891606666,9.369742424242423,0.8323532820016212
9,decode,4,67,24660511670228,24660601924161,0.090253933,36290428928,9072607232,44.31939824716559,4.0,0.4020924930551226,100.52312326378066,False,6,sampled,12.2585,0.0027386127875252855,12.261,89.16666666666667,6.145459028149701,93.0,1.1063778376804998,9.36890909090909,0.8455808933739999
10,decode,4,68,24660602175633,24660692967769,0.090792136,36291805184,9072951296,44.056679093880994,4.0,0.39972410368228367,99.93102592057092,False,7,sampled,12.258857142857142,0.0026726124191237123,12.261,90.85714285714286,5.17779140266618,96.0,1.113007824918857,9.369266233766233,0.8506556941163116
11,decode,4,69,24660693307019,24660782599157,0.089292138,36293181440,9073295360,44.79677706899571,4.0,0.40645438952307317,101.6135973807683,False,7,sampled,12.143571428571429,0.19372476794226862,12.261,91.57142857142857,4.3149794459588815,96.0,1.084325455812857,9.25398051948052,0.8263077055947662
12,decode,4,70,24660782900611,24660871874858,0.088974247,36294557696,9073639424,44.95682891252791,4.0,0.40792205519873626,101.98051379968406,False,6,sampled,11.863333333333335,0.002581988897472015,11.865,91.0,3.03315017762062,93.0,1.0555311502433335,8.973742424242426,0.7984319749689245
13,decode,4,71,24660872191812,24660961233962,0.08904215,36295933952,9073983488,44.922545109254436,4.0,0.40762643256030995,101.90660814007748,False,6,sampled,11.865,0.0,11.865,89.0,6.0332412515993425,93.0,1.05648510975,8.975409090909091,0.7991897225840909
14,decode,4,72,24660961540897,24661050539890,0.088998993,36297310208,9074327552,44.94432875212419,4.0,0.40783956070154637,101.95989017538659,False,6,sampled,11.865,0.0,11.865,90.83333333333333,3.0605010483034745,93.0,1.055973051945,8.975409090909091,0.7988023708539546
15,decode,4,73,24661050839992,24661139897374,0.089057382,36298686464,9074671616,44.91486174610432,4.0,0.40758762102393714,101.89690525598428,False,7,sampled,11.865,0.0,11.865,90.57142857142857,5.028490259085155,95.0,1.05666583743,8.975409090909091,0.7993264360153637
16,decode,4,74,24661140202280,24661229043623,0.088841343,36300062720,9075015680,45.02408298802957,4.0,0.40859425909398955,102.14856477349738,False,6,sampled,11.865,0.0,11.865,90.66666666666667,2.503331114069145,93.0,1.0541025346950001,8.975409090909091,0.7973873976107727
17,decode,4,75,24661229309140,24661317807436,0.088498296,36301438976,9075359744,45.19861037776366,4.0,0.41019364910709694,102.54841227677423,False,7,sampled,11.865,0.0,11.865,92.14285714285714,1.6761634196950514,94.0,1.05003228204,8.975409090909091,0.7943084104483636
18,decode,4,76,24661318000935,24661406679380,0.088678445,36302815232,9075703808,45.10679004351058,4.0,0.4093758661645454,102.34396654113635,False,7,sampled,11.862857142857141,0.0026726124191246616,11.865,91.28571428571429,3.199702367110922,95.0,1.051979724685714,8.973266233766232,0.7957352961813959
19,decode,4,77,24661406983990,24661495596938,0.088612948,36304191488,9076047872,45.14013008572969,4.0,0.4096939816063901,102.42349540159752,False,5,sampled,11.865,0.0,11.865,90.8,3.3466401061363023,93.0,1.0513926280199999,8.975409090909091,0.7953374590514545
20,decode,4,78,24661495902364,24661584508245,0.088605881,36305567744,9076391936,45.14373035803346,4.0,0.40974219018261326,102.43554754565332,False,6,sampled,11.864166666666668,0.002041241452319634,11.865,91.0,3.03315017762062,93.0,1.0512349398308334,8.974575757575758,0.7952001916012424
21,decode,4,79,24661584805587,24661673837247,0.08903166,36306944000,9076736000,44.927838029752564,4.0,0.40779812484682415,101.94953121170605,False,7,sampled,11.862142857142857,0.0026726124191246616,11.865,90.57142857142857,5.126959555693246,96.0,1.0561062697285715,8.972551948051947,0.7988411943712986
22,decode,4,80,24661674146348,24661763006041,0.088859693,36308320256,9077080064,45.01478527502903,4.0,0.4086028100052067,102.15070250130168,False,6,sampled,11.865,0.0,11.865,91.0,2.6076809620810595,93.0,1.0543202574450001,8.975409090909091,0.797552096367591
23,decode,4,81,24661763298013,24661852647595,0.089349582,36309696512,9077424128,44.7679766425768,4.0,0.406377911337067,101.59447783426675,False,7,sampled,11.86,0.0,11.86,90.28571428571429,5.822779568622009,96.0,1.0596860425199999,8.97040909090909,0.8015023026417272
24,decode,4,82,24661852938039,24661941994325,0.089056286,36311072768,9077768192,44.91541450538371,4.0,0.40773172112746764,101.93293028186692,False,6,sampled,11.861666666666666,0.002581988897472015,11.865,91.33333333333333,2.7325202042558927,93.0,1.0563559791033332,8.972075757575757,0.7990197446803333
25,decode,4,83,24661942294779,24662031440297,0.089145518,36312449024,9078112256,44.87045551746078,4.0,0.4073390321653636,101.83475804134089,False,7,sampled,11.864285714285714,0.0018898223650464317,11.865,90.28571428571429,4.270608298368657,93.0,1.0576478957,8.974694805194805,0.800053817301
26,decode,4,84,24662031736620,24662120699622,0.088963002,36313825280,9078456320,44.96251149438505,4.0,0.4081901966392726,102.04754915981815,False,6,sampled,11.860833333333332,0.002041241452319634,11.865,89.16666666666667,6.145459028149701,93.0,1.0551753395549999,8.971242424242423,0.7981086577303635
27,decode,4,85,24662120983344,24662210158198,0.089174854,36315201536,9078800384,44.85569440909878,4.0,0.40723589562591267,101.80897390647816,False,6,sampled,11.86,0.0,11.86,91.83333333333333,3.3115957885386114,96.0,1.05761376844,8.97040909090909,0.7999349210020908
28,decode,4,86,24662210463773,24662299607893,0.08914412,36316577792,9079144448,44.87115919703958,4.0,0.4073917358991261,101.84793397478153,False,6,sampled,11.86,0.0,11.86,91.33333333333333,2.7325202042558927,93.0,1.0572492632,8.97040909090909,0.7996592244490908
29,decode,4,87,24662299989754,24662390782011,0.090792257,36317954048,9079488512,44.056620378982316,4.0,0.400011578608515,100.00289465212876,False,7,sampled,11.86,0.0,11.86,91.28571428571429,4.6084807950229365,97.0,1.07679616802,8.97040909090909,0.8144436875769545
30,decode,4,88,24662391081705,24662480282139,0.089200434,36319330304,9079832576,44.8428311458664,4.0,0.4071653990383052,101.79134975957629,False,7,sampled,11.86,0.0,11.86,91.57142857142857,2.760262237369417,96.0,1.05791714724,8.97040909090909,0.8001643840666363
31,decode,4,89,24662480677121,24662571144398,0.090467277,36320706560,9080176640,44.21488224963375,4.0,0.4014789409434751,100.36973523586877,False,6,sampled,11.86,0.0,11.86,89.83333333333333,5.036533199202271,93.0,1.07294190522,8.97040909090909,0.8115284840305909
32,decode,4,90,24662571459213,24662660218225,0.088759012,36322082816,9080520704,45.06584638413956,4.0,0.40922135113446284,102.30533778361571,False,6,sampled,11.86,0.0,11.86,89.83333333333333,5.419102016632153,93.0,1.05268188232,8.97040909090909,0.796204648144909
33,decode,4,91,24662660514651,24662749615356,0.089100705,36323459072,9080864768,44.89302301255641,4.0,0.4076674710037367,101.91686775093417,False,7,sampled,11.86,0.0,11.86,92.0,3.605551275463989,97.0,1.0567343613,8.97040909090909,0.799269774138409
34,decode,4,92,24662749918689,24662839005809,0.08908712,36324835328,9081208832,44.899868802583356,4.0,0.40774508512566127,101.93627128141532,False,6,sampled,11.86,0.0,11.86,88.83333333333333,6.493586579592719,93.0,1.0565732432000001,8.97040909090909,0.7991479111309091
35,decode,4,93,24662839278355,24662928453076,0.089174721,36326211584,9081552896,44.85576130930648,4.0,0.407359969020817,101.83999225520425,False,7,sampled,11.86,0.0,11.86,91.57142857142857,2.5727509827124,93.0,1.05761219106,8.97040909090909,0.7999337279376817
