step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,480,120,26073504505165,26073803556336,0.299051171,2920722923520,7233454080,1605.0764770287424,403.7798389562736,9.766632625959522,24.188014565574132,False,23,sampled,15.55608695652174,1.8258986806761381,18.186,91.47826086956522,3.666427109194396,95.0,4.652066020525653,12.725860846158348,3.805683588026705
1,decode,4,120,26073803789253,26073898202854,0.094413601,29029761024,7233650688,42.366777218888195,4.013154944315719,0.30747435450534294,76.61661679443834,False,8,sampled,18.186,0.5176129276371899,18.977,59.5,9.086882225022428,75.0,1.717005747786,15.355773889636609,1.4497939090623688
2,decode,4,121,26073898600392,26073989805414,0.091205022,29031333888,7233847296,43.85723408958774,4.013263302372039,0.3183085015647494,79.31413355725083,False,6,sampled,16.802333333333333,0.41456563613819536,17.395,54.666666666666664,2.6583202716502514,57.0,1.532457181318,13.972107222969942,1.2743263466573325
3,decode,4,122,26073990197462,26074079765762,0.0895683,29032906752,7234043904,44.658657136509234,4.013371654538413,0.32414265707845297,80.76567160479769,False,6,sampled,15.6165,0.21635041021454038,15.814,55.666666666666664,2.422120283277993,58.0,1.39874335695,12.786273889636607,1.1452448156291386
4,decode,4,123,26074080163625,26074169048015,0.08888439,29034479616,7234240512,45.00227767777897,4.013480000815322,0.32665442847726134,81.38932507721547,False,6,sampled,14.759666666666666,0.20397712290025707,15.023,57.5,2.258317958127243,59.0,1.3119039682699998,11.929440556303273,1.060341046888277
5,decode,4,124,26074169220255,26074254627039,0.085406784,29036052480,7234437120,46.83468704312763,4.013588341203247,0.33997360771715746,84.7056496120964,False,7,sampled,14.175714285714283,0.2728520443303259,14.628,65.28571428571429,9.621404708847278,87.0,1.2107021680457142,11.34548817535089,0.9689816579667476
6,decode,4,125,26074254981587,26074338660215,0.083678628,29037625344,7234633728,47.801930978122634,4.013696675702668,0.3470136406156181,86.4573655294635,False,6,sampled,13.578999999999999,0.20449352067975202,13.843,61.666666666666664,1.3662601021279464,63.0,1.136272089612,10.748773889636606,0.8994426517670147
7,decode,4,126,26074339015586,26074422360028,0.083344442,29039198208,7234830336,47.99360226084422,4.013805004314064,0.34842393219214307,86.80639239266849,False,7,sampled,13.221285714285713,0.21113638111081504,13.447,65.42857142857143,7.1614044911395895,81.0,1.1019206803797144,10.391059603922322,0.8660370644776471
8,decode,4,127,26074422521612,26074511004722,0.08848311,29040771072,7235026944,45.206367633325726,4.0139133270379155,0.3282069433590207,81.76732196687028,False,7,sampled,12.825714285714286,0.21167090359463958,13.052,61.42857142857143,12.17726218350062,87.0,1.1348590879714286,9.995488175350893,0.8844318797232724
9,decode,4,128,26074511361473,26074597910135,0.086548662,29042343936,7235223552,46.21677455857146,4.014021643874702,0.3355608655856517,83.59717394591264,False,6,sampled,12.590166666666667,0.16125807473322645,12.656,60.166666666666664,2.6394443859772205,63.0,1.089662079357,9.759940556303274,0.844709796347584
10,decode,4,129,26074598258220,26074684287907,0.086029687,29043916800,7235420160,46.49557774166957,4.014129954824904,0.3376034228742457,84.10376013573082,False,7,sampled,12.261,0.0,12.261,63.857142857142854,9.08164029656485,84.0,1.0548099923069998,9.430773889636608,0.8113265258932099
11,decode,4,130,26074684664140,26074769763138,0.085098998,29045489664,7235616768,47.004078708423805,4.014238259889002,0.34131412057284155,85.02587501676578,False,7,sampled,12.203714285714286,0.14937058421446753,12.261,64.0,7.438637868140466,78.0,1.0385238575925713,9.373488175350893,0.7976744514872093
12,decode,4,131,26074770091372,26074855081320,0.084989948,29047062528,7235813376,47.064389308721545,4.014346559067474,0.3417705647731424,85.1372844233297,False,7,sampled,11.865,0.0,11.865,65.71428571428571,12.147898113312795,87.0,1.00840573302,9.034773889636607,0.7678649630719729
