step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,24928408209548,24928537012720,0.128803172,3034794491904,14153875456,1801.197877331779,214.41438433863806,23.56148877998129,109.88763115243778,False,8,sampled,15.171375,1.4009868906799747,17.0,95.25,3.8078865529319543,97.0,1.9541212236014998,12.005901174496644,1.5463981539936933
1,decode,4,58,24928537288498,24928642053835,0.104765337,56657018880,14154104832,38.18056729965943,4.002868394185425,0.5407992805864787,135.10293802615269,False,7,sampled,17.11285714285714,0.2985919336772892,17.395,96.28571428571429,0.9511897312113419,97.0,1.7928342456042856,13.947383317353786,1.4612023135107473
2,decode,4,59,24928642457372,24928748283838,0.105826466,56658624512,14154334208,37.797728216682586,4.002916963764828,0.5353918226089115,133.7504193705193,False,5,sampled,16.3674,0.21689813277204623,16.605,95.2,2.9495762407505253,97.0,1.7321040996083998,13.201926174496645,1.397113191439879
3,decode,4,60,24928748688672,24928854204560,0.105515888,56660230144,14154563584,37.90898295809253,4.002965531770082,0.5369829247326241,134.14627742127328,False,6,sampled,15.6165,0.21635041021454038,15.814,95.33333333333333,2.6583202716502514,97.0,1.647788864952,12.451026174496645,1.3137810833132566
4,decode,4,61,24928854603152,24928959620476,0.105017324,56661835776,14154792960,38.08895378061624,4.003014098201264,0.5395475109992328,134.78531370690803,False,6,sampled,15.088999999999999,0.16166632302369008,15.419,94.5,4.230839160261236,97.0,1.5846064018359998,11.923526174496644,1.2521768114895946
5,decode,4,62,24928960052114,24929065795005,0.105742891,56663441408,14155022336,37.827602046552705,4.00306266305845,0.5358605280424951,133.86263797156823,False,6,sampled,14.628,0.0,14.628,95.0,3.521363372331802,97.0,1.546807009548,11.462526174496645,1.2120806558544457
6,decode,4,63,24929066198226,24929171377980,0.105179754,56665047040,14155251712,38.03013268123826,4.003111226341717,0.5387448143299517,134.58152518592124,False,7,sampled,14.401714285714286,0.21167090359464052,14.628,96.0,1.4142135623730951,97.0,1.5147687657497144,11.236240460210931,1.1818250074898324
7,decode,4,64,24929171777535,24929276756844,0.104979309,56666652672,14155481088,38.102746513601076,4.00315978805114,0.5397887756338727,134.84067691853448,False,5,sampled,14.232,0.0,14.232,95.2,2.9495762407505253,97.0,1.494065525688,11.066526174496644,1.1617562708290712
8,decode,4,65,24929277147714,24929382107982,0.104960268,56668258304,14155710464,38.10965879012428,4.0032083481867975,0.5399019970490168,134.86732392870798,False,6,sampled,13.836999999999998,0.0,13.837,93.66666666666667,6.250333324444918,97.0,1.4523352283159998,10.671526174496643,1.1200862472441824
9,decode,4,66,24929382569213,24929487140620,0.104571407,56669863936,14155939840,38.25137401087087,4.003256906748764,0.5419250401402746,135.37103732380686,False,7,sampled,13.837,0.0,13.837,95.14285714285714,2.2677868380553634,97.0,1.446954558659,10.671526174496645,1.1159365069044418
10,decode,4,67,24929487516269,24929592408758,0.104892489,56671469568,14156169216,38.134284333742904,4.003305463737118,0.5402814835292925,134.9588454898806,False,6,sampled,13.836999999999998,0.0,13.837,94.5,4.722287581247038,97.0,1.4513973702929999,10.671526174496643,1.1193629418716013
11,decode,4,68,24929592678638,24929698006287,0.105327649,56673075200,14156398592,37.97673296590908,4.003354019151935,0.5380645608068211,134.4034422718388,False,7,sampled,13.837,0.0,13.837,95.85714285714286,0.6900655593423543,97.0,1.457418679213,10.671526174496645,1.1240067632016952
12,decode,4,69,24929698418657,24929803458069,0.105039412,56674680832,14156627968,38.08094432211787,4.003402572993292,0.5395563413092983,134.77444035958618,False,6,sampled,13.442,0.0,13.442,95.0,4.0,97.0,1.411939776104,10.276526174496645,1.079440266771737
13,decode,4,70,24929803861549,24929908900497,0.105038948,56676286464,14156857344,38.08111254122614,4.003451125261265,0.5395740108135889,134.77721943673694,False,6,sampled,13.442,0.0,13.442,92.33333333333333,9.542885657214313,97.0,1.411933539016,10.276526174496645,1.0794354984635919
14,decode,4,71,24929909342302,24930014547181,0.105204879,56677892096,14157086720,38.02105033550773,4.00349967595593,0.5387382470731229,134.566826696317,False,6,sampled,13.442,0.0,13.442,95.83333333333333,1.4719601443879744,97.0,1.414163983518,10.276526174496645,1.0811406927282525
15,decode,4,72,24930014953912,24930120337995,0.105384083,56679497728,14157316096,37.95639612862599,4.003548225077364,0.5378373670338812,134.3401744644872,False,6,sampled,13.442,0.0,13.442,95.66666666666667,2.804757862395017,97.0,1.4165728436860001,10.276526174496645,1.082982287324827
16,decode,4,73,24930120743188,24930225688923,0.104945735,56681103360,14157545472,38.114936257295255,4.003596772625644,0.540099160389891,134.9034858062598,False,6,sampled,13.442,0.0,13.442,95.83333333333333,1.4719601443879744,97.0,1.41068056987,10.276526174496645,1.0784775926292887
17,decode,4,74,24930226109358,24930331613639,0.105504281,56682708992,14157774848,37.91315349563872,4.003645318600846,0.5372550616405792,134.19147274222928,False,6,sampled,13.442,0.0,13.442,95.33333333333333,2.6583202716502514,97.0,1.418188545202,10.276526174496645,1.0842175052179492
18,decode,4,75,24930332036611,24930437647186,0.105610575,56684314624,14158004224,37.87499499931707,4.003693863003046,0.5367295332309289,134.0585847960775,False,6,sampled,13.442,0.0,13.442,94.83333333333333,3.430257521916783,97.0,1.41961734915,10.276526174496645,1.085309838291141
19,decode,4,76,24930438055631,24930543375973,0.105320342,56685920256,14158233600,37.97936774645111,4.0037424058323206,0.5382238528621565,134.43019013364008,False,6,sampled,13.442,0.0,13.442,93.5,6.6558245169174945,97.0,1.415716037164,10.276526174496645,1.0823272512699382
20,decode,4,77,24930543779797,24930649840629,0.106060832,56687525888,14158462976,37.714205372252785,4.003790947088747,0.5344812483462321,133.49379510807535,False,7,sampled,13.441999999999998,0.0,13.442,95.42857142857143,1.8126539343499315,97.0,1.4256697037439998,10.276526174496643,1.089936916136891
21,decode,4,78,24930650240342,24930756158989,0.105918647,56689131520,14158692352,37.76483285327465,4.003839486772401,0.5352138941125258,133.6751625235545,False,6,sampled,13.442,0.0,13.442,94.5,4.230839160261236,97.0,1.4237584529740002,10.276526174496645,1.0884757482627707
22,decode,4,79,24930756557054,24930861379269,0.104822215,56690737152,14158921728,38.15984998981371,4.003888024883359,0.5408275063830698,135.07558228949847,False,6,sampled,13.442,0.0,13.442,94.5,3.7282703764614498,97.0,1.4090202140299999,10.276526174496645,1.0772082361162147
23,decode,4,80,24930861780621,24930967296254,0.105515633,56692342784,14159151104,37.909074572864476,4.003936561421698,0.5372885625772629,134.1900787724981,False,7,sampled,13.441999999999998,0.0,13.442,93.71428571428571,5.437961803049794,97.0,1.4183411387859999,10.276526174496643,1.0843341643430817
24,decode,4,81,24930967702022,24931073001958,0.105299936,56693948416,14159380480,37.98672774122104,4.003985096387494,0.5384043957633554,134.46713281952992,False,6,sampled,13.442,0.0,13.442,92.5,8.64291617453276,97.0,1.415441739712,10.276526174496645,1.0821175484768215
25,decode,4,82,24931073231060,24931178178458,0.104947398,56695554048,14159609856,38.114332286732825,4.004033629780824,0.5402282965414731,134.92101877552028,False,6,sampled,13.442,0.0,13.442,95.0,2.0,97.0,1.410702923916,10.276526174496645,1.078494682492317
26,decode,4,83,24931178601356,24931283911429,0.105310073,56697159680,14159839232,37.98307119205966,4.004082161601763,0.5383830631282536,134.45854540429386,False,6,sampled,13.442,0.0,13.442,95.33333333333333,2.6583202716502514,97.0,1.415578001266,10.276526174496645,1.0822217216226524
27,decode,4,84,24931284329142,24931389577228,0.105248086,56698765312,14160068608,38.00544173316368,4.004130691850388,0.5387154053518844,134.53991560473602,False,6,sampled,13.442,0.0,13.442,94.5,3.8340579025361627,97.0,1.414744772012,10.276526174496645,1.0815847105946739
28,decode,4,85,24931390009914,24931495225844,0.10521593,56700370944,14160297984,38.01705692284429,4.004179220526776,0.5388953074311086,134.5832136255413,False,6,sampled,13.442,0.0,13.442,96.16666666666667,1.602081978759722,97.0,1.41431253106,10.276526174496645,1.0812542586190068
