step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,42955487724273,42955663409818,0.175538822,1826624012288,9069510656,1344.4319456581518,201.40270865436204,10.405812181467185,51.66669431107381,False,12,sampled,14.331333333333333,0.9555095102836101,15.419,79.83333333333333,25.04843792383554,98.0,2.515705371022667,11.411917001338688,2.0032344671767657
1,decode,4,59,42955663545477,42955734546380,0.071000903,36279418880,9069854720,56.337311653627836,4.0,0.5109712320137675,127.74280800344187,False,5,sampled,14.5488,0.1770965838179837,14.628,93.6,3.4351128074635335,97.0,1.0329779375664,11.629383668005355,0.8256967417618325
2,decode,4,60,42955734678705,42955805273378,0.070594673,36280795136,9070198784,56.66149909073168,4.0,0.5139310601523716,128.4827650380929,False,4,sampled,14.232,0.0,14.232,93.75,4.573474244670748,97.0,1.004703386136,11.312583668005354,0.7986081448279785
3,decode,4,61,42955805409100,42955878258543,0.072849443,36282171392,9070542848,54.90776367363578,4.0,0.49804322308957116,124.51080577239279,False,5,sampled,13.837,0.0,13.837,88.6,10.667708282475669,96.0,1.008017742791,10.917583668005355,0.795339889120087
4,decode,4,62,42955878383858,42955949786649,0.071402791,36283547648,9070886912,56.02021915361824,4.0,0.5081530727279274,127.03826818198186,False,4,sampled,13.837,0.0,13.837,92.75,6.551081335677849,97.0,0.9880004190669999,10.917583668005355,0.7795459448715997
5,decode,4,63,42955949906103,42956021114320,0.071208217,36284923904,9071230976,56.17329247269314,4.0,0.5095609107022017,127.39022767555042,False,5,sampled,13.442000000000002,0.0,13.442,94.6,2.6076809620810595,96.0,0.9571808529140002,10.522583668005357,0.7492944212319814
6,decode,4,64,42956021242968,42956092446823,0.071203855,36286300160,9071575040,56.17673368948915,4.0,0.5096114551662969,127.40286379157422,False,4,sampled,13.442,0.0,13.442,92.25,7.544313531837517,97.0,0.9571222189099999,10.522583668005355,0.7492485217220214
7,decode,4,65,42956092570258,42956164019429,0.071449171,36287676416,9071919104,55.98385459223872,4.0,0.5078809999908886,126.97024999772215,False,5,sampled,13.362799999999998,0.1770965838179837,13.442,93.6,4.277849927241488,96.0,0.9547609822387999,10.443383668005353,0.7461711055139217
8,decode,4,66,42956164137577,42956236373720,0.072236143,36289052672,9072263168,55.37394209987097,4.0,0.502366975379624,125.591743844906,False,5,sampled,13.045999999999998,0.0,13.046,88.0,12.864680330268607,96.0,0.9423927215779999,10.126583668005352,0.7315053459434991
9,decode,4,67,42956236509267,42956308074354,0.071565087,36290428928,9072607232,55.893175956035655,4.0,0.5070968323981776,126.77420809954441,False,4,sampled,13.046,0.0,13.046,92.25,6.849574196011506,96.0,0.9336381250019999,10.126583668005354,0.7247098412135823
10,decode,4,68,42956308205846,42956380255667,0.072049821,36291805184,9072951296,55.517140007884265,4.0,0.503704307384747,125.92607684618675,False,5,sampled,13.045999999999998,0.0,13.046,94.0,4.527692569068709,97.0,0.9399619647659998,10.126583668005352,0.729618540621309
11,decode,4,69,42956380389269,42956453591129,0.07320186,36293181440,9073295360,54.643420262818466,4.0,0.4957958915251608,123.94897288129019,False,5,sampled,12.809000000000001,0.21635041021454038,13.046,88.8,12.437845472588892,96.0,0.93764262474,9.889583668005356,0.7239359191236144
12,decode,4,70,42956453634360,42956525250080,0.07161572,36294557696,9073639424,55.85365894527068,4.0,0.5067959617804583,126.69899044511457,False,4,sampled,12.651,0.0,12.651,93.25,4.856267428111155,96.0,0.9060104737199999,9.731583668005355,0.6969343711244443
13,decode,4,71,42956525375016,42956596936908,0.071561892,36295933952,9073983488,55.895671400079806,4.0,0.5071963993349979,126.7990998337495,False,5,sampled,12.651,0.0,12.651,93.8,4.494441010848846,97.0,0.905329495692,9.731583668005355,0.6964105394387631
14,decode,4,72,42956597067742,42956668459142,0.0713914,36297310208,9074327552,56.02915757360131,4.0,0.5084269282854798,127.10673207136995,False,5,sampled,12.652,0.0022360679775001394,12.656,92.6,4.827007354458868,97.0,0.9032439927999999,9.732583668005354,0.6948227736760374
15,decode,4,73,42956668592309,42956740174119,0.07158181,36298686464,9074671616,55.8801181473338,4.0,0.5070937220503365,126.77343051258414,False,5,sampled,12.651,0.0,12.651,92.4,7.569676347110225,97.0,0.9055814783099999,9.731583668005355,0.6966043731222623
16,decode,4,74,42956740312342,42956811994236,0.071681894,36300062720,9075015680,55.80209697026142,4.0,0.5064049049820029,126.60122624550071,False,4,sampled,12.651,0.0,12.651,93.25,4.856267428111155,96.0,0.906847640994,9.731583668005355,0.697578348942091
17,decode,4,75,42956812125300,42956883368714,0.071243414,36301438976,9075359744,56.14554069517219,4.0,0.5095409798300794,127.38524495751984,False,5,sampled,12.651,0.0,12.651,94.4,3.646916505762094,97.0,0.901300430514,9.731583668005355,0.6933112441353441
18,decode,4,76,42956883489289,42956954700082,0.071210793,36302815232,9075703808,56.17126044362405,4.0,0.5097937223083585,127.44843057708962,False,5,sampled,12.651,0.0,12.651,94.6,3.2093613071762426,97.0,0.900887742243,9.731583668005355,0.69299379014451
19,decode,4,77,42956954742462,42957026395302,0.07165284,36304191488,9076047872,55.82472376531063,4.0,0.5066678653351354,126.66696633378385,False,5,sampled,12.651,0.0,12.651,91.6,8.96102672688794,97.0,0.9064800788399999,9.731583668005355,0.6972956075102007
20,decode,4,78,42957026533024,42957097936037,0.071403013,36305567744,9076391936,56.02004498045481,4.0,0.5084598845149574,127.11497112873933,False,4,sampled,12.651,0.0,12.651,92.25,6.238322424070967,96.0,0.903319517463,9.731583668005355,0.694864395157174
21,decode,4,79,42957098068991,42957170190486,0.072121495,36306944000,9076736000,55.461967337199546,4.0,0.5034136355603832,125.8534088900958,False,5,sampled,12.334999999999999,0.1766493702224832,12.651,92.0,5.049752469181039,96.0,0.8896186408249999,9.415583668005354,0.6790659704341298
22,decode,4,80,42957170344662,42957242556934,0.072212272,36308320256,9077080064,55.392246902299384,4.0,0.5027998600570275,125.69996501425686,False,5,sampled,12.334999999999999,0.1766493702224832,12.651,92.6,4.277849927241488,96.0,0.8907383751199999,9.415583668005354,0.6799206888727602
23,decode,4,81,42957242687517,42957314880512,0.072192995,36309696512,9077424128,55.40703776038105,4.0,0.50295318142709,125.73829535677251,False,5,sampled,12.256,0.0,12.256,89.6,10.454664030948102,97.0,0.88479734672,9.336583668005355,0.6740359380613922
