step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,480,120,43806895795211,43807129806283,0.233965313,2920722923520,3721936896,2051.5861682453756,784.7319836773504,12.483572398272559,15.908071364407764,False,18,sampled,22.622888888888887,2.6418774048434237,26.093,77.22222222222223,29.91862602136896,98.0,5.292971279853111,20.1129718875502,4.705737763030883
1,decode,4,120,43807129884476,43807179006340,0.049121864,29029761024,3722133504,81.43013465449927,7.799226167681276,0.5909743372930636,75.77345810818579,False,4,sampled,23.11875,0.5103302035610537,23.712,52.0,18.01850900231944,79.0,1.13563609335,20.60883299866131,1.0123442917589531
2,decode,4,121,43807179061414,43807223319782,0.044258368,29031333888,3722330112,90.37838900883105,7.799236772259709,0.655951296893731,84.10454972040542,False,4,sampled,21.933500000000002,0.22805335632990192,22.131,56.75,14.930394055974098,79.0,0.970740914528,19.423582998661313,0.8596560842332959
3,decode,4,122,43807223369763,43807266092013,0.04272225,29032906752,3722526720,93.6280275500471,7.799247375717964,0.6795734483085512,87.13320857398662,False,3,sampled,21.076666666666668,0.22805335632990192,21.34,53.333333333333336,4.932882862316247,59.0,0.9004426225000002,18.56674966532798,0.7932133208895583
4,decode,4,123,43807266135911,43807306758255,0.040622344,29034479616,3722723328,98.46797614632972,7.799257978056219,0.7147416115623461,91.64225796522229,False,3,sampled,20.286666666666665,0.22805335632990192,20.55,64.0,14.730919862656235,81.0,0.8240919519466665,17.776749665327976,0.7221332401068379
5,decode,4,124,43807306803181,43807345953934,0.039150753,29036052480,3722919936,102.16917156101697,7.799268579274653,0.741647356820953,95.09191141227858,False,3,sampled,19.89166666666667,0.22805335632990192,20.155,65.66666666666667,15.044378795195676,83.0,0.7787737284250001,17.38174966532798,0.6805085878550885
6,decode,4,125,43807345996166,43807382966773,0.036970607,29037625344,3723116544,108.19405805265788,7.799279179373441,0.7854246305450164,100.70477187458674,False,3,sampled,19.232333333333333,0.22805335632990192,19.364,67.33333333333333,12.701705922171767,82.0,0.7110310373596667,16.722416331994644,0.6182378823005555
7,decode,4,126,43807383001097,43807418781031,0.035779934,29039198208,3723313152,111.79450470758275,7.799289778352761,0.8116056951921712,104.0614874247672,False,3,sampled,18.837333333333333,0.22805335632990192,18.969,70.66666666666667,12.503332889007368,85.0,0.6739985434026666,16.327416331994645,0.5841938787492904
8,decode,4,127,43807418817698,43807455320622,0.036502924,29040771072,3723509760,109.58026266608123,7.799300376212791,0.7955738305238232,102.00579438512926,False,3,sampled,18.447,0.22605972662108603,18.581,70.0,14.0,86.0,0.673369439028,15.93708299866131,0.5817501294818259
9,decode,4,128,43807455357760,43807490869000,0.03551124,29042343936,3723706368,112.64039216878938,7.799310972953709,0.8178352526129755,104.85993640323458,False,3,sampled,18.186,0.0,18.186,69.66666666666667,10.692676621563626,82.0,0.64580741064,15.676082998661311,0.5566771456253815
10,decode,4,129,43807490904870,43807526102037,0.035197167,29043916800,3723902976,113.64551016279236,7.79932156857569,0.8251776854654239,105.80121337606516,False,3,sampled,17.791,0.0,17.791,69.66666666666667,7.234178138070235,78.0,0.626192798097,15.281082998661311,0.537850830244743
11,decode,4,130,43807526138259,43807560618640,0.034480381,29045489664,3724099584,116.00799886752992,7.799332163078913,0.8423772830120411,108.00633508081016,False,3,sampled,17.527,0.22863070659909226,17.791,71.33333333333333,5.8594652770823155,78.0,0.604337637787,15.017082998661312,0.5177947433024644
12,decode,4,131,43807560654640,43807595599159,0.034944519,29047062528,3724296192,114.46716436417397,7.799342756463554,0.8312337201722536,106.5774060876328,False,2,sampled,17.395,0.0,17.395,67.5,2.1213203435596424,69.0,0.607859908005,14.88508299866131,0.5201520656632972
13,decode,4,132,43807595630992,43807629538874,0.033907882,29048635392,3724492800,117.96667217374414,7.799353348729793,0.8566927120956714,109.8415052877676,False,3,sampled,17.0,0.0,17.0,74.66666666666667,9.814954576223638,86.0,0.5764339940000001,14.490082998661311,0.4913280244888139
14,decode,4,133,43807629575661,43807663672719,0.034097058,29050208256,3724689408,117.3121739711385,7.799363939877803,0.851985771206419,109.23785295493823,False,3,sampled,17.0,0.0,17.0,73.0,5.5677643628300215,79.0,0.579649986,14.490082998661311,0.49406920043016866
15,decode,4,134,43807663708524,43807697124509,0.033415985,29051781120,3724886016,119.70318995534622,7.799374529907763,0.8693977184871252,111.4701845838152,False,2,sampled,16.605,0.0,16.605,69.0,0.0,69.0,0.554872430925,14.095082998661312,0.47100108205702146
