step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,43082852327664,43083068449729,0.216001122,3034794491904,14153875456,1074.068494884948,214.41438433863806,14.04990151812267,65.5268608095471,False,13,sampled,15.661923076923076,1.6023001415433202,17.395,89.6923076923077,20.001602499902415,98.0,3.3829929572930766,12.732057305110995,2.750138663272271
1,decode,4,58,43083068592506,43083168944907,0.100352401,56657018880,14154104832,39.85953460146908,4.002868394185425,0.5645806011158617,141.04400782598117,False,6,sampled,16.0115,0.21635041021454038,16.209,95.0,4.0,97.0,1.6067924686115,13.081634228187921,1.3127734038024397
2,decode,4,59,43083169086897,43083270479570,0.101392673,56658624512,14154334208,39.45058239070194,4.002916963764828,0.5588039336136251,139.5991819645587,False,6,sampled,15.484833333333334,0.1612580747332257,15.814,94.0,5.621387729022079,97.0,1.5700486426261668,12.554967561521254,1.272981720490932
3,decode,4,60,43083270634680,43083372382063,0.101747383,56660230144,14154563584,39.313050439832935,4.002965531770082,0.5568716213959037,139.1147680329036,False,6,sampled,15.023000000000001,0.0,15.023,94.0,6.870225614927067,97.0,1.528550934809,12.093134228187921,1.2304447599858457
4,decode,4,61,43083372531646,43083474465423,0.101933777,56661835776,14154792960,39.241163407493474,4.003014098201264,0.555869089163644,138.86263588564955,False,5,sampled,14.628,0.0,14.628,94.4,5.856620185738529,98.0,1.4910872899560002,11.69813422818792,1.1924350057321746
5,decode,4,62,43083474615191,43083576143303,0.101528112,56663441408,14155022336,39.39795512005581,4.00306266305845,0.558105930385074,139.4197336792789,False,6,sampled,14.363999999999999,0.20449352067975202,14.628,95.66666666666667,3.32665998663324,98.0,1.458349800768,11.434134228187919,1.1608860605424967
6,decode,4,63,43083576286876,43083678258059,0.101971183,56665047040,14155251712,39.22676860579326,4.003111226341717,0.5556966720686177,138.81619586584574,False,6,sampled,14.232,0.0,14.232,95.66666666666667,2.160246899469287,97.0,1.4512538764560001,11.302134228187919,1.152491997673114
7,decode,4,64,43083678408947,43083779728136,0.101319189,56666652672,14155481088,39.4791948048459,4.00315978805114,0.5592884549441073,139.711748857366,False,6,sampled,13.902833333333334,0.1612580747332257,14.232,96.33333333333333,2.160246899469287,98.0,1.4086237981355,10.972967561521253,1.111772174256641
8,decode,4,65,43083779882070,43083881661361,0.101779291,56668258304,14155710464,39.300725724253674,4.0032083481867975,0.5567759192191661,139.0824235944029,False,6,sampled,13.836999999999998,0.0,13.837,93.33333333333333,7.004760286167305,98.0,1.4083200495669996,10.907134228187918,1.1101203885867983
9,decode,4,66,43083881805952,43083983455920,0.101649968,56669863936,14155939840,39.35072561951028,4.003256906748764,0.5575000666601293,139.26162613253356,False,5,sampled,13.837,0.0,13.837,95.6,3.1304951684997055,97.0,1.406530607216,10.90713422818792,1.1087098452670066
