step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,59,59,4808761453881470,4808761503005246,0.049123776,456656003072,9054285824,1201.047737046924,50.435342107441734,9.29602812031388,184.31575422866516,False,4,sampled,109.516,0.0,109.516,27.0,0.0,27.0,5.379839452416,43.789326612903224,2.151097071723097
1,decode,1,59,4808761503103554,4808761549469072,0.046365518,9069854720,9054371840,21.567752138561247,1.0017099894143513,0.19561637853371983,195.28244761548873,False,5,sampled,108.0768,0.8045372583044272,109.516,27.0,0.0,27.0,5.011036815782401,42.350126612903225,1.9635855577728436
2,decode,1,60,4808761549557381,4808761596172730,0.046615349,9070198784,9054457856,21.452161604539313,1.0017384727225351,0.19457537009966394,194.23769316840253,False,5,sampled,107.71700000000001,0.0,107.717,27.0,0.0,27.0,5.021265548233001,41.99032661290323,1.9573937296844721
3,decode,1,61,4808761596257500,4808761642472862,0.046215362,9070542848,9054543872,21.637826833423915,1.0017669554895499,0.19626683543017578,195.92065235797568,False,4,sampled,119.83924999999999,8.081499999999998,123.88,39.5,14.433756729740644,52.0,5.5384143205585,54.11257661290321,2.5008323169180557
4,decode,1,62,4808761642553546,4808761688960012,0.046406466,9070886912,9054629888,21.548721249319005,1.0017954377154106,0.19546601355078405,195.11569547226458,False,5,sampled,123.88,0.0,123.88,52.0,0.0,52.0,5.74883300808,58.153326612903214,2.698690374248588
5,decode,1,63,4808761689052152,4808761735303812,0.04625166,9071230976,9054715904,21.620845608568427,1.0018239194001333,0.19612768441175948,195.7706145898331,False,4,sampled,123.5825,0.34352341016782667,123.88,52.0,0.0,52.0,5.71589577195,57.855826612903215,2.675928021518951
6,decode,1,64,4808761735386029,4808761781781953,0.046395924,9071575040,9054801920,21.553617511745212,1.0018524005437328,0.19552525864125478,195.16373722829618,False,5,sampled,123.285,0.0,123.285,52.0,0.0,52.0,5.71992149034,57.558326612903215,2.670471747099435
7,decode,1,65,4808761781862647,4808761828193477,0.04633083,9071919104,9054887936,21.583899964667154,1.0018808811462248,0.19580739442828887,195.43979540189545,False,5,sampled,124.00219999999999,0.9820665456067663,125.078,51.2,1.0954451150103321,52.0,5.745124847826,58.27552661290321,2.6999535166628945
8,decode,1,66,4808761828275404,4808761874830060,0.046554656,9072263168,9054973952,21.48012864706808,1.0019093612076246,0.19487337996869744,194.50200538481047,False,4,sampled,125.078,0.0,125.078,50.0,0.0,50.0,5.822963263168,59.35132661290322,2.763080593607355
9,decode,1,67,4808761874911426,4808761921421196,0.04650977,9072607232,9055059968,21.500858851806836,1.0019378407279478,0.19506884751311393,194.69156626661453,False,5,sampled,126.47060000000002,3.1139482654662043,132.041,50.0,0.0,50.0,5.882118517762001,60.74392661290324,2.8251860556630084
10,decode,1,68,4808761921503716,4808761968044798,0.046541082,9072951296,9055145984,21.486393462017062,1.0019663197072097,0.19494500140757365,194.56242946822766,False,4,sampled,132.041,0.0,132.041,50.0,0.0,50.0,6.145331008362,66.31432661290322,3.0863405126659105
11,decode,1,69,4808761968126325,4808762014458032,0.046331707,9073295360,9055232000,21.58349140902579,1.0019947981454258,0.19583339245411355,195.4435220787354,False,5,sampled,132.041,0.0,132.041,50.0,0.0,50.0,6.1176849239869995,66.31432661290322,3.0724559505313342
12,decode,1,70,4808762014540088,4808762060861454,0.046321366,9073639424,9055318016,21.588309809343706,1.0020232760426113,0.19588453898358693,195.48901075153958,False,5,sampled,127.203,0.0,127.203,48.0,0.0,48.0,5.892216719298,61.47632661290322,2.8476674253718306
13,decode,1,71,4808762060943252,4808762107257312,0.04631406,9073983488,9055404032,21.591715345188913,1.002051753398782,0.19592286851984042,195.52170619461995,False,4,sampled,127.203,0.0,127.203,48.0,0.0,48.0,5.89128737418,61.47632661290322,2.8472182793295966
14,decode,1,72,4808762107338128,4808762153698984,0.046360856,9074327552,9055490048,21.56992096953516,1.0020802302139529,0.19573252814831546,195.32620467577215,False,5,sampled,125.18299999999999,1.1292143286373963,127.203,48.0,0.0,48.0,5.803591036647999,59.45632661290321,2.7564461963897733
15,decode,1,73,4808762153779946,4808762200593232,0.046813286,9074671616,9055576064,21.36145708720383,1.0021087064881398,0.19384820830565067,193.44029949104618,False,5,sampled,124.678,0.0,124.678,48.0,0.0,48.0,5.8365868719080005,58.951326612903216,2.75970531280925
16,decode,1,74,4808762200674121,4808762247079004,0.046404883,9075015680,9055662080,21.5494563363084,1.0021371822213578,0.1955616541474741,195.1445945893237,False,4,sampled,122.84275,1.2235000000000014,124.678,48.0,0.0,48.0,5.70050344114825,57.116076612903214,2.65046485264081
17,decode,1,75,4808762247160803,4808762293539808,0.046379005,9075359744,9055748096,21.561480243053943,1.0021656574136224,0.19567818981886306,195.25533365797736,False,5,sampled,122.231,0.0,122.231,48.0,0.0,48.0,5.6689521601549995,56.50432661290321,2.620614446501471
18,decode,1,76,4808762293621057,4808762340159252,0.046538195,9075703808,9055834112,21.487726371854347,1.0021941320649492,0.1950162400583005,194.5892854675606,False,4,sampled,122.096,0.15588457268119665,122.231,48.0,0.0,48.0,5.68212745672,56.36932661290322,2.6233267139299796
19,decode,1,77,4808762340242238,4808762386600380,0.046358142,9076047872,9055920128,21.57118376314564,1.0022226061753534,0.19578109649001896,195.3469172254574,False,5,sampled,121.96099999999998,0.0,121.961,48.0,0.0,48.0,5.653885356461999,56.2343266129032,2.6069188983953455
20,decode,1,78,4808762386681112,4808762434248677,0.047567565,9076391936,9056006144,21.02272840747682,1.0022510797448505,0.1908105225903407,190.3819576217534,False,5,sampled,123.5266,2.143786090075221,125.875,48.0,0.0,48.0,5.875859574729,57.79992661290322,2.7494017661545036
21,decode,1,79,4808762434329445,4808762480663856,0.046334411,9076736000,9056092160,21.582231831974727,1.0022795527734558,0.19589622062963097,195.45068048884877,False,4,sampled,125.875,0.0,125.875,48.0,0.0,48.0,5.832343984625,60.14832661290322,2.7869372862444957
22,decode,1,80,4808762480744173,4808762527116884,0.046372711,9077080064,9056178176,21.564406704624194,1.002308025261185,0.1957418461905322,195.2911093768057,False,5,sampled,128.3414,3.3772572895768525,132.041,48.0,0.0,48.0,5.951538651535399,62.61472661290321,2.903614621564169
23,decode,1,81,4808762527201911,4808762573629138,0.046427227,9077424128,9056264192,21.5390852440961,1.0023364972080533,0.1955194120898067,195.06364642454307,False,4,sampled,132.041,0.0,132.041,48.0,0.0,48.0,6.130297480307,66.31432661290322,3.078790295009399
24,decode,1,82,4808762573710146,4808762620019155,0.046309009,9077768192,9056350208,21.59407038919792,1.0023649686140759,0.19602596531486996,195.56346386077922,False,5,sampled,131.25740000000002,1.752182867168838,132.041,48.0,0.0,48.0,6.0784001179166,65.53072661290324,3.0346630084934754
25,decode,1,83,4808762620100509,4808762666256499,0.04615599,9078112256,9056436224,21.665660296745884,1.0023934394792686,0.1966832962742214,196.213670728328,False,5,sampled,128.123,0.0,128.123,48.0,0.0,48.0,5.91364390677,62.39632661290321,2.8799642271818944
26,decode,1,84,4808762666337695,4808762712490845,0.04615315,9078456320,9056522240,21.666993477151614,1.0024219098036466,0.19670285386804587,196.22760829975854,False,4,sampled,128.123,0.0,128.123,48.0,0.0,48.0,5.913280037449999,62.39632661290321,2.8797870216143138
27,decode,1,85,4808762712573738,4808762759077192,0.046503454,9078800384,9056608256,21.50377905262693,1.0024503795872255,0.19522851752044051,194.7513029032209,False,5,sampled,125.673,0.0,125.673,48.0,0.0,48.0,5.844228574542,59.94632661290322,2.787711242112121
28,decode,1,86,4808762759161411,4808762805406713,0.046245302,9079144448,9056694272,21.623818134002022,1.0024788488300205,0.19632576835588617,195.84030983298584,False,4,sampled,125.673,0.0,125.673,48.0,0.0,48.0,5.811785838246,59.94632661290322,2.7722359780043466
29,decode,1,87,4808762805488701,4808762851674993,0.046186292,9079488512,9056780288,21.6514458445809,1.002507317532047,0.1965840538140624,196.09238793189982,False,5,sampled,123.76259999999999,1.067946066053902,125.673,48.0,0.0,48.0,5.7161355822791995,58.03592661290321,2.6804642530341183
30,decode,1,88,4808762851755606,4808762897877422,0.046121816,9079832576,9056866304,21.681713486736946,1.0025357856933206,0.1968663284203727,196.36838029101023,False,5,sampled,123.285,0.0,123.285,48.0,0.0,48.0,5.68612808556,57.558326612903215,2.6546945493082257
31,decode,1,89,4808762897957824,4808762944462666,0.046504842,9080176640,9056952320,21.503137243214375,1.0025642533138566,0.19525228448254917,194.75288874220882,False,4,sampled,121.89375000000001,0.9274999999999949,123.285,48.0,0.0,48.0,5.6686495845375005,56.16707661290323,2.61204102348496
32,decode,1,90,4808762944544618,4808762990883088,0.04633847,9080520704,9057038336,21.58034134489119,1.0025927203936702,0.19596073638167164,195.4539788646453,False,5,sampled,121.43000000000002,0.0,121.43,48.0,0.0,48.0,5.626880412100001,55.70332661290324,2.581206929152218
33,decode,1,91,4808762990964887,4808763037293736,0.046328849,9080864768,9057124352,21.584822882174347,1.0026211869327772,0.19600885763425724,195.49642495974808,False,4,sampled,123.416,2.2932352692211904,125.402,48.0,0.0,48.0,5.717721228184,57.689326612903216,2.6726801015608745
34,decode,1,92,4808763037374788,4808763083904494,0.046529706,9081208832,9057210368,21.491646648272397,1.0026496529311928,0.1951701313565145,194.65436484812523,False,5,sampled,125.402,0.0,125.402,48.0,0.0,48.0,5.834918191812,59.67532661290322,2.7766754027523626
