step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,240,120,4809856450517041,4809856508817026,0.058299985,1460361461760,7221657600,4116.63913807182,202.21970393057683,25.049088121720786,123.87065965797419,False,5,sampled,105.982,0.0,105.982,22.0,0.0,22.0,6.17874901027,40.5661995967742,2.365008827998942
1,decode,2,120,4809856508930587,4809856546416794,0.037486207,14514880512,7221755904,53.3529572623872,2.0098824586359214,0.38720589981269643,192.65101705275222,False,4,sampled,119.43325,26.902500000000003,159.787,27.5,11.0,44.0,4.47709953218275,54.0174495967742,2.024909297196744
2,decode,2,121,4809856546513058,4809856583045969,0.036532911,14515666944,7221854208,54.7451584134645,2.0099639962158595,0.39733124316318513,197.6807763279526,False,4,sampled,159.787,0.0,159.787,44.0,0.0,44.0,5.837484249957001,94.3711995967742,3.447654635832188
3,decode,2,122,4809856583132489,4809856621412314,0.038279825,14516453376,7221952512,52.246842821251136,2.0100455315760457,0.3792194289289462,188.66210887850193,False,3,sampled,159.787,0.0,159.787,44.0,0.0,44.0,6.116618397275,94.3711995967742,3.6125130056045873
4,decode,2,123,4809856621514434,4809856657973840,0.036459406,14517239808,7222050816,54.855528913444175,2.0101270647165714,0.39817543401557337,198.08470867572555,False,4,sampled,143.0315,19.347584870813556,159.787,44.0,0.0,44.0,5.214843529288999,77.61569959677419,2.8298223035728265
5,decode,2,124,4809856658061873,4809856694326677,0.036264804,14518026240,7222149120,55.1498913381691,2.010208595637527,0.40033378479034387,199.1503695980268,False,4,sampled,126.276,0.0,126.276,44.0,0.0,44.0,4.579374389903999,60.860199596774194,2.207083209777895
6,decode,2,125,4809856694415433,4809856730847443,0.03643201,14518812672,7222247424,54.896778958942974,2.0102901243390026,0.3985180250005421,198.23906021106166,False,3,sampled,126.276,0.0,126.276,44.0,0.0,44.0,4.6004884947599995,60.860199596774194,2.2172594003116735
7,decode,2,126,4809856730926492,4809856767194668,0.036268176,14519599104,7222345728,55.14476382821127,2.010371650821089,0.40033993173519394,199.13727472812528,False,4,sampled,128.80275,1.684500000000007,129.645,50.75,4.5,53.0,4.671440806284,63.3869495967742,2.298929044078936
8,decode,2,127,4809856767277285,4809856803883692,0.036606407,14520385536,7222444032,54.63524458983368,2.010453175083877,0.39666240764902166,197.29999811235228,False,4,sampled,129.645,0.0,129.645,53.0,0.0,53.0,4.7458376355150005,64.22919959677421,2.3512002217237526
9,decode,2,128,4809856803965096,4809856840408756,0.03644366,14521171968,7222542336,54.87923002245109,2.010534697127458,0.3984553683137204,198.18378110211762,False,3,sampled,126.81666666666668,4.898817034073982,129.645,53.0,0.0,53.0,4.621663482333334,61.400866263440875,2.2376722938103097
10,decode,2,129,4809856840493261,4809856876684918,0.036191657,14521958400,7222640640,55.26135484761032,2.0106162169519206,0.40125154811231767,199.56645367190563,False,4,sampled,121.16,0.0,121.16,53.0,0.0,53.0,4.38498116212,55.744199596774195,2.01747495154599
11,decode,2,130,4809856876765466,4809856913072107,0.036306641,14522744832,7222738944,55.086340815720185,2.0106977345573576,0.4000024356976455,198.93712954607946,False,3,sampled,121.16000000000001,0.0,121.16,53.0,0.0,53.0,4.39891262356,55.74419959677421,2.023884642592426
12,decode,2,131,4809856913155433,4809856949685797,0.036530364,14523531264,7222837248,54.74897540029987,2.010779249943858,0.397574227949111,197.72146940556078,False,4,sampled,121.6235,0.535203699538787,122.087,47.0,6.928203230275509,53.0,4.442950725954001,56.207699596774205,2.0532877258728153
13,decode,2,132,4809856949766731,4809856986055108,0.036288377,14524317696,7222935552,55.114065861914966,2.010860763111513,0.40024710104836053,199.04267286464756,False,4,sampled,122.087,0.0,122.087,41.0,0.0,41.0,4.430339082799,56.6711995967742,2.05650585600999
14,decode,2,133,4809856986134871,4809857022393963,0.036259092,14525104128,7223033856,55.1585792606169,2.010942274060414,0.40059205365650086,199.20614272414764,False,3,sampled,122.087,0.0,122.087,41.0,0.0,41.0,4.426763765004,56.6711995967742,2.0548462399297986
15,decode,2,134,4809857022474867,4809857058709229,0.036234362,14525890560,7223132160,55.19622506393241,2.0110237827906503,0.4008871623019056,199.3448141849441,False,4,sampled,123.188,0.7340000000000018,123.555,41.0,0.0,41.0,4.463638586056,57.7721995967742,2.09333879372577
16,decode,2,135,4809857058789741,4809857098428713,0.039638972,14526676992,7223230464,50.45539526100727,2.011105289302313,0.3664746147301701,182.22547406123448,False,4,sampled,123.555,0.0,123.555,41.0,0.0,41.0,4.897593185460001,58.139199596774205,2.304578104918944
17,decode,2,136,4809857098522686,4809857135906614,0.037383928,14527463424,7223328768,53.498926062558226,2.011186793595493,0.3886018457985475,193.2201658423909,False,3,sampled,123.555,0.0,123.555,41.0,0.0,41.0,4.61897122404,58.139199596774205,2.173471651703436
18,decode,2,137,4809857135988199,4809857173047804,0.037059605,14528249856,7223427072,53.96711594740418,2.0112682956702796,0.39202387224580504,194.91376316612116,False,4,sampled,129.923,0.0,129.923,42.0,0.0,42.0,4.814895060415,64.5071995967742,2.3906113367126114
19,decode,2,138,4809857173136437,4809857209699076,0.036562639,14529036288,7223525376,54.70064674489169,2.0113497955267654,0.3973738407668002,197.56575492266845,False,4,sampled,129.923,0.0,129.923,42.0,0.0,42.0,4.750327746797,64.5071995967742,2.3585534517578006
20,decode,2,139,4809857209781611,4809857246569272,0.036787661,14529822720,7223623680,54.36605496609312,2.0114312931650393,0.3949645703215543,196.35996102062592,False,3,sampled,126.60266666666666,5.750986031397861,129.923,42.0,0.0,42.0,4.657415983029333,61.18686626344086,2.250921693751799
21,decode,2,140,4809857246651201,4809857283512676,0.036861475,14530609152,7223721984,54.25718856882423,2.0115127885851924,0.39419500038997357,195.96942292732456,False,4,sampled,119.962,0.0,119.962,42.0,0.0,42.0,4.4219762639499995,54.5461995967742,2.010653372781502
22,decode,2,141,4809857283594986,4809857320320144,0.036725158,14531395584,7223820288,54.458581226525965,2.011594281787316,0.3956795933730224,196.6995019599371,False,4,sampled,119.962,0.0,119.962,42.0,0.0,42.0,4.4056234039960005,54.5461995967742,2.003217798491069
