step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,928,58,4811184341010898,4811184420491519,0.079480621,12139177967616,14193786880,11675.802080107049,855.2458952811894,152.73129241926785,178.58173101088377,False,7,sampled,149.46314285714286,75.45319381671565,230.126,44.0,0.0,44.0,11.879423410897429,84.06835959101382,6.681805426745084
1,decode,16,58,4811184420599173,4811184440438585,0.019839412,226628075520,14194704384,806.4755144960949,15.965677719604422,11.42312461276574,715.4800950753985,False,2,sampled,230.126,0.0,230.126,44.0,0.0,44.0,4.565564525912,164.73121673387095,3.2681704780445604
2,decode,16,59,4811184440529568,4811184460329130,0.019799562,226634498048,14195621888,808.0986842032162,15.965098241985523,11.446439979227824,716.9664605711985,False,2,sampled,230.126,0.0,230.126,44.0,0.0,44.0,4.556394004812,164.73121673387095,3.2616059390577155
3,decode,16,60,4811184460416470,4811184480108524,0.019692054,226640920576,14196539392,812.5104674200061,15.964518839268402,11.509257519606638,720.9273035712781,False,2,sampled,230.126,0.0,230.126,44.0,0.0,44.0,4.531653618804,164.73121673387095,3.2438960154090903
4,decode,16,61,4811184480193891,4811184500010839,0.019816948,226647343104,14197456896,807.3897151064835,15.963939511438543,11.43704586114875,716.4300424061262,False,2,sampled,317.641,123.76489991108141,405.156,51.0,9.899494936611665,58.0,6.294675179668,252.246216733871,4.998750160211851
5,decode,16,62,4811184500097469,4811184520716055,0.020618586,226653765632,14198374400,775.9988973055669,15.963360258481421,10.99269201253665,688.6201798707243,False,2,sampled,405.156,0.0,405.156,58.0,0.0,58.0,8.353743829416,339.761216733871,7.005395866691958
6,decode,16,63,4811184520801027,4811184540512131,0.019711104,226660188160,14199291904,811.7252082886885,15.962781080382527,11.499111777808082,720.370198645393,False,2,sampled,405.156,0.0,405.156,58.0,0.0,58.0,7.986072052224,339.761216733871,6.697068678207871
7,decode,16,64,4811184540596459,4811184560297387,0.019700928,226666610688,14200209408,812.1444837522375,15.96220197712735,11.505377345067197,720.7888586771141,False,2,sampled,405.156,0.0,405.156,58.0,0.0,58.0,7.981949184768,339.761216733871,6.6936112680663875
8,decode,16,65,4811184560380690,4811184579965823,0.019585133,226673033216,14201126912,816.9462009780582,15.961622948701383,11.573729584374023,725.0972925228539,False,2,sampled,405.156,0.0,405.156,58.0,0.0,58.0,7.935034145748,339.761216733871,6.654268617974689
9,decode,16,66,4811184580057829,4811184599689825,0.019631996,226679455744,14202044416,814.9960910749983,15.961043995090122,11.546429397398004,723.4131677695941,False,2,sampled,316.7205,125.06668349524585,405.156,58.0,0.0,58.0,6.217855589118,251.325716733871,4.934025465616488
