step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,7034034176997159,7034034291682336,0.114652863,1826624012288,9069510656,2058.3873252253634,201.40270865436204,15.931778452736937,79.10409228943547,False,11,sampled,118.48127272727274,0.3652760848752821,118.942,11.0,0.0,11.0,13.584217130065637,55.538520711143704,6.367650406317422
1,decode,4,59,7034034291713045,7034034324848119,0.033135074,36279418880,9069854720,120.71800413060795,4.0,1.094894759552974,273.7236898882435,False,3,sampled,118.218,0.0,118.218,11.0,0.0,11.0,3.917162178132,55.27524798387097,1.8315494323139154
2,decode,4,60,7034034324872921,7034034358212654,0.033339733,36280795136,9070198784,119.97696562237014,4.0,1.0882149276960316,272.0537319240079,False,3,sampled,116.823,0.0,116.823,32.0,0.0,32.0,3.8948476282590003,53.88024798387096,1.7963530817560462
3,decode,4,61,7034034358234866,7034034391659667,0.033424801,36282171392,9070542848,119.67161749145494,4.0,1.0854865341457083,271.37163353642705,False,4,sampled,116.823,0.0,116.823,32.0,0.0,32.0,3.9047855272229994,53.88024798387096,1.8009365666915378
4,decode,4,62,7034034391680339,7034034424971016,0.033290677,36283547648,9070886912,120.1537595645772,4.0,1.0899011650619181,272.47529126547954,False,3,sampled,116.823,0.0,116.823,32.0,0.0,32.0,3.8891167591709994,53.88024798387096,1.793709932310949
5,decode,4,63,7034034424990865,7034034458375419,0.033384554,36284923904,9071230976,119.8158885093987,4.0,1.0868775992634199,271.71939981585496,False,3,sampled,126.808,0.0,126.808,32.0,0.0,32.0,4.233428523632,63.86524798387097,2.1321128200409314
6,decode,4,64,7034034458394505,7034034491565802,0.033171297,36286300160,9071575040,120.58618027507335,4.0,1.0939065831522958,273.47664578807394,False,4,sampled,126.808,0.0,126.808,32.0,0.0,32.0,4.206385829976001,63.86524798387097,2.118493108851635
7,decode,4,65,7034034491585255,7034034524749891,0.033164636,36287676416,9071919104,120.61039958345994,4.0,1.0941677881222638,273.54194703056595,False,3,sampled,126.808,0.0,126.808,32.0,0.0,32.0,4.205541161888,63.86524798387097,2.1180677024348147
8,decode,4,66,7034034524770686,7034034557845492,0.033074806,36289052672,9072263168,120.9379731509234,4.0,1.0971811194296952,274.29527985742385,False,3,sampled,105.653,0.0,105.653,32.0,0.0,32.0,3.494452478318,42.71024798387097,1.4126331662784235
9,decode,4,67,7034034557865346,7034034591057913,0.033192567,36290428928,9072607232,120.50890791302764,4.0,1.0933299894521566,273.3324973630392,False,3,sampled,105.653,0.0,105.653,32.0,0.0,32.0,3.5068942812510002,42.71024798387097,1.417662767791252
10,decode,4,68,7034034591077330,7034034624452231,0.033374901,36291805184,9072951296,119.85054277764,4.0,1.0873981374206925,271.8495343551731,False,4,sampled,108.44550000000001,5.584999999999994,116.823,32.0,0.0,32.0,3.6193578263955,45.502747983870975,1.5186497091896434
11,decode,4,69,7034034624472256,7034034657579320,0.033107064,36293181440,9073295360,120.82013675389639,4.0,1.0962367862036937,274.0591965509234,False,3,sampled,116.823,0.0,116.823,32.0,0.0,32.0,3.8676665376719996,53.88024798387096,1.7838168183378866
12,decode,4,70,7034034657599211,7034034690690168,0.033090957,36294557696,9073639424,120.8789458703174,4.0,1.0968119687804738,274.2029921951185,False,3,sampled,116.823,0.0,116.823,32.0,0.0,32.0,3.8657848696109993,53.88024798387096,1.7829489691836105
13,decode,4,71,7034034690709622,7034034724047273,0.033337651,36295933952,9073983488,119.98445841310173,4.0,1.088736994457108,272.18424861427695,False,4,sampled,118.72225,3.798500000000004,124.42,32.0,0.0,32.0,3.9579209364347503,55.77949798387097,1.8595574367414942
14,decode,4,72,7034034724067346,7034034757297266,0.03322992,36297310208,9074327552,120.37344658067187,4.0,1.0923080828361909,273.0770207090477,False,3,sampled,124.42,0.0,124.42,35.0,0.0,35.0,4.134466646400001,61.47724798387097,2.042884032324194
15,decode,4,73,7034034757317722,7034034790678965,0.033361243,36298686464,9074671616,119.8996092561659,4.0,1.0880495808864197,272.01239522160495,False,3,sampled,124.42,0.0,124.42,35.0,0.0,35.0,4.15080585406,61.47724798387097,2.0509574089611795
16,decode,4,74,7034034790698816,7034034823890092,0.033191276,36300062720,9075015680,120.5135951989312,4.0,1.0936627660834732,273.41569152086834,False,3,sampled,124.42,0.0,124.42,35.0,0.0,35.0,4.12965855992,61.47724798387097,2.0405083055531046
17,decode,4,75,7034034823909997,7034034857483513,0.033573516,36301438976,9075359744,119.14152810209096,4.0,1.081252227976361,270.31305699409023,False,4,sampled,110.206,0.0,110.206,35.0,0.0,35.0,3.700002904296,47.26324798387097,1.5867934123984595
18,decode,4,76,7034034857503696,7034034890663159,0.033159463,36302815232,9075703808,120.62921525598891,4.0,1.0947950282548302,273.6987570637076,False,3,sampled,110.206,0.0,110.206,35.0,0.0,35.0,3.654371779378,47.26324798387097,1.5672239227809939
19,decode,4,77,7034034890682458,7034034923941548,0.03325909,36304191488,9076047872,120.26787263271486,4.0,1.0915569694781186,272.88924236952965,False,3,sampled,110.206,0.0,110.206,35.0,0.0,35.0,3.6653512725399997,47.26324798387097,1.571932618387883
20,decode,4,78,7034034923960915,7034034957116353,0.033155438,36305567744,9076391936,120.64385938741029,4.0,1.0950109524718086,273.75273811795216,False,4,sampled,116.554,0.0,116.554,35.0,0.0,35.0,3.8643989206520004,53.61124798387097,1.777504408631859
21,decode,4,79,7034034957136385,7034034990463178,0.033326793,36306944000,9076736000,120.02354982071031,4.0,1.089422075505435,272.35551887635876,False,3,sampled,116.55400000000002,0.0,116.554,35.0,0.0,35.0,3.884371031322001,53.61124798387098,1.7866909640301356
22,decode,4,80,7034034990483566,7034035023669140,0.033185574,36308320256,9077080064,120.53430204341198,4.0,1.0940995101064095,273.5248775266024,False,3,sampled,116.55400000000002,0.0,116.554,35.0,0.0,35.0,3.867911391996001,53.61124798387098,1.7791200372011013
23,decode,4,81,7034035023688670,7034035056998127,0.033309457,36309696512,9077424128,120.08601641269625,4.0,1.0900717028200129,272.5179257050032,False,3,sampled,122.301,0.0,122.301,35.0,0.0,35.0,4.073779900557001,59.35824798387097,1.9771910088140867
24,decode,4,82,7034035057023791,7034035090177863,0.033154072,36311072768,9077768192,120.64883010448912,4.0,1.0952221123245434,273.8055280811359,False,4,sampled,122.301,0.0,122.301,35.0,0.0,35.0,4.0547761596720004,59.35824798387097,1.9679676274511129
25,decode,4,83,7034035090198456,7034035123383711,0.033185255,36312449024,9078112256,120.5354607038578,4.0,1.0942344430982978,273.55861077457445,False,3,sampled,122.301,0.0,122.301,35.0,0.0,35.0,4.058589871754999,59.35824798387097,1.9698185956979937
26,decode,4,84,7034035123403744,7034035156545654,0.03314191,36313825280,9078456320,120.69310429000623,4.0,1.0957070754220262,273.9267688555065,False,3,sampled,112.324,0.0,112.324,35.0,0.0,35.0,3.7226318988399996,49.38124798387096,1.6365888763691328
27,decode,4,85,7034035156566019,7034035189705713,0.033139694,36315201536,9078800384,120.70117485092048,4.0,1.095821872585788,273.955468146447,False,4,sampled,112.324,0.0,112.324,35.0,0.0,35.0,3.722382988856,49.38124798387096,1.6364794475236006
28,decode,4,86,7034035189725342,7034035222938502,0.03321316,36316577792,9079144448,120.43418933940643,4.0,1.0934394014902526,273.3598503725632,False,3,sampled,112.324,0.0,112.324,35.0,0.0,35.0,3.73063498384,49.38124798387096,1.6401072902879836
29,decode,4,87,7034035222958100,7034035256095573,0.033137473,36317954048,9079488512,120.7092647046442,4.0,1.095978382177784,273.99459554444604,False,3,sampled,103.264,0.0,103.264,35.0,0.0,35.0,3.421908011872,40.32124798387096,1.3361442663918284
30,decode,4,88,7034035256115646,7034035289296400,0.033180754,36319330304,9079832576,120.5518114506982,4.0,1.0945902647058592,273.6475661764648,False,3,sampled,103.264,0.0,103.264,35.0,0.0,35.0,3.4263773810559996,40.32124798387096,1.3378894103258183
31,decode,4,89,7034035289316826,7034035322362968,0.033046142,36320706560,9080176640,121.04287393063916,4.0,1.0990906763034547,274.7726690758637,False,4,sampled,103.264,0.0,103.264,35.0,0.0,35.0,3.412476807488,40.32124798387096,1.3324616864922134
32,decode,4,90,7034035322382851,7034035355486177,0.033103326,36322082816,9080520704,120.83377966310695,4.0,1.0972336379734169,274.3084094933542,False,3,sampled,122.902,0.0,122.902,35.0,0.0,35.0,4.068464972052,59.959247983870966,1.9848505327249235
33,decode,4,91,7034035355505725,7034035388566105,0.03306038,36323459072,9080864768,120.99074481297554,4.0,1.0987005918262283,274.67514795655705,False,3,sampled,122.902,0.0,122.902,35.0,0.0,35.0,4.06318682276,59.959247983870966,1.982275522861008
34,decode,4,92,7034035388585451,7034035421654490,0.033069039,36324835328,9081208832,120.95906385425957,4.0,1.098454518983754,274.61362974593845,False,3,sampled,122.902,0.0,122.902,35.0,0.0,35.0,4.064251031178,59.959247983870966,1.9827947099893004
35,decode,4,93,7034035421674616,7034035455722758,0.034048142,36326211584,9081552896,117.48071304448858,4.0,1.0669073097733204,266.7268274433301,False,4,sampled,111.10300000000001,7.866,122.902,35.0,0.0,35.0,3.7828507206260005,48.160247983870974,1.6397669621100528
36,decode,4,94,7034035455742464,7034035488978972,0.033236508,36327587840,9081896960,120.34958666536208,4.0,1.0930025452734085,273.2506363183521,False,3,sampled,107.17,0.0,107.17,35.0,0.0,35.0,3.56195656236,44.22724798387097,1.469959281433911
37,decode,4,95,7034035488998457,7034035522636871,0.033638414,36328964096,9082241024,118.91167044914782,4.0,1.0799844515856187,269.99611289640467,False,3,sampled,107.17,0.0,107.17,35.0,0.0,35.0,3.60502882838,44.22724798387097,1.4877344777621169
38,decode,4,96,7034035522657006,7034035555805781,0.033148775,36330340352,9082585088,120.66810915335485,4.0,1.095978368793417,273.99459219835427,False,4,sampled,118.672,0.0,118.672,35.0,0.0,35.0,3.9338314268,55.72924798387096,1.847356302336542
39,decode,4,97,7034035555825596,7034035588988215,0.033162619,36331716608,9082929152,120.61773528803622,4.0,1.0955623440959232,273.8905860239808,False,3,sampled,118.67199999999998,0.0,118.672,35.0,0.0,35.0,3.935474321967999,55.72924798387095,1.8481278180456302
40,decode,4,98,7034035589014488,7034035621958367,0.032943879,36333092864,9083273216,121.41861011570616,4.0,1.1028784091879404,275.7196022969851,False,3,sampled,118.67199999999998,0.0,118.672,35.0,0.0,35.0,3.9095160086879996,55.72924798387095,1.8359376023416385
41,decode,4,99,7034035621981678,7034035655062600,0.033080922,36334469120,9083617280,120.91561414158892,4.0,1.0983511620383495,274.58779050958736,False,4,sampled,115.36,0.0,115.36,35.0,0.0,35.0,3.8162151619199998,52.417247983870965,1.7340108920090926
42,decode,4,100,7034035655082470,7034035688146902,0.033064432,36335845376,9083961344,120.97591756604197,4.0,1.0989405587248557,274.735139681214,False,3,sampled,115.36,0.0,115.36,35.0,0.0,35.0,3.8143128755199998,52.417247983870965,1.7331465315898384
43,decode,4,101,7034035688167015,7034035721251633,0.033084618,36337221632,9084305408,120.90210622954751,4.0,1.098311657459669,274.57791436491726,False,3,sampled,115.36,0.0,115.36,35.0,0.0,35.0,3.8166415324800003,52.417247983870965,1.7342046261576411
