step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,120,120,7034889211583495,7034889256453117,0.044833953,730180730880,7215759360,2676.542931648253,101.19250025544089,16.28633395052183,160.94408092902268,False,4,sampled,90.05199999999999,15.70161792088107,103.65,6.5,1.7320508075688772,8.0,4.037387135556,27.142356854838702,1.2168991515390664
1,decode,1,120,7034889256481507,7034889278825362,0.022343855,7257440256,7215808512,44.75503443788013,1.0057695189569908,0.32480698858813756,322.94375845170856,False,2,sampled,103.65,0.0,103.65,5.0,0.0,5.0,2.31594057075,40.740356854838716,0.9102966262127723
2,decode,1,121,7034889278849589,7034889301211313,0.022361724,7257833472,7215857664,44.7192711975159,1.0058171613070221,0.3245650233407764,322.6878957990895,False,2,sampled,103.65,0.0,103.65,5.0,0.0,5.0,2.3177926926,40.740356854838716,0.9110246156494114
3,decode,1,122,7034889301231249,7034889323555703,0.022324454,7258226688,7215906816,44.79392866674365,1.0058648030080104,0.325124488509327,323.2288151817733,False,3,sampled,103.65000000000002,0.0,103.65,5.0,0.0,5.0,2.3139296571000005,40.74035685483873,0.9095062225494319
4,decode,1,123,7034889323574898,7034889345970314,0.022395416,7258619904,7215955968,44.651994854661325,1.0059124440599692,0.3241118586053503,322.2068287545987,False,2,sampled,129.843,0.0,129.843,5.0,0.0,5.0,2.907887999688,66.9333568548387,1.4990003710405646
5,decode,1,124,7034889345989159,7034889368345100,0.022355941,7259013120,7216005120,44.730839108942,1.0059600844629113,0.3247017479604191,322.7779640320217,False,2,sampled,129.843,0.0,129.843,5.0,0.0,5.0,2.902762447263,66.9333568548387,1.4963581767787197
6,decode,1,125,7034889368363912,7034889390583347,0.022219435,7259406336,7216054272,45.00564483300318,1.0060077242168501,0.3267142632564689,324.7631756613073,False,2,sampled,129.843,0.0,129.843,5.0,0.0,5.0,2.8850380987049995,66.9333568548387,1.487221371967893
7,decode,1,126,7034889390602530,7034889412984346,0.022381816,7259799552,7216103424,44.67912701989866,1.0060553633217992,0.32436150632281135,322.40920146962156,False,2,sampled,129.843,0.0,129.843,5.0,0.0,5.0,2.9061221348879998,66.9333568548387,1.4980900773873385
8,decode,1,127,7034889413009739,7034889435468871,0.022459132,7260192768,7216152576,44.52531825361728,1.0061030017777717,0.3232623935778106,321.3014900130602,False,3,sampled,121.92166666666667,13.720151797022265,129.843,13.0,13.856406460551018,29.0,2.7382548053266667,59.01202352150538,1.325358825856594
9,decode,1,128,7034889435488279,7034889458389909,0.02290163,7260585984,7216201728,43.665014236977896,1.0061506395847808,0.31703359036016215,315.0955511900245,False,2,sampled,106.079,0.0,106.079,29.0,0.0,29.0,2.4293820087699998,43.1693568548387,0.9886486380274797
