step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,928,58,7036669039558029,7036669125979475,0.086390307,12139177967616,14193786880,10741.945852791101,855.2458952811894,140.51550907923038,164.2983729644577,False,8,sampled,247.077,0.0,247.077,3.0,0.0,3.0,21.345057882639,183.90962701612904,15.888009138178882
1,decode,16,58,7036669126020894,7036669138322312,0.012301418,226628075520,14194704384,1300.6630617706023,15.965677719604422,18.422922911813906,1153.907979063877,False,1,single_sample,247.077,,247.077,3.0,,3.0,3.039397455186,183.90962701612904,2.262349196149496
2,decode,16,59,7036669138351554,7036669150672730,0.012321176,226634498048,14195621888,1298.5773435912286,15.965098241985523,18.393901527581455,1152.1320601215339,False,2,sampled,301.64,0.0,301.64,3.0,0.0,3.0,3.71655952864,238.47262701612902,2.9382632086480807
3,decode,16,60,7036669150698382,7036669163571621,0.012873239,226640920576,14196539392,1242.8884447806804,15.964518839268402,17.605586331147894,1102.794672886909,False,1,single_sample,301.64,,301.64,3.0,,3.0,3.8830838119599997,238.47262701612902,3.069915122536486
4,decode,16,61,7036669163596086,7036669175813595,0.012217509,226647343104,14197456896,1309.59592499584,15.963939511438543,18.55102730875827,1162.0582310191055,False,1,single_sample,301.64,,301.64,3.0,,3.0,3.6852894147599997,238.47262701612902,2.9135414668231996
5,decode,16,62,7036669175837205,7036669188160116,0.012322911,226653765632,14198374400,1298.3945108424462,15.963360258481421,18.39287532239744,1152.1932114903693,False,1,single_sample,301.64,,301.64,3.0,,3.0,3.71708287404,238.47262701612902,2.938676958655954
6,decode,16,63,7036669188183759,7036669200561432,0.012377673,226660188160,14199291904,1292.6500805119024,15.962781080382527,18.312019404616684,1147.1697389323501,False,1,single_sample,301.64,,301.64,3.0,,3.0,3.73360128372,238.47262701612902,2.951736196656611
7,decode,16,64,7036669200584211,7036669212944562,0.012360351,226666610688,14200209408,1294.4616216804845,15.96220197712735,18.338201778250472,1148.8516311551346,False,2,sampled,301.64,0.0,301.64,3.0,0.0,3.0,3.72837627564,238.47262701612902,2.9476053738114376
8,decode,16,65,7036669212967492,7036669225267811,0.012300319,226673033216,14201126912,1300.7792724725268,15.961622948701383,18.428223952240586,1154.5332208050863,False,1,single_sample,301.64,,301.64,3.0,,3.0,3.71026822316,238.47262701612902,2.9332893850664052
9,decode,16,66,7036669225291411,7036669237594189,0.012302778,226679455744,14202044416,1300.519281092449,15.961043995090122,18.425062676413408,1154.3770371212095,False,1,single_sample,301.64,,301.64,3.0,,3.0,3.71100995592,238.47262701612902,2.9338757892562377
10,decode,16,67,7036669237617215,7036669249929105,0.01231189,226685878272,14202961920,1299.5567699191595,15.96046511627907,18.411947984590505,1153.5972072525014,False,1,single_sample,285.394,,285.394,67.0,,67.0,3.5137395346600004,222.22662701612904,2.736029786893609
11,decode,16,68,7036669249952240,7036669262242111,0.012289871,226692300800,14203879424,1301.8851052220157,15.95988631225373,18.4454581175018,1155.7386911546914,False,2,sampled,285.394,0.0,285.394,67.0,0.0,67.0,3.5074554441740005,222.22662701612904,2.731136578793341
12,decode,16,69,7036669262266123,7036669274532153,0.01226603,226698723328,14204796928,1304.4155280885502,15.959307582999612,18.48183343168083,1158.0598553892335,False,1,single_sample,285.394,,285.394,67.0,,67.0,3.5006513658200005,222.22662701612904,2.7258384737786496
13,decode,16,70,7036669274554800,7036669286818558,0.012263758,226705145856,14205714432,1304.6571858316188,15.958728928502229,18.485781100377228,1158.3492133487957,False,1,single_sample,285.394,,285.394,67.0,,67.0,3.500002950652,222.22662701612904,2.7253335748820686
14,decode,16,71,7036669286841684,7036669299147768,0.012306084,226711568384,14206631936,1300.1698997016435,15.958150348747093,18.422722320439224,1154.4397012079553,False,1,single_sample,285.394,,285.394,67.0,,67.0,3.512082537096,222.22662701612904,2.7347395390971534
15,decode,16,72,7036669299171039,7036669311487644,0.012316605,226717990912,14207549440,1299.05927810464,15.957571843719728,18.407506850467318,1153.528057447649,False,1,single_sample,285.394,,285.394,67.0,,67.0,3.51508516737,222.22662701612904,2.73707758543999
16,decode,16,73,7036669311510624,7036669323838063,0.012327439,226724413440,14208466944,1297.9175966719445,15.956993413405657,18.39185036243132,1152.588704271828,False,2,sampled,285.394,0.0,285.394,67.0,0.0,67.0,3.5181771259660004,222.22662701612904,2.739485188717083
17,decode,16,74,7036669323861422,7036669336157702,0.01229628,226730835968,14209384448,1301.2065437677086,15.956415057790405,18.438977964717786,1155.5840016655445,False,1,single_sample,285.394,,285.394,67.0,,67.0,3.50928453432,222.22662701612904,2.7325608292458874
18,decode,16,75,7036669336181170,7036669348443492,0.012262322,226737258496,14210301952,1304.809969922499,15.955836776859504,18.490564714904732,1158.8589789111718,False,1,single_sample,284.74,,284.74,67.0,,67.0,3.4915735662800005,221.57262701612905,2.7169948988576738
19,decode,16,76,7036669348466321,7036669360751824,0.012285503,226743681024,14211219456,1302.3479787518672,15.95525857059849,18.45619841727278,1156.7470583825504,False,1,single_sample,284.74,,284.74,67.0,,67.0,3.49817412422,221.57262701612905,2.7221311739245344
20,decode,16,77,7036669360774595,7036669373092496,0.012317901,226750103552,14212136960,1298.9226005307237,15.954680438992899,18.40817713602342,1153.7791186988757,False,2,sampled,284.74,0.0,284.74,67.0,0.0,67.0,3.50739913074,221.57262701612905,2.729309683894603
21,decode,16,78,7036669373116030,7036669385485491,0.012369461,226756526080,14213054464,1293.5082620010685,15.954102382028275,18.3319649966963,1149.043961090948,False,1,single_sample,284.74,,284.74,67.0,,67.0,3.52208032514,221.57262701612905,2.7407339685435548
22,decode,16,79,7036669385508649,7036669397815217,0.012306568,226762948608,14213971968,1300.1187658492604,15.953524399690163,18.426172805285763,1154.9907308032589,False,1,single_sample,284.74,,284.74,67.0,,67.0,3.50417217232,221.57262701612905,2.726798601312629
23,decode,16,80,7036669397838227,7036669410110740,0.012272513,226769371136,14214889472,1303.7264658020733,15.952946491964113,18.477826923955995,1158.2704758186037,False,1,single_sample,284.74,,284.74,67.0,,67.0,3.4944753516200002,221.57262701612905,2.719252945499595
24,decode,16,81,7036669410133637,7036669422444910,0.012311273,226775793664,14215806976,1299.621899376287,15.952368658835677,18.42017423088579,1154.698378957237,False,1,single_sample,284.74,,284.74,67.0,,67.0,3.5055118740199998,221.57262701612905,2.72784110052274
25,decode,16,82,7036669422468677,7036669434765031,0.012296354,226782216192,14216724480,1301.1987130494128,15.951790900290415,18.44304549072026,1156.17397482213,False,2,sampled,284.74,0.0,284.74,67.0,0.0,67.0,3.5012638379600003,221.57262701612905,2.7245354585002866
26,decode,16,83,7036669434787603,7036669447075738,0.012288135,226788638720,14217641984,1302.0690283757463,15.951213216313887,18.45590390405053,1157.0219552438186,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.5582629638150003,226.40162701612905,2.7820537569938413
27,decode,16,84,7036669447099931,7036669459336198,0.012236267,226795061248,14218559488,1307.5883355601834,15.950635606891657,18.534661040658886,1162.001408436086,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.5432435989230004,226.40162701612905,2.7703107574037684
28,decode,16,85,7036669459359704,7036669471637936,0.012278232,226801483776,14219476992,1303.1192113001287,15.950058072009291,18.4718356662425,1158.1046026822103,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.5553953620080003,226.40162701612905,2.7798117016815005
29,decode,16,86,7036669471660584,7036669483995771,0.012335187,226807906304,14220394496,1297.1023463203273,15.949480611652366,18.38706671443246,1152.831691647642,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.571887764403,226.40162701612905,2.792706406348204
30,decode,16,87,7036669484024598,7036669496325220,0.012300622,226814328832,14221312000,1300.7472305059043,15.948903225806452,18.43925687920497,1156.145762385024,False,2,sampled,289.569,0.0,289.569,89.0,0.0,89.0,3.5618788119180005,226.40162701612905,2.7848808341103917
31,decode,16,88,7036669496348467,7036669508598160,0.012249693,226820751360,14222229504,1306.155182827847,15.948325914457131,18.51644374761065,1161.0274236260452,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.5471313523170003,226.40162701612905,2.773350425648087
32,decode,16,89,7036669508621427,7036669520878025,0.012256598,226827173888,14223147008,1305.4193341414966,15.947748677589988,18.5065361438794,1160.4481935362487,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.5491308262620005,226.40162701612905,2.7749137288826335
33,decode,16,90,7036669520900738,7036669533152045,0.012251307,226833596416,14224064512,1305.9831085777216,15.947171515190607,18.515052836077,1161.0242492494883,False,1,single_sample,289.569,,289.569,89.0,,89.0,3.547598716683,226.40162701612905,2.7737158378740907
34,decode,16,91,7036669533175205,7036669545432873,0.012257668,226840018944,14224982016,1305.305381088801,15.946594427244582,18.505968585868047,1160.4965982110136,False,2,sampled,294.734,0.0,294.734,89.0,0.0,89.0,3.6127515203119995,231.56662701612902,2.83846683384354
35,decode,16,92,7036669545455972,7036669557703705,0.012247733,226846441472,14225899520,1306.3642063392465,15.946017413737504,18.52150446715323,1161.5128709941669,False,1,single_sample,294.734,,294.734,89.0,,89.0,3.6098233380219997,231.56662701612902,2.836166219404135
36,decode,16,93,7036669557726757,7036669569974240,0.012247483,226852864000,14226817024,1306.3908723122947,15.945440474654973,18.522406930468897,1161.6114938881728,False,1,single_sample,294.734,,294.734,89.0,,89.0,3.6097496545219996,231.56662701612902,2.836108327747381
37,decode,16,94,7036669569996692,7036669582240740,0.012244048,226859286528,14227734528,1306.7573730517881,15.944863609982589,18.528127832233263,1162.0123122679688,False,1,single_sample,294.734,,294.734,89.0,,89.0,3.608737243232,231.56662701612902,2.8353128963835807
38,decode,16,95,7036669582263925,7036669594613546,0.012349621,226865709056,14228652032,1295.5863179930784,15.944286819705958,18.370256792172004,1152.1529310089759,False,1,single_sample,294.734,,294.734,89.0,,89.0,3.6398531958139997,231.56662701612902,2.8597600798975544
39,decode,16,96,7036669594635936,7036669606937262,0.012301326,226872131584,14229569536,1300.672789258654,15.943710103810691,18.442900512026103,1156.750868646193,False,2,sampled,294.734,0.0,294.734,89.0,0.0,89.0,3.6256190172839995,231.56662701612902,2.84857656964581
40,decode,16,97,7036669606960543,7036669619205254,0.012244711,226878554112,14230487040,1306.6866175935063,15.943133462282399,18.52869815481966,1162.1741860628642,False,1,single_sample,294.734,,294.734,89.0,,89.0,3.608932651874,231.56662701612902,2.8354664250572923
41,decode,16,98,7036669619228606,7036669631460291,0.012231685,226884976640,14231404544,1308.078159305116,15.942556895106698,18.548955163577215,1163.486841265124,False,1,single_sample,294.734,,294.734,89.0,,89.0,3.60509344679,231.56662701612902,2.8324500381737803
42,decode,16,99,7036669631483859,7036669643743797,0.012259938,226891399168,14232322048,1305.0636960806817,15.94198040226921,18.50673300044421,1160.8804259858412,False,1,single_sample,291.12,,291.12,89.0,,89.0,3.56911315056,227.95262701612904,2.794685074154867
43,decode,16,100,7036669643766880,7036669656077134,0.012310254,226897821696,14233239552,1299.7294775558653,15.94140398375556,18.431611703219122,1156.2100629280274,False,2,sampled,291.12,0.0,291.12,89.0,0.0,89.0,3.58376114448,227.95262701612904,2.8061547385358105
44,decode,16,101,7036669656100596,7036669668361962,0.012261366,226904244224,14234157056,1304.9117039651212,15.940827639551372,18.505625247953613,1160.894883653257,False,1,single_sample,291.12,,291.12,89.0,,89.0,3.5695288699199996,227.95262701612904,2.795010590506246
45,decode,16,102,7036669668385319,7036669680781403,0.012396084,226910666752,14235074560,1290.7302015701089,15.940251369642281,18.305028164701046,1148.3525410121456,False,1,single_sample,291.12,,291.12,89.0,,89.0,3.60874797408,227.95262701612904,2.825719912512605
46,decode,16,103,7036669680804426,7036669693061954,0.012257528,226917089280,14235992064,1305.320289702785,15.93967517401392,18.51246754484265,1161.4080803241893,False,1,single_sample,291.12,,291.12,89.0,,89.0,3.56841155136,227.95262701612904,2.794135708323758
47,decode,16,104,7036669693085198,7036669705324563,0.012239365,226923511808,14236909568,1307.2573617994071,15.93909905265193,18.54046446102392,1163.206552627526,False,1,single_sample,291.12,,291.12,89.0,,89.0,3.5631239388,227.95262701612904,2.789995404759264
48,decode,16,105,7036669705347580,7036669717694629,0.012347049,226929934336,14237827072,1295.8562001333273,15.938523005541951,18.37928515032215,1153.1360304798338,False,2,sampled,291.12,0.0,291.12,89.0,0.0,89.0,3.5944729048800004,227.95262701612904,2.8145422554468693
49,decode,16,106,7036669717717011,7036669729970984,0.012253973,226936356864,14238744576,1305.6989761606299,15.93794703266963,18.519410550684256,1161.9696384184952,False,1,single_sample,291.12,,291.12,89.0,,89.0,3.56737661976,227.95262701612904,2.793325336734716
50,decode,16,107,7036669729993903,7036669742236845,0.012242942,226942779392,14239662080,1306.87542259042,15.93737113402062,18.536621295110276,1163.0915248965487,False,1,single_sample,279.626,,279.626,89.0,,89.0,3.4234448996919995,216.45862701612901,2.6500904159581005
51,decode,16,108,7036669742260384,7036669754534842,0.012274458,226949201920,14240579584,1303.519878433736,15.936795309580567,18.489549756086987,1160.1799105101015,False,1,single_sample,279.626,,279.626,89.0,,89.0,3.432257592708,216.45862701612901,2.656912326047141
52,decode,16,109,7036669754558118,7036669766941471,0.012383353,226955624448,14241497088,1292.0571673923855,15.936219559335138,18.327477578003307,1150.0517741842618,False,1,single_sample,279.626,,279.626,89.0,,89.0,3.4627074659779997,216.45862701612901,2.6804835882360623
53,decode,16,110,7036669766966909,7036669779256406,0.012289497,226962046976,14242414592,1301.924724828038,15.935643883269986,18.467968784727315,1158.909481161027,False,2,sampled,279.626,0.0,279.626,89.0,0.0,89.0,3.4364628881219996,216.45862701612901,2.6601676473388363
54,decode,16,111,7036669779279638,7036669792077587,0.012797949,226968469504,14243332096,1250.2003250677121,15.93506828137078,17.73475339712637,1112.938651029161,False,1,single_sample,279.626,,279.626,89.0,,89.0,3.5786392870739996,216.45862701612901,2.770226469162441
55,decode,16,112,7036669792100603,7036669804381782,0.012281179,226974892032,14244249600,1302.8065139348591,15.93449275362319,18.481522989934437,1159.8438228121258,False,1,single_sample,279.626,,279.626,89.0,,89.0,3.434136959054,216.45862701612901,2.658367144479316
56,decode,16,113,7036669804404860,7036669816719772,0.012314912,226981314560,14245167104,1299.2378670671783,15.933917300012881,18.431419937064916,1156.7412827635308,False,1,single_sample,279.626,,279.626,89.0,,89.0,3.443569582912,216.45862701612901,2.6656689433444516
57,decode,16,114,7036669816742329,7036669829062099,0.01231977,226987737088,14246084608,1298.7255443892216,15.933341920525535,18.42467327620564,1156.3596242462318,False,2,sampled,279.626,0.0,279.626,89.0,0.0,89.0,3.44492800602,216.45862701612901,2.6667204993544957
58,decode,16,115,7036669829085408,7036669841361442,0.012276034,226994159616,14247002112,1303.352532259197,15.932766615146832,18.490838296472624,1160.554142486083,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.4326982832839996,216.45862701612901,2.6572534648433184
59,decode,16,116,7036669841384926,7036669853665414,0.012280488,227000582144,14247919616,1302.8798204110456,15.93219138386245,18.484654856061095,1160.2079344078184,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.4339437374879997,216.45862701612901,2.6582175715680485
60,decode,16,117,7036669853688351,7036669865972733,0.012284382,227007004672,14248837120,1302.4668233208638,15.93161622665808,18.479318265420268,1159.9148512314252,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.435032601132,216.45862701612901,2.659060461461649
61,decode,16,118,7036669865995005,7036669878340269,0.012345264,227013427200,14249754624,1296.0435678005751,15.931041143519412,18.388705757932758,1154.2689264482315,False,2,sampled,279.626,0.0,279.626,90.0,0.0,90.0,3.452056791264,216.45862701612901,2.672238895591645
62,decode,16,119,7036669878363886,7036669890676700,0.012312814,227019849728,14250672128,1299.459246277902,15.93046613443214,18.43769017610434,1157.3854789002742,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.4429829275639996,216.45862701612901,2.6652148131449716
63,decode,16,120,7036669890700062,7036669902965546,0.012265484,227026272256,14251589632,1304.4735943563255,15.929891199381961,18.509361086443878,1161.926397034149,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.429748228984,216.45862701612901,2.654969826328298
64,decode,16,121,7036669902988310,7036669915283622,0.012295312,227032694784,14252507136,1301.3089867097315,15.929316338354576,18.464980374959172,1159.1822262013359,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.4380889133119994,216.45862701612901,2.6614263542549352
65,decode,16,122,7036669915306965,7036669927597814,0.012290849,227039117312,14253424640,1301.781512408134,15.928741551335694,18.472207844388944,1159.67779280341,False,1,single_sample,279.626,,279.626,90.0,,90.0,3.4368409424739994,216.45862701612901,2.6604602994025623
66,decode,16,123,7036669927620937,7036669939966006,0.012345069,227045539840,14254342144,1296.0640398202715,15.92816683831102,18.391597474262802,1154.658766508312,False,2,sampled,282.0465,3.4231039277240822,284.467,90.0,0.0,90.0,3.4818835037084996,218.87912701612902,2.7020779256738767
67,decode,16,124,7036669939989143,7036669952273132,0.012283989,227051962368,14255259648,1302.508492965925,15.927592199266268,18.483569333056224,1160.4747975596526,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.4943894988629998,221.29962701612902,2.718442183970232
68,decode,16,125,7036669952296440,7036669964559730,0.01226329,227058384896,14256177152,1304.7069750450328,15.927017634187154,18.515291157266933,1162.508360480752,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.48850131643,221.29962701612902,2.713861502990625
69,decode,16,126,7036669964583003,7036669976871031,0.012288028,227064807424,14257094656,1302.080366353332,15.9264431430594,18.47853922728692,1160.242689551163,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.495538461076,221.29962701612902,2.71933601316375
70,decode,16,127,7036669976894141,7036669989564269,0.012670128,227071229952,14258012160,1262.8128145193166,15.925868725868726,17.921778687003005,1125.325029076265,False,2,sampled,284.467,0.0,284.467,90.0,0.0,90.0,3.6042333017759995,221.29962701612902,2.8038946006466126
71,decode,16,128,7036669989588770,7036670002013570,0.0124248,227077652480,14258929664,1287.7470864722168,15.925294382600862,18.27616158650441,1147.6184456892665,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.5344455815999996,221.29962701612902,2.74960360575
72,decode,16,129,7036670002036930,7036670014438680,0.01240175,227084075008,14259847168,1290.1405043643035,15.92472011324154,18.310647691495152,1149.825401092588,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.5278886172499995,221.29962701612902,2.744502649347278
73,decode,16,130,7036670014462875,7036670026868635,0.01240576,227090497536,14260764672,1289.7234832851836,15.92414591777649,18.305246718943458,1149.5276929426332,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.5290293299199997,221.29962701612902,2.7453900608516126
74,decode,16,131,7036670026892589,7036670039343221,0.012450632,227096920064,14261682176,1285.0753279030334,15.923571796191457,18.23979056356336,1145.4584936732529,False,1,single_sample,284.467,,284.467,90.0,,90.0,3.5417939331439996,221.29962701612902,2.7553202177150804
75,decode,16,132,7036670039367499,7036670051832680,0.012465181,227103342592,14262599680,1283.575425017896,15.922997748472177,18.21901684315695,1144.1951528822565,False,2,sampled,288.049,0.0,288.049,89.0,0.0,89.0,3.5905829218689997,224.88162701612902,2.8031901843305382
76,decode,16,133,7036670051856294,7036670064282815,0.012426521,227109765120,14263517184,1287.5687410820776,15.9224237746044,18.276214647687798,1147.8286790003413,False,1,single_sample,288.049,,288.049,89.0,,89.0,3.5794469475289996,224.88162701612902,2.7944962606300945
77,decode,16,134,7036670064307339,7036670076712825,0.012405486,227116187648,14264434688,1289.7519694109526,15.921849874573873,18.307721894007216,1149.8489207113691,False,1,single_sample,288.049,,288.049,89.0,,89.0,3.5733878368139997,224.88162701612902,2.78976587560581
78,decode,16,135,7036670076737008,7036670089190253,0.012453245,227122610176,14265352192,1284.8056871923743,15.92127604836635,18.23802632775634,1145.5128516302377,False,1,single_sample,288.049,,288.049,89.0,,89.0,3.5871447690049996,224.88162701612902,2.8005059972304736
79,decode,16,136,7036670089215181,7036670101646933,0.012431752,227129032704,14266269696,1287.0269612842983,15.920702295967587,18.270074298779445,1147.567108481572,False,2,sampled,288.049,0.0,288.049,89.0,0.0,89.0,3.580953731848,224.88162701612902,2.795672616421016
80,decode,16,137,7036670101671202,7036670114069252,0.01239805,227135455232,14267187200,1290.5255261916188,15.920128617363345,18.320256430003106,1150.7605792846455,False,1,single_sample,288.049,,288.049,89.0,,89.0,3.57124590445,224.88162701612902,2.7880936558273186
81,decode,16,138,7036670114093705,7036670126492248,0.012398543,227141877760,14268104704,1290.4742113649968,15.919555012539387,18.32004597314378,1150.788822847975,False,1,single_sample,288.049,,288.049,89.0,,89.0,3.571387912607,224.88162701612902,2.7882045224694374
82,decode,16,139,7036670126516781,7036670139182677,0.012665896,227148300288,14269022208,1263.2347525986318,15.918981481481481,17.933851682344464,1126.5702961717038,False,1,single_sample,288.049,,288.049,89.0,,89.0,3.6483986769039998,224.88162701612902,2.8483273000970804
83,decode,16,140,7036670139207064,7036670151731571,0.012524507,227154722816,14269939712,1277.4953936310626,15.9184080241754,18.1368195024363,1139.3613905920608,False,2,sampled,288.373,0.0,288.373,89.0,0.0,89.0,3.6117296571110002,225.20562701612903,2.8205894520028973
84,decode,16,141,7036670151755693,7036670164183717,0.012428024,227161145344,14270857216,1287.413027203681,15.917834640606918,18.278138611898402,1148.2804680776285,False,1,single_sample,288.373,,288.373,89.0,,89.0,3.5839065649519997,225.20562701612903,2.7988609374915
85,decode,16,142,7036670164208019,7036670176644037,0.012436018,227167567872,14271774720,1286.5854648972042,15.917261330761812,18.26690568251027,1147.6161195649604,False,1,single_sample,288.373,,288.373,89.0,,89.0,3.5862118187139997,225.20562701612903,2.800661231273867
86,decode,16,143,7036670176669128,7036670189191571,0.012522443,227173990400,14272692224,1277.7059556190434,15.916688094625869,18.141347530988963,1139.7689910826507,False,1,single_sample,288.373,,288.373,89.0,,89.0,3.6111344552389997,225.20562701612903,2.8201246275887355
87,decode,16,144,7036670189215990,7036670201700683,0.012484693,227180412928,14273609728,1281.5693585737351,15.916114932184868,18.19671600479083,1143.288803977799,False,2,sampled,288.373,0.0,288.373,89.0,0.0,89.0,3.600248374489,225.20562701612903,2.811623115168877
88,decode,16,145,7036670201725287,7036670214165753,0.012440466,227186835456,14274527232,1286.125455429081,15.915541843424604,18.26192326364623,1147.4270523306764,False,1,single_sample,288.373,,288.373,89.0,,89.0,3.587494501818,225.20562701612903,2.8016629459028346
89,decode,16,146,7036670214190150,7036670226601984,0.012411834,227193257984,14275444736,1289.0923291432998,15.914968828330869,18.304567881265573,1150.1478940179186,False,1,single_sample,288.373,,288.373,89.0,,89.0,3.579237806082,225.20562701612903,2.795214858390109
90,decode,16,147,7036670226626621,7036670239052751,0.01242613,227199680512,14276362240,1287.6092556572319,15.91439588688946,18.284025719351078,1148.8985098337134,False,1,single_sample,288.373,,288.373,89.0,,89.0,3.58336038649,225.20562701612903,2.7984343980339315
91,decode,16,148,7036670239076774,7036670251506431,0.012429657,227206103040,14277279744,1287.243887743644,15.913823019086177,18.279354212268284,1148.6463177543837,False,1,single_sample,287.778,,287.778,90.0,,90.0,3.5769818321460005,224.61062701612906,2.791833052365418
92,decode,16,149,7036670251530745,7036670263984707,0.012453962,227212525568,14278197248,1284.7317183077962,15.913250224906824,18.244196149626923,1146.4783052975429,False,2,sampled,287.778,0.0,287.778,90.0,0.0,90.0,3.5839762764360006,224.61062701612906,2.797292213655045
93,decode,16,150,7036670264013708,7036670276436616,0.012422908,227218948096,14279114752,1287.9432094321232,15.91267750433721,18.290318828409582,1149.4180550962785,False,1,single_sample,287.778,,287.778,90.0,,90.0,3.5750396184240003,224.61062701612906,2.790317155243686
94,decode,16,151,7036670276460793,7036670288878800,0.012418007,227225370624,14280032256,1288.451520441243,15.912104857363145,18.29805464145736,1149.9455795120748,False,1,single_sample,287.778,,287.778,90.0,,90.0,3.5736292184460003,224.61062701612906,2.7892163385606796
95,decode,16,152,7036670288902373,7036670301339865,0.012437492,227231793152,14280949760,1286.4329882584045,15.911532283970446,18.269904668240187,1148.2178046828092,False,1,single_sample,287.778,,287.778,90.0,,90.0,3.5792365727760003,224.61062701612906,2.793592876628089
96,decode,16,153,7036670301364073,7036670313812329,0.012448256,227238215680,14281867264,1285.3206103730515,15.91095978414493,18.2546226298688,1147.2986468144613,False,2,sampled,287.778,0.0,287.778,90.0,0.0,90.0,3.582334215168,224.61062701612906,2.7960105854172905
97,decode,16,154,7036670313836362,7036670326253137,0.012416775,227244638208,14282784768,1288.5793613881222,15.910387357872423,18.301421923808718,1150.2813546995899,False,1,single_sample,287.778,,287.778,90.0,,90.0,3.57327467595,224.61062701612906,2.788939618268196
98,decode,16,155,7036670326277676,7036670339127741,0.012850065,227251060736,14283702272,1245.129888448035,15.909815005138746,17.68481799399458,1111.566538535019,False,1,single_sample,287.778,,287.778,90.0,,90.0,3.6979660055700005,224.61062701612906,2.8862611568480148
99,decode,16,156,7036670339150552,7036670351602888,0.012452336,227257483264,14284619776,1284.8994758895037,15.909242725929731,18.250188821117582,1147.1437789664526,False,1,single_sample,289.901,,289.901,90.0,,90.0,3.609944658736,226.73362701612905,2.8233633061035164
100,decode,16,157,7036670351627741,7036670364107384,0.012479643,227263905792,14285537280,1282.0879571635182,15.908670520231214,18.21076979461672,1144.707206768655,False,2,sampled,289.901,0.0,289.901,90.0,0.0,90.0,3.6178609853430004,226.73362701612905,2.829554721256446
101,decode,16,158,7036670364132656,7036670376897470,0.012764814,227270328320,14286454784,1253.4456044561246,15.908098388029028,17.804437128500265,1119.2058720166233,False,1,single_sample,289.901,,289.901,90.0,,90.0,3.700532343414,226.73362701612905,2.8942125764062623
102,decode,16,159,7036670376921763,7036670389438436,0.012516673,227276750848,14287372288,1278.2949590518183,15.907526329309016,18.157920307417154,1141.4672483654401,False,1,single_sample,289.901,,289.901,90.0,,90.0,3.6285960193730005,226.73362701612905,2.8379506674648534
103,decode,16,160,7036670389462619,7036670401914072,0.012451453,227283173376,14288289792,1284.9905950735229,15.906954344057022,18.253546262914053,1147.5198751503137,False,1,single_sample,289.901,,289.901,90.0,,90.0,3.609688676153,226.73362701612905,2.823163100310861
104,decode,16,161,7036670401937992,7036670414434392,0.0124964,227289595904,14289207296,1280.3687461989052,15.906382432258892,18.18840593322877,1143.4659018597356,False,2,sampled,289.901,0.0,289.901,90.0,0.0,90.0,3.6227188564,226.73362701612905,2.833354096644355
105,decode,16,162,7036670414495679,7036670426941971,0.012446292,227296018432,14290124800,1285.5234313962746,15.905810593900481,18.26214734733847,1148.1431417485626,False,1,single_sample,289.901,,289.901,90.0,,90.0,3.608192497092,226.73362701612905,2.8219929280618308
