step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,59,59,200733155810338,200733177010914,0.021200576,456656003072,9054285824,2782.9432558813496,50.435342107441734,21.53979227130433,427.0773503512358,False,2,sampled,107.091,0.0,107.091,41.0,0.0,41.0,2.270390884416,31.201666324435323,0.6614932982378317
1,decode,1,59,200733177082273,200733197142910,0.020060637,9069854720,9054371840,49.8488657164775,1.0017099894143513,0.4521219700052396,451.3501659992153,False,2,sampled,107.091,0.0,107.091,41.0,0.0,41.0,2.1483136769669997,31.201666324435323,0.6259253019296213
2,decode,1,60,200733197194779,200733217254337,0.020059558,9070198784,9054457856,49.851547077956546,1.0017384727225351,0.45216344168700023,451.37873207375753,False,2,sampled,107.091,0.0,107.091,41.0,0.0,41.0,2.148198125778,31.201666324435323,0.6258916353316573
3,decode,1,61,200733217302616,200733237283934,0.019981318,9070542848,9054543872,50.04674866793071,1.0017669554895499,0.4539511781955524,453.15048146473623,False,2,sampled,109.21799999999999,3.0080322471675767,111.345,41.0,0.0,41.0,2.182319589324,33.32866632443532,0.6659506803444333
4,decode,1,62,200733237330664,200733257281232,0.019950568,9070886912,9054629888,50.12388619712482,1.0017954377154106,0.454668103284077,453.853238063197,False,2,sampled,111.345,0.0,111.345,41.0,0.0,41.0,2.22139599396,35.45566632443533,0.707360681990957
5,decode,1,63,200733257328271,200733277299759,0.019971488,9071230976,9054715904,50.07138176183968,1.0018239194001333,0.4542090692491216,453.3821367741853,False,2,sampled,111.345,0.0,111.345,41.0,0.0,41.0,2.22372533136,35.45566632443533,0.7081024145304642
6,decode,1,64,200733277347249,200733297191318,0.019844069,9071575040,9054801920,50.39289069192412,1.0018524005437328,0.4571428893943072,456.29764339158464,False,1,single_sample,111.345,,111.345,41.0,,41.0,2.209537862805,35.45566632443533,0.703584688983071
7,decode,1,65,200733297236627,200733317179946,0.019943319,9071919104,9054887936,50.14210523333654,1.0018808811462248,0.4548851223810841,454.03114376298146,False,2,sampled,111.345,0.0,111.345,41.0,0.0,41.0,2.2205888540550003,35.45566632443533,0.7071036638657713
8,decode,1,66,200733317224695,200733355454598,0.038229903,9072263168,9054973952,26.15753432594375,1.0019093612076246,0.2373080352309552,236.85579196996653,False,4,sampled,113.57650000000001,2.5767142513933043,115.808,53.5,14.433756729740644,66.0,4.342018578079501,37.68716632443534,1.4407767129280296
9,decode,1,67,200733355506718,200733393483864,0.037977146,9072607232,9055059968,26.33162586783114,1.0019378407279478,0.23889649927880308,238.43445128815102,False,4,sampled,115.808,0.0,115.808,66.0,0.0,66.0,4.3980573239680005,39.918666324435335,1.5159970191283643
10,decode,1,68,200733393537353,200733431719767,0.038182414,9072951296,9055145984,26.190067500708572,1.0019663197072097,0.23762120687288135,237.15488454973016,False,4,sampled,116.37700000000001,1.1379999999999981,118.084,66.0,0.0,66.0,4.4435547940780005,40.48766632443534,1.5459168374934482
11,decode,1,69,200733431772587,200733469760842,0.037988255,9073295360,9055232000,26.323925644913146,1.0019947981454258,0.23884475241097547,238.36925386543814,False,4,sampled,118.084,0.0,118.084,66.0,0.0,66.0,4.48580510342,42.19466632443533,1.6029017439725621
12,decode,1,70,200733469816482,200733507760988,0.037944506,9073639424,9055318016,26.354276426737506,1.0020232760426113,0.2391292015766393,238.64635412568026,False,3,sampled,118.084,0.0,118.084,66.0,0.0,66.0,4.480639046504001,42.19466632443533,1.6010557695155345
13,decode,1,71,200733507816667,200733545808593,0.037991926,9073983488,9055404032,26.321382074707135,1.002051753398782,0.2388397863272317,238.3507493671155,False,4,sampled,119.564,1.7089567968012886,121.044,50.5,17.897858344878397,66.0,4.542466640264,43.67466632443532,1.6592846910726389
14,decode,1,72,200733545861202,200733583904587,0.038043385,9074327552,9055490048,26.28577872342327,1.0020802302139529,0.23852576609573517,238.0306076338896,False,4,sampled,121.044,0.0,121.044,35.0,0.0,35.0,4.6049234939399994,45.154666324435325,1.717836355527028
15,decode,1,73,200733583957817,200733622838704,0.038880887,9074671616,9055576064,25.719577848108248,1.0021087064881398,0.23339672307373027,232.90559353751368,False,4,sampled,121.044,0.0,121.044,35.0,0.0,35.0,4.706298086028,45.154666324435325,1.7556534788830753
16,decode,1,74,200733622895253,200733661053227,0.038157974,9075015680,9055662080,26.20684211378728,1.0021371822213578,0.2378275031059039,237.32030636637052,False,3,sampled,123.556,0.0,123.556,35.0,0.0,35.0,4.714646635544,47.666666324435326,1.8188634142744786
17,decode,1,75,200733661109966,200733699539888,0.038429922,9075359744,9055748096,26.021390311434928,1.0021656574136224,0.23615347811530818,235.64315576804972,False,4,sampled,123.556,0.0,123.556,35.0,0.0,35.0,4.748247442632,47.666666324435326,1.8318262688480762
18,decode,1,76,200733699595447,200733737774731,0.038179284,9075703808,9055834112,26.192214605176986,1.0021941320649492,0.237712781832158,237.19235049038636,False,4,sampled,124.145,1.1780000000000044,125.912,35.75,1.5,38.0,4.73976721218,48.255666324435325,1.8423667892098525
19,decode,1,77,200733737830301,200733776054414,0.038224113,9076047872,9055920128,26.161496540155166,1.0022226061753534,0.23744299500161065,236.91642309659355,False,4,sampled,125.912,0.0,125.912,38.0,0.0,38.0,4.812874516056,50.022666324435335,1.9120720501465107
20,decode,1,78,200733776109293,200733814184198,0.038074905,9076391936,9056006144,26.26401825559381,1.0022510797448505,0.23838252350202843,237.8471106887857,False,4,sampled,125.912,0.0,125.912,38.0,0.0,38.0,4.79408743836,50.022666324435335,1.9046082681495744
21,decode,1,79,200733814240897,200733852695718,0.038454821,9076736000,9056092160,26.004541797243057,1.0022795527734558,0.23603636069454073,235.49952709440515,False,3,sampled,128.034,1.8377059068305746,129.095,38.0,0.0,38.0,4.923524551913999,52.14466632443532,2.005213809610888
22,decode,1,80,200733852750628,200733890959061,0.038208433,9077080064,9056178176,26.172232711035285,1.002308025261185,0.23756745177170707,237.02040269487105,False,4,sampled,129.095,0.0,129.095,38.0,0.0,38.0,4.932517658135,53.20566632443533,2.0329051369775435
23,decode,1,81,200733891018241,200733929286004,0.038267763,9077424128,9056264192,26.13165551380675,1.0023364972080533,0.2372081202656136,236.65517610736742,False,4,sampled,129.095,0.0,129.095,38.0,0.0,38.0,4.940176864485,53.20566632443533,2.0360618291605723
24,decode,1,82,200733929342723,200733967570106,0.038227383,9077768192,9056350208,26.15925866544409,1.0023649686140759,0.2374676862394687,236.90740765592037,False,4,sampled,129.942,0.0,129.942,44.0,0.0,44.0,4.967342601786,54.052666324435336,2.066291977755392
25,decode,1,83,200733967627826,200734005770150,0.038142324,9078112256,9056436224,26.217594921588944,1.0023934394792686,0.23800626978051992,237.43797635403652,False,3,sampled,129.942,0.0,129.942,44.0,0.0,44.0,4.956289865208,54.052666324435336,2.0616943120105016
26,decode,1,84,200734005827439,200734044151682,0.038324243,9078456320,9056522240,26.093144227271495,1.0024219098036466,0.23688547011874442,236.3131410058119,False,4,sampled,130.029,0.17399999999999238,130.29,44.0,0.0,44.0,4.983262993047,54.139666324435325,2.074861728156576
27,decode,1,85,200734044211351,200734082476614,0.038265263,9078800384,9056608256,26.133362783890966,1.0024503795872255,0.23725958407760062,236.67962914563006,False,4,sampled,130.29,0.0,130.29,44.0,0.0,44.0,4.98558111627,54.40066632443532,2.081655804279761
28,decode,1,86,200734082536023,200734120904805,0.038368782,9079144448,9056694272,26.062854953279466,1.0024788488300205,0.2366284248480966,236.04330916733298,False,4,sampled,130.29,0.0,130.29,44.0,0.0,44.0,4.999068606779999,54.40066632443532,2.087287306857
29,decode,1,87,200734120961834,200734159069539,0.038107705,9079488512,9056780288,26.241412333804938,1.002507317532047,0.23825860182343706,237.66270595408463,False,4,sampled,130.4925,0.13500000000000512,130.56,43.25,0.5,44.0,4.9727696947125,54.603166324435335,2.080801354357516
30,decode,1,88,200734159127458,200734197426291,0.038298833,9079832576,9056866304,26.110456159329974,1.0025357856933206,0.23707857040970412,236.47891057150488,False,3,sampled,130.56,0.0,130.56,43.0,0.0,43.0,5.00029563648,54.67066632443533,2.0938227195582724
31,decode,1,89,200734197481620,200734235753423,0.038271803,9080176640,9056952320,26.128897036808013,1.0025642533138566,0.23725500050258932,236.64817463655945,False,4,sampled,130.56,0.0,130.56,43.0,0.0,43.0,4.99676659968,54.67066632443533,2.092344971447523
