step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,1920,120,200977437148378,200977508793925,0.071645547,11682891694080,7304232960,26798.595033408008,1599.4686585242757,163.06514756709163,101.94957350245367,False,7,sampled,259.4101428571429,6.898547176243516,266.785,72.0,0.0,72.0,18.585581582348144,182.59670548547965,13.08224084490509
1,decode,16,120,200977508890864,200977525372627,0.016481763,116119044096,7305019392,970.7699352308366,15.895788616682703,7.045304807258786,443.21832512699035,False,1,single_sample,266.785,,266.785,72.0,,72.0,4.397087141955001,189.97156262833678,3.131066271979904
2,decode,16,121,200977525432737,200977541420325,0.015987588,116125335552,7305805824,1000.7763522552619,15.894938676103527,7.263468107384303,456.96735642674804,False,2,sampled,266.785,0.0,266.785,72.0,0.0,72.0,4.2652486645800005,189.97156262833678,3.037187075018046
3,decode,16,122,200977541468765,200977557179276,0.015710511,116131627008,7306592256,1018.4264534743651,15.894088918488022,7.391970064372826,465.07667739133376,False,1,single_sample,266.785,,266.785,72.0,,72.0,4.191328677135,189.97156262833678,2.984550324359674
4,decode,16,123,200977557228596,200977573116385,0.015887789,116137918464,7307378688,1007.0627196773573,15.893239343777116,7.309885501626439,459.93679095310245,False,2,sampled,266.785,0.0,266.785,72.0,0.0,72.0,4.238623788365,189.97156262833678,3.0182281030393003
5,decode,16,124,200977573164925,200977588881296,0.015716371,116144209920,7308165120,1018.0467233816255,15.89238995191176,7.3900145218002296,465.0033471467427,False,2,sampled,275.13750000000005,11.812218779721265,283.49,81.5,13.435028842544403,91.0,4.324163026012501,198.3240626283368,3.1169345464941762
6,decode,16,125,200977588932596,200977604579548,0.015646952,116150501376,7308951552,1022.563372086781,15.891540742832934,7.423203022288303,467.11663408950193,False,1,single_sample,283.49,,283.49,91.0,,91.0,4.43575442248,206.67656262833677,3.233858254970579
7,decode,16,126,200977604626637,200977620226200,0.015599563,116156792832,7309737984,1025.669757543849,15.890691716481639,7.446156846316784,468.5860741098966,False,2,sampled,283.49,0.0,283.49,91.0,0.0,91.0,4.422320114870001,206.67656262833677,3.224064059344185
8,decode,16,127,200977620274719,200977637804772,0.017530053,116163084288,7310524416,912.7182901272461,15.889842872798909,6.626510729203157,417.02808405656276,False,1,single_sample,283.49,,283.49,91.0,,91.0,4.96959472497,206.67656262833677,3.623051096732563
9,decode,16,128,200977637852632,200977653768281,0.015915649,116169375744,7311310848,1005.2998781262392,15.888994211725793,7.299066204840281,459.37874402734064,False,2,sampled,283.49,0.0,283.49,91.0,0.0,91.0,4.51192733501,206.67656262833677,3.2893916273191257
10,decode,16,129,200977653816551,200977669781819,0.015965268,116175667200,7312097280,1002.1754724067268,15.888145733203375,7.276775259895417,458.0002841167464,False,1,single_sample,283.49,,283.49,91.0,,91.0,4.5259938253200005,206.67656262833677,3.299646711680181
11,decode,16,130,200977669880558,200977685556800,0.015676242,116181958656,7312883712,1020.6527814510646,15.887297437172757,7.411339953542438,466.49469381756165,False,1,single_sample,283.49,,283.49,91.0,,91.0,4.4440578445800005,206.67656262833677,3.2399118114899634
12,decode,16,131,200977685604760,200977701487839,0.015883079,116188250112,7313670144,1007.361356069563,15.886449323575071,7.315222074510867,460.4692921315823,False,2,sampled,263.202,0.0,263.202,91.0,0.0,91.0,4.180458158958,186.38856262833676,2.9604242649223207
13,decode,16,132,200977701535619,200977717293410,0.015757791,116194541568,7314456576,1015.3707458107548,15.885601392351475,7.373783645689931,464.18032679834374,False,1,single_sample,263.202,,263.202,91.0,,91.0,4.147482106782,186.38856262833676,2.9370720146877414
14,decode,16,133,200977717340719,200977733052991,0.015712272,116200833024,7315243008,1018.3123102756878,15.884753643443146,7.395546170789305,465.5751254815344,False,2,sampled,263.202,0.0,263.202,91.0,0.0,91.0,4.135501414944,186.38856262833676,2.928587793705462
15,decode,16,134,200977733100280,200977748737233,0.015636953,116207124480,7316029440,1023.2172469917894,15.883906076791293,7.431570874453611,467.86796890673014,False,1,single_sample,263.202,,263.202,91.0,,91.0,4.115677303506,186.38856262833676,2.914549193556858
16,decode,16,135,200977748784272,200977766121877,0.017337605,116213415936,7316815872,922.8494939179893,15.883058692337146,6.702968255188649,422.0199890353945,False,2,sampled,263.202,0.0,263.202,91.0,0.0,91.0,4.56329231121,186.38856262833676,3.2315312753678644
17,decode,16,136,200977766171706,200977781905567,0.015733861,116219707392,7317602304,1016.9150471076363,15.882211490021964,7.386598076085712,465.08624323044427,False,2,sampled,263.202,0.0,263.202,91.0,0.0,91.0,4.141183682922,186.38856262833676,2.932611736384045
18,decode,16,137,200977781953197,200977797577209,0.015624012,116225998848,7318388736,1024.0647536625036,15.881364469787028,7.438934304965971,468.4064973836426,False,1,single_sample,240.48,,240.48,80.0,,80.0,3.7572624057599997,163.66656262833675,2.557128338503885
19,decode,16,138,200977797624589,200977813166092,0.015541503,116232290304,7319175168,1029.5014581279559,15.880517631573646,7.478832021844991,470.9438442343704,False,2,sampled,240.48,0.0,240.48,80.0,0.0,80.0,3.73742064144,163.66656262833675,2.5436243740879836
20,decode,16,139,200977813214062,200977828702805,0.015488743,116238581760,7319961600,1033.008295121173,15.87967097532315,7.504713698200042,472.59881579802834,False,1,single_sample,240.48,,240.48,80.0,,80.0,3.72473291664,163.66656262833675,2.5349893262437124
21,decode,16,140,200977828748865,200977844317748,0.015568883,116244873216,7320748032,1027.6909396775607,15.878824500976897,7.466487686753121,470.2166515092958,False,2,sampled,240.48,0.0,240.48,80.0,0.0,80.0,3.74400498384,163.66656262833675,2.5481055645727473
22,decode,16,141,200977844365057,200977859810981,0.015445924,116251164672,7321534464,1035.871987975598,15.877978208476272,7.526332815828953,474.0107787659709,False,1,single_sample,240.48,,240.48,80.0,,80.0,3.71443580352,163.66656262833675,2.5279812876985295
23,decode,16,142,200977859857411,200977875430243,0.015572832,116257456128,7322320896,1027.4303350861294,15.877132097762681,7.465402319115752,470.1984132365905,False,2,sampled,240.48,0.0,240.48,80.0,0.0,80.0,3.74495463936,163.66656262833675,2.5487518838285665
24,decode,16,143,200977875477293,200977891281783,0.01580449,116263747584,7323107328,1012.3705352086653,15.876286168777561,7.356374522936203,463.3561303148662,False,1,single_sample,240.48,,240.48,80.0,,80.0,3.8006637552,163.66656262833675,2.586666552393922
25,decode,16,144,200977891329723,200977906936885,0.015607162,116270039040,7323893760,1025.1703672967576,15.875440421462367,7.449787414265322,469.264928498852,False,2,sampled,218.35,0.0,218.35,80.0,0.0,80.0,3.4078238227,141.53656262833675,2.2089840618635974
26,decode,16,145,200977906983525,200977922502168,0.015518643,116276330496,7324680192,1031.017982693461,15.874594855758584,7.492686731436505,471.99231221441204,False,1,single_sample,218.35,,218.35,80.0,,80.0,3.38849569905,141.53656262833675,2.1964553868762997
27,decode,16,146,200977922549588,200977937991712,0.015442124,116282621952,7325466624,1036.1268954970185,15.873749471607722,7.5302220052112006,474.382061949509,False,2,sampled,218.35,0.0,218.35,80.0,0.0,80.0,3.3717877754,141.53656262833675,2.185625150640542
28,decode,16,147,200977938044502,200977953561645,0.015517143,116288913408,7326253056,1031.1176483970019,15.872904268951313,7.494221932993722,472.1393014165043,False,2,sampled,218.35,0.0,218.35,80.0,0.0,80.0,3.38816817405,141.53656262833675,2.1962430820323573
29,decode,16,148,200977953611244,200977969094938,0.015483694,116295204864,7327039488,1033.345143607204,15.872059247730917,7.510817823188704,473.21004199643835,False,1,single_sample,218.35,,218.35,80.0,,80.0,3.3808645849,141.53656262833675,2.191508825549002
30,decode,16,149,200977969142877,200977984627161,0.015484284,116301496320,7327825920,1033.3057699019212,15.871214407888118,7.510937949730192,473.2428002483034,False,2,sampled,213.3555,7.063289637272426,218.35,80.0,0.0,80.0,3.303657154962,136.54206262833677,2.114256075682953
31,decode,16,150,200977984673811,200978000033086,0.015359275,116307787776,7328612352,1041.7158361966954,15.870369749364524,7.572479024953978,477.14572152656945,False,1,single_sample,208.361,,208.361,82.0,,82.0,3.200273898275,131.54756262833675,2.020475189988347
32,decode,16,151,200978000080115,200978015753957,0.015673842,116314079232,7329398784,1020.8090651928226,15.869525272101772,7.420904155598863,467.61979507002815,False,2,sampled,208.361,0.0,208.361,82.0,0.0,82.0,3.265817392962,131.54756262833675,2.061855712121655
33,decode,16,152,200978015800497,200978031152302,0.015351805,116320370688,7330185216,1042.2227223443758,15.86868097604152,7.576983337659644,477.48034944425103,False,1,single_sample,208.361,,208.361,82.0,,82.0,3.198717441605,131.54756262833675,2.0194925296955133
34,decode,16,153,200978031199721,200978046823633,0.015623912,116326662144,7330971648,1024.0713081333279,15.867836861125452,7.4454248170368595,469.2148578409812,False,2,sampled,208.361,0.0,208.361,82.0,0.0,82.0,3.255413928232,131.54756262833675,2.055287542319622
35,decode,16,154,200978046870633,200978062269377,0.015398744,116332953600,7331758080,1039.0457819157198,15.866992927295277,7.554704045992322,476.1270191906561,False,1,single_sample,208.361,,208.361,82.0,,82.0,3.208497698584,131.54756262833675,2.0256672407377248
36,decode,16,155,200978062316347,200978077956659,0.015640312,116339245056,7332544512,1022.997495190633,15.86614917449273,7.438422267791077,468.8234168218639,False,2,sampled,208.361,0.0,208.361,82.0,0.0,82.0,3.258831048632,131.54756262833675,2.057444922346727
37,decode,16,156,200978078008458,200978093461662,0.015453204,116345536512,7333330944,1035.3839889773021,15.865305602659571,7.528894105843682,474.5508403305878,False,1,single_sample,218.425,,218.425,82.0,,82.0,3.3753660837000004,141.61156262833677,2.188352366054464
38,decode,16,157,200978093509052,200978109037715,0.015528663,116351827968,7334117376,1030.3527096956125,15.864462211737584,7.49271382655416,472.29548197420473,False,2,sampled,218.425,0.0,218.425,82.0,0.0,82.0,3.391848215775,141.61156262833677,2.199038232958836
39,decode,16,158,200978109085255,200978124446120,0.015360865,116358119424,7334903808,1041.6080084031726,15.863619001668576,7.574971814673197,477.5059092049829,False,1,single_sample,218.425,,218.425,82.0,,82.0,3.355196937625,141.61156262833677,2.1752760959729263
40,decode,16,159,200978124493579,200978140176421,0.015682842,116364410880,7335690240,1020.2232478016422,15.862775972394385,7.419854824782396,467.7526075949755,False,2,sampled,218.425,0.0,218.425,82.0,0.0,82.0,3.42552476385,141.61156262833677,2.22087176207331
41,decode,16,160,200978140225370,200978155657475,0.015432105,116370702336,7336476672,1036.7995811329693,15.861933123856868,7.540818464882141,475.4034962825875,False,1,single_sample,218.425,,218.425,82.0,,82.0,3.370757534625,141.61156262833677,2.185364503694569
42,decode,16,161,200978155704564,200978171235307,0.015530743,116376993792,7337263104,1030.214716707372,15.86109045599791,7.493330730667554,472.43477688092577,False,2,sampled,218.425,0.0,218.425,82.0,0.0,82.0,3.392302539775,141.61156262833677,2.1993327850091027
43,decode,16,162,200978171283407,200978187807150,0.016523743,116383285248,7338049536,968.3036101445053,15.860247968759419,7.04339720413226,444.0912410705008,False,2,sampled,223.726,7.49674609413976,229.027,82.0,0.0,82.0,3.696790926418,146.91256262833676,2.4275454283420412
44,decode,16,163,200978187859080,200978203372743,0.015513663,116389576704,7338835968,1031.3489470539614,15.859405662083331,7.502391711357917,473.0562967624087,False,1,single_sample,229.027,,229.027,82.0,,82.0,3.553047695901,152.21356262833675,2.3613899146454105
45,decode,16,164,200978203420412,200978218902106,0.015481694,116395868160,7339622400,1033.4786361234112,15.858563535911602,7.518290192274824,474.0839342258024,False,2,sampled,229.027,0.0,229.027,82.0,0.0,82.0,3.545725931738,152.21356262833675,2.3565237992617454
46,decode,16,165,200978218949286,200978234434819,0.015485533,116402159616,7340408832,1033.2224276684567,15.857721590186218,7.51683262151842,474.0171895923763,False,1,single_sample,229.027,,229.027,82.0,,82.0,3.5466051663909997,152.21356262833675,2.3571081471286752
47,decode,16,166,200978234481459,200978250006192,0.015524733,116408451072,7341195264,1030.6135377658347,15.856879824849187,7.4982578490721865,472.8709514038019,False,2,sampled,229.027,0.0,229.027,82.0,0.0,82.0,3.555583024791,152.21356262833675,2.363074918783706
48,decode,16,167,200978250054252,200978265749023,0.015694771,116414742528,7341981696,1019.4478148167948,15.856038239842542,7.417422180164336,467.79794977575654,False,1,single_sample,229.027,,229.027,82.0,,82.0,3.594526317817,152.21356262833675,2.388957008545903
49,decode,16,168,200978265796773,200978281430705,0.015633932,116421033984,7342768128,1023.4149668810124,15.855196835108341,7.446689289936786,469.6686750332546,False,2,sampled,229.027,0.0,229.027,82.0,0.0,82.0,3.580592544164,152.21356262833675,2.379696487609158
50,decode,16,169,200978281477764,200978297021277,0.015543513,116427325440,7343554560,1029.3683287684064,15.854355610588668,7.490412588196761,472.45140529042567,False,1,single_sample,235.375,,235.375,82.0,,82.0,3.658554372375,158.56156262833676,2.4646037100138667
51,decode,16,170,200978297069187,200978312552241,0.015483054,116433616896,7344340992,1033.3878574601626,15.85351456622563,7.520067868780926,474.34705013623284,False,2,sampled,235.375,0.0,235.375,82.0,0.0,82.0,3.64432383525,158.56156262833676,2.45501723649892
52,decode,16,171,200978312599460,200978328135623,0.015536163,116439908352,7345127424,1029.855312408862,15.852673701961361,7.494766137044262,472.77615612040114,False,2,sampled,235.375,0.0,235.375,82.0,0.0,82.0,3.656824366125,158.56156262833676,2.4634382825285486
53,decode,16,172,200978328186553,200978343710666,0.015524113,116446199808,7345913856,1030.6546982748707,15.851833017738018,7.500988933023097,473.19378930055456,False,1,single_sample,235.375,,235.375,82.0,,82.0,3.653988097375,158.56156262833676,2.461527615698877
54,decode,16,173,200978343757616,200978359310239,0.015552623,116452491264,7346700288,1028.7653728891905,15.850992513497783,7.48764316244276,472.3769288305902,False,2,sampled,235.375,0.0,235.375,82.0,0.0,82.0,3.660698638625,158.56156262833676,2.4660482058494106
55,decode,16,174,200978359356968,200978374854232,0.015497264,116458782720,7347486720,1032.4403068825568,15.850152189182861,7.514796335662862,474.1150902507694,False,1,single_sample,235.375,,235.375,82.0,,82.0,3.6476685140000003,158.56156262833676,2.4572703963038687
56,decode,16,175,200978374899921,200978390700102,0.015800181,116465074176,7348273152,1012.6466272759786,15.849312044735488,7.371122784985817,465.07525147971404,False,2,sampled,227.02949999999998,11.802319284784666,235.375,82.5,0.7071067811865476,83.0,3.5871071923395,150.21606262833674,2.373440978635056
57,decode,16,176,200978390746921,200978406237445,0.015490524,116471365632,7349059584,1032.8895265260232,15.848472080097915,7.518878356342238,474.42291713308083,False,1,single_sample,218.684,,218.684,83.0,,83.0,3.3875297504160002,141.87056262833676,2.1976493552877536
58,decode,16,177,200978406286074,200978421901487,0.015615413,116477657088,7349846016,1024.6286793695435,15.847632295212428,7.459146747383499,470.67893855897375,False,2,sampled,218.684,0.0,218.684,83.0,0.0,83.0,3.414840976492,141.87056262833676,2.215367427983844
59,decode,16,178,200978421949286,200978437320441,0.015371155,116483948544,7350632448,1040.9107188106555,15.846792690021331,7.5780869130524025,478.20950657253803,False,1,single_sample,218.684,,218.684,83.0,,83.0,3.3614256600199997,141.87056262833676,2.1807144080973715
60,decode,16,179,200978437368210,200978452887854,0.015519644,116490240000,7351418880,1030.9514831654642,15.845953264466955,7.505986606393805,473.6847623566623,False,2,sampled,218.684,0.0,218.684,83.0,0.0,83.0,3.393897828496,141.87056262833676,2.201780626071491
61,decode,16,180,200978452935083,200978468351918,0.015416835,116496531456,7352205312,1037.826505894368,15.845114018491653,7.556449261862113,476.89459684818576,False,1,single_sample,218.684,,218.684,83.0,,83.0,3.37141514514,141.87056262833676,2.187195055398234
62,decode,16,181,200978468399037,200978483897771,0.015498734,116502822912,7352991744,1032.3423835779104,15.844274952037809,7.516925118658079,474.42531396435345,False,2,sampled,218.684,0.0,218.684,83.0,0.0,83.0,3.389325146056,141.87056262833676,2.1988141126069323
63,decode,16,182,200978483944650,200978499392864,0.015448214,116509114368,7353778176,1035.7184332117615,15.843436065047824,7.541914836757181,476.0277256645978,False,1,single_sample,214.633,,214.633,83.0,,83.0,3.315696515462,137.81956262833677,2.1290660968689488
64,decode,16,183,200978499440264,200978515166675,0.015726411,116515405824,7354564608,1017.3967855730084,15.842597357464127,7.408899959692012,467.6568994667633,False,2,sampled,214.633,0.0,214.633,83.0,0.0,83.0,3.375406772163,137.81956262833677,2.167407085733464
65,decode,16,184,200978515214765,200978530625779,0.015411014,116521697280,7355351040,1038.2185104756895,15.841758829229176,7.560936436758801,477.2788500484134,False,2,sampled,214.633,0.0,214.633,83.0,0.0,83.0,3.3077121678620003,137.81956262833677,2.123939209139175
66,decode,16,185,200978530675079,200978546120903,0.015445824,116527988736,7356137472,1035.8786944613637,15.840920480285446,7.544303802503512,476.2541300483548,False,1,single_sample,214.633,,214.633,83.0,,83.0,3.3151835425920004,137.81956262833677,2.128736708114267
67,decode,16,186,200978546168662,200978561670026,0.015501364,116534280192,7356923904,1032.1672337995547,15.84008231057544,7.517679101787429,474.5984872040938,False,2,sampled,214.633,0.0,214.633,83.0,0.0,83.0,3.327104259412,137.81956262833677,2.136391206622645
68,decode,16,187,200978561717015,200978577220889,0.015503874,116540571648,7357710336,1032.0001310640166,15.839244320041685,7.516867825938214,474.57237694269185,False,1,single_sample,214.633,,214.633,83.0,,83.0,3.327642988242,137.81956262833677,2.1367371337248424
69,decode,16,188,200978577268458,200978592709842,0.015441384,116546863104,7358496768,1036.1765499776445,15.838406508626736,7.5476954076137215,476.5438621304929,False,2,sampled,207.48250000000002,10.112334077748828,214.633,83.5,0.7071067811865476,84.0,3.2038169557800003,130.66906262833677,2.0177111729641974
70,decode,16,189,200978592757252,200978608224226,0.015466974,116553154560,7359283200,1034.462203143291,15.837568876273167,7.535614565589881,475.8062695392131,False,1,single_sample,200.332,,200.332,84.0,,84.0,3.0985298353679998,123.51856262833675,1.910458396689856
71,decode,16,190,200978608271575,200978623916567,0.015644992,116559446016,7360069632,1022.6914785255243,15.836731422923581,7.450272011388693,470.44253087505575,False,2,sampled,200.332,0.0,200.332,84.0,0.0,84.0,3.134192537344,123.51856262833675,1.9324469241718274
72,decode,16,191,200978623964177,200978639563369,0.015599192,116565737472,7360856064,1025.694151338095,15.835894148520604,7.472549698215139,471.87418835539694,False,1,single_sample,200.332,,200.332,84.0,,84.0,3.125017331744,123.51856262833675,1.9267897740034496
73,decode,16,192,200978639611139,200978655124012,0.015512873,116572028928,7361642496,1031.4014689606497,15.835057053006883,7.514535117253909,474.5505552710964,False,2,sampled,200.332,0.0,200.332,84.0,0.0,84.0,3.1077248738359997,123.51856262833675,1.9161277751959342
74,decode,16,193,200978655171572,200978670769794,0.015598222,116578320384,7362428928,1025.757935744215,15.834220136325097,7.473821079351223,472.0043687030483,False,1,single_sample,200.332,,200.332,84.0,,84.0,3.124823009704,123.51856262833675,1.9266699609977003
75,decode,16,194,200978670816994,200978686348367,0.015531373,116584611840,7363215360,1030.1729280469924,15.833383398417944,7.506394434027179,474.0865704532368,False,2,sampled,200.332,0.0,200.332,84.0,0.0,84.0,3.1114310158359997,123.51856262833675,1.9184128686045583
