step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,58,58,201018581931195,201018591198951,0.009267756,758698622976,14143897600,6258.257122867714,53.641410906142305,81.86432864395653,1526.1404810398546,False,1,nearest,109.233,,109.233,31.0,,31.0,1.0123447911480001,31.479477412731015,0.29174411566870234
1,decode,1,58,201018591261361,201018599414098,0.008152737,14164254720,14143954944,122.6581944198617,1.0014352262913997,1.7373619092582036,1734.8719753869161,True,1,single_sample,109.233,,109.233,31.0,,31.0,0.8905479207210001,31.479477412731015,0.2566439002434364
2,decode,1,59,201018599464298,201018607476077,0.008011779,14164656128,14144012288,124.81622371261115,1.00145954624329,1.7679788880846563,1765.4022019329288,True,1,single_sample,109.233,,109.233,31.0,,31.0,0.875150655507,31.479477412731015,0.2522066160662927
3,decode,1,60,201018607522287,201018615521396,0.007999109,14165057536,14144069632,125.01392342572153,1.001483865997981,1.7708294181264437,1768.2056379029214,True,1,single_sample,109.233,,109.233,31.0,,31.0,0.8737666733970001,31.479477412731015,0.2518077710874734
4,decode,1,61,201018615565845,201018623558095,0.00799225,14165458944,14144126976,125.12121117332417,1.0015081855554744,1.7723993798992776,1769.730298226407,True,1,single_sample,109.233,,109.233,31.0,,31.0,0.8730174442499999,31.479477412731015,0.25159185335189943
5,decode,1,62,201018623603514,201018631598513,0.007994999,14165860352,14144184320,125.07818950321321,1.001532504915773,1.7718401655835105,1769.1289667453368,True,1,nearest,109.233,,109.233,31.0,,31.0,0.873317725767,31.479477412731015,0.25167839043530704
6,decode,1,63,201018631642643,201018639633582,0.007990939,14166261760,14144241664,125.14173866175176,1.001556824078879,1.7727906269838873,1770.0349938849488,True,1,single_sample,109.233,,109.233,31.0,,31.0,0.8728742397870001,31.479477412731015,0.2515505837570114
7,decode,1,64,201018639677302,201018647700741,0.008023439,14166663168,14144299008,124.6348355113063,1.001581143044795,1.7656597336877615,1762.872380284813,True,1,single_sample,109.233,,109.233,31.0,,31.0,0.876424312287,31.479477412731015,0.25257366677292514
8,decode,1,65,201018647745041,201018673940646,0.026195605,14167064576,14144356352,38.1743426044178,1.0016054618135233,0.540818376823135,539.9515053002211,False,3,sampled,122.949,0.0,122.949,31.0,0.0,31.0,3.220723439145,45.19547741273101,1.1839228740903236
9,decode,1,66,201018673992596,201018700105132,0.026112536,14167465984,14144413696,38.295782531424756,1.001629780385066,0.5425541963446217,541.6713909365219,False,2,sampled,122.949,0.0,122.949,31.0,0.0,31.0,3.2105101886639997,45.19547741273101,1.1801685309771253
10,decode,1,67,201018700157681,201018726165349,0.026007668,14167867392,14144471040,38.4501986106559,1.001654098759426,0.5447573151118354,543.8577207306706,False,3,sampled,122.949,0.0,122.949,31.0,0.0,31.0,3.197616772932,45.19547741273101,1.1754289716518072
11,decode,1,68,201018726218329,201018752188706,0.025970377,14168268800,14144528384,38.50540945169953,1.0016784169366053,0.5455549913657395,544.6408569271058,False,2,sampled,122.949,0.0,122.949,31.0,0.0,31.0,3.193031881773,45.19547741273101,1.1737435871036088
12,decode,1,69,201018752243476,201018778241253,0.025997777,14168670208,14144585728,38.464827204264424,1.0017027349166066,0.5449954512649293,544.0690459034247,False,3,sampled,129.939,0.0,129.939,40.0,0.0,40.0,3.3781251456029997,52.185477412731004,1.3567064044147177
13,decode,1,70,201018778295753,201018804372660,0.026076907,14169071616,14144643072,38.34810623821299,1.001727052699432,0.5433570636272163,542.4202752266593,False,3,sampled,129.939,0.0,129.939,40.0,0.0,40.0,3.3884072186729997,52.185477412731004,1.360835841242387
14,decode,1,71,201018804428959,201018830466216,0.026037257,14169473024,14144700416,38.4065034193118,1.0017513702850842,0.5441999141461022,543.248484892245,False,2,sampled,129.939,0.0,129.939,40.0,0.0,40.0,3.3832551373229998,52.185477412731004,1.3587666870629722
15,decode,1,72,201018830523116,201018856571663,0.026048547,14169874432,14144757760,38.389857215452366,1.0017756876735653,0.5439794562053692,543.0152307535618,False,3,sampled,132.021,3.606129781358408,136.185,40.0,0.0,40.0,3.4389552234869996,54.267477412731,1.4135889359569618
16,decode,1,73,201018856627073,201018882727659,0.026100586,14170275840,14144815104,38.31331603052897,1.001800004864878,0.5429102564976894,541.9347712729516,False,2,sampled,136.185,0.0,136.185,40.0,0.0,40.0,3.5545083044099997,58.43147741273101,1.5250958013180431
17,decode,1,74,201018882783508,201018908952404,0.026168896,14170677248,14144872448,38.21330483334108,1.0018243218590246,0.5415084093727148,540.5223226841514,False,3,sampled,136.185,0.0,136.185,40.0,0.0,40.0,3.5638111017600003,58.43147741273101,1.529087255540107
18,decode,1,75,201018909014184,201018935168030,0.026153846,14171078656,14144929792,38.23529434256055,1.0018486386560073,0.5418353635637374,540.8355540519739,False,2,sampled,136.185,0.0,136.185,40.0,0.0,40.0,3.5617615175100004,58.43147741273101,1.5282078618050454
19,decode,1,76,201018935225369,201018961340265,0.026114896,14171480064,14144987136,38.292321746178885,1.0018729552558288,0.5426588742302478,541.6443985072734,False,3,sampled,137.967,3.0865145390877413,141.531,36.0,6.928203230275509,40.0,3.602993856432,60.213477412731024,1.5724687004318196
20,decode,1,77,201018961394975,201018987399793,0.026004818,14171881472,14145044480,38.45441256308735,1.001897271658491,0.5449713769194616,543.9393761571414,False,3,sampled,141.531,0.0,141.531,28.0,0.0,28.0,3.680487896358,63.77747741273102,1.6585216926171809
21,decode,1,78,201018987456702,201019014374210,0.026917508,14172282880,14145101824,37.15054157316494,1.0019215878639969,0.5265079843200938,525.4981933691633,False,2,sampled,141.531,0.0,141.531,28.0,0.0,28.0,3.8096618247480003,63.77747741273102,1.7167307584770064
22,decode,1,79,201019014484449,201019041062651,0.026578202,14172684288,14145159168,37.62481751022887,1.0019459038723486,0.533244659966088,532.2090323491409,False,3,sampled,141.531,0.0,141.531,28.0,0.0,28.0,3.761639507262,63.77747741273102,1.6950906777260022
23,decode,1,80,201019041120071,201019067237977,0.026117906,14173085696,14145216512,38.28790868609451,1.0019702196835487,0.5426578109286403,541.5907581564923,False,3,sampled,145.293,3.2579875690370588,147.174,28.0,0.0,28.0,3.794748916458,67.53947741273102,1.763989722354832
24,decode,1,81,201019067296706,201019093327873,0.026031167,14173487104,14145273856,38.41548863329869,1.0019945352975992,0.5444814327379175,543.3976070300652,False,2,sampled,147.174,0.0,147.174,28.0,0.0,28.0,3.831110972058,69.42047741273102,1.8070960407505292
