step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,944,59,201849284625119,201849332397572,0.047751663,7306496049152,9130409984,19768.945010354928,800.2374550492036,153.01029514201423,191.20611535560553,False,4,sampled,108.247,0.0,108.247,0.0,0.0,0.0,5.168974264761,34.40412744090442,1.6428542993671202
1,decode,16,59,201849332423942,201849345045567,0.012621625,145117675520,9131786240,1267.665613579868,15.891488445528923,11.497542948709063,723.5032129381121,False,1,single_sample,121.455,,121.455,0.0,,0.0,1.532959464375,47.612127440904416,0.6009424180113052
2,decode,16,60,201849345064307,201849357612733,0.012548426,145123180544,9133162496,1275.0603143374317,15.889696543509304,11.565050512630032,727.8333151902876,False,2,sampled,121.455,0.0,121.455,0.0,0.0,0.0,1.5240690798299998,47.612127440904416,0.5974572578947585
3,decode,16,61,201849357629163,201849370203649,0.012574486,145128685568,9134538752,1272.4178149309641,15.887905181443802,11.541520310889846,726.4343649513785,False,1,single_sample,121.455,,121.455,0.0,,0.0,1.5272341971299999,47.612127440904416,0.5986980299358684
4,decode,16,62,201849370219358,201849382802214,0.012582856,145134190592,9135915008,1271.5714143116634,15.886114359088399,11.534280499752999,726.060522984607,False,1,single_sample,121.455,,121.455,0.0,,0.0,1.5282507754799999,47.612127440904416,0.5990965434425488
5,decode,16,63,201849382817804,201849395587958,0.012770154,145139695616,9137291264,1252.9214604616357,15.884324076199219,11.36553996263475,715.5192696971391,False,1,single_sample,121.455,,121.455,0.0,,0.0,1.55099905407,47.612127440904416,0.6080141996879753
6,decode,16,64,201849395603558,201849408253282,0.012649724,145145200640,9138667520,1264.8497311087579,15.88253433253254,11.47417925007692,722.4400722102713,False,2,sampled,121.455,0.0,121.455,0.0,0.0,0.0,1.5363722284199999,47.612127440904416,0.6022802711802672
7,decode,16,65,201849408269132,201849420841848,0.012572716,145150705664,9140043776,1272.5969472308132,15.88074512784478,11.544896557275296,726.9744879308496,False,1,single_sample,121.455,,121.455,0.0,,0.0,1.5270192217799998,47.612127440904416,0.598613756470298
8,decode,16,66,201849420857488,201849433445823,0.012588335,145156210688,9141420032,1271.0179702081332,15.878956461892507,11.531009516985367,726.181820868288,False,1,single_sample,121.455,,121.455,0.0,,0.0,1.528916227425,47.612127440904416,0.5993574102887975
9,decode,16,67,201849433461673,201849446012869,0.012551196,145161715712,9142796288,1274.778913499558,15.877168334432435,11.565568389817193,728.4402448977771,False,1,single_sample,127.243,,127.243,53.0,,53.0,1.597051832628,53.40012744090441,0.6702354659357698
