step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,120,120,204406697367013,204406732160834,0.034773641,730180730880,3704242176,3450.88971269934,197.12013852951713,20.99810977170898,106.52442682087849,False,3,sampled,105.073,0.0,105.073,11.0,0.0,11.0,3.6537707807929998,32.62471736896197,1.134480209514748
1,decode,1,120,204406732180533,204406749053828,0.016873295,7257440256,3704291328,59.265247244240086,1.9591980255825063,0.43011399113214105,219.53574141861444,False,2,sampled,105.073,0.0,105.073,11.0,0.0,11.0,1.7729277255349998,32.62471736896197,0.5504864804581191
2,decode,1,121,204406749070198,204406765812704,0.016742506,7257833472,3704340480,59.72821511905087,1.9592781795263052,0.4334974389138639,221.25364506364815,False,1,single_sample,105.073,,105.073,11.0,,11.0,1.759185332938,32.62471736896197,0.54621952629815
3,decode,1,122,204406765826394,204406782723299,0.016896905,7258226688,3704389632,59.182436073351894,1.959358331343046,0.42955953696845667,219.23480258662752,False,2,sampled,107.846,3.921614208460597,110.619,19.0,11.313708498984761,27.0,1.8222636166300001,35.39771736896198,0.5981118676002005
4,decode,1,123,204406782736329,204406799586524,0.016850195,7258619904,3704438784,59.34649420971093,1.9594384810328127,0.4307736441032285,219.8454548448846,False,2,sampled,110.619,0.0,110.619,27.0,0.0,27.0,1.8639517207049998,38.170717368961974,0.6431840309568961
5,decode,1,124,204406799599664,204406816360050,0.016760386,7259013120,3704487936,59.6644969871219,1.9595186285956905,0.4331053664277183,221.0264092963014,False,1,single_sample,110.619,,110.619,27.0,,27.0,1.8540171389339999,38.170717368961974,0.6397559570007071
6,decode,1,125,204406816372860,204406833222335,0.016849475,7259406336,3704537088,59.34903016266086,1.9595987740317637,0.43083872559827535,219.8606833744078,False,2,sampled,110.619,0.0,110.619,27.0,0.0,27.0,1.863872075025,38.170717368961974,0.6431565480403906
7,decode,1,126,204406833235535,204406850220879,0.016985344,7259799552,3704586240,58.87428597265973,1.959678917341117,0.42741551492863494,218.10486970414024,False,2,sampled,110.619,0.0,110.619,27.0,0.0,27.0,1.8789017679359998,38.170717368961974,0.648342765238594
8,decode,1,127,204406850233789,204406867277762,0.017043973,7260192768,3704635392,58.67176626013195,1.9597590585238354,0.42596833308759646,217.35750179843632,False,1,single_sample,110.619,,110.619,27.0,,27.0,1.885387249287,38.170717368961974,0.6505806762272189
9,decode,1,128,204406867290632,204406886339907,0.019049275,7260585984,3704684544,52.49543617801727,1.9598391975800031,0.38114762813807873,194.479031039239,False,2,sampled,112.363,2.4663884527786775,114.107,27.0,0.0,27.0,2.1404336868250002,39.91471736896197,0.7603464277086331
