step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,464,58,202284590371590,202284615311334,0.024917094,6069588983808,14167179264,18621.754206168665,428.42607344083933,243.59136678651208,568.572694070986,False,2,sampled,112.064,8.085058936086993,117.781,3.5,4.949747468305833,7.0,2.7923092220159997,36.24714285714285,0.903173465802857
1,decode,8,58,202284615337724,202284621395869,0.006058145,113314037760,14167638016,1320.5362367523392,7.99808956383771,18.70441162435036,2338.609923664752,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.713534376245,41.96414285714286,0.25422486222928575
2,decode,8,59,202284621414589,202284627470964,0.006056375,113317249024,14168096768,1320.9221687890858,7.9980572464706645,18.710408292749374,2339.3691388000248,False,1,nearest,117.781,,117.781,7.0,,7.0,0.7133259038750001,41.96414285714286,0.2541505856964286
3,decode,8,60,202284627486384,202284633530170,0.006043786,113320460288,14168555520,1323.673604591559,7.998024931196373,18.74991276792395,2344.3178696267537,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.711843158866,41.96414285714286,0.253622299102
4,decode,8,61,202284633545070,202284639579835,0.006034765,113323671552,14169014272,1325.6522830632177,7.997992618014634,18.77847298975188,2347.8982648040146,False,1,nearest,117.781,,117.781,7.0,,7.0,0.710780656465,41.96414285714286,0.2532437405692857
5,decode,8,62,202284639594575,202284645634150,0.006039575,113326882816,14169473024,1324.5965154832913,7.997960306925243,18.764049261082114,2346.1043242281116,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.711347183075,41.96414285714286,0.2534455880964286
6,decode,8,63,202284645648640,202284651755805,0.006107165,113330094080,14169931776,1309.9367709894852,7.997927997927998,18.55690718688622,2320.2143344743426,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.7193080008650001,41.96414285714286,0.25628194451214287
7,decode,8,64,202284651771765,202284657813370,0.006041605,113333305344,14170390528,1324.151446511316,7.997895691022694,18.758807526145784,2345.4678894101817,False,1,nearest,117.781,,117.781,7.0,,7.0,0.7115862785050001,41.96414285714286,0.2535307753064286
8,decode,8,65,202284657827680,202284663846046,0.006018366,113336516608,14170849280,1329.264454837077,7.997863386209129,18.831775370258306,2354.6007803446983,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.708849165846,41.96414285714286,0.25255557059057143
9,decode,8,66,202284663860156,202284669894871,0.006034715,113339727872,14171308032,1325.6632666165676,7.9978310834871,18.78128923602854,2348.29781224134,False,1,nearest,117.781,,117.781,7.0,,7.0,0.7107747674150001,41.96414285714286,0.2532416423621429
10,decode,8,67,202284669909261,202284675931316,0.006022055,113342939136,14171766784,1328.450171909755,7.997798782856403,18.82130587249701,2353.3107525587197,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.7092836599550001,41.96414285714286,0.25271037631357146
11,decode,8,68,202284675946176,202284681978342,0.006032166,113346150400,14172225536,1326.2234494209874,7.997766484316836,18.790290320259754,2349.4422295407653,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.710474543646,41.96414285714286,0.25313467576200005
12,decode,8,69,202284681999092,202284688031177,0.006032085,113349361664,14172684288,1326.2412582050815,7.997734187868194,18.791075003750773,2349.549830282564,False,1,nearest,117.781,,117.781,7.0,,7.0,0.7104650033850001,41.96414285714286,0.2531312766664286
13,decode,8,70,202284688045957,202284694101502,0.006055545,113352572928,14173143040,1321.1032202716683,7.997701893510277,18.718806140157493,2340.523113939373,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.713228145645,41.96414285714286,0.25411575545785714
14,decode,8,71,202284694115772,202284700152147,0.006036375,113355784192,14173601792,1325.298709904537,7.99766960124288,18.77878431873434,2348.032021204779,False,1,nearest,117.781,,117.781,7.0,,7.0,0.710970283875,41.96414285714286,0.2533113028392857
15,decode,8,72,202284700166287,202284706204223,0.006037936,113358995456,14174060544,1324.9560777060242,7.997637311065799,18.774461249009597,2347.500957943244,False,1,single_sample,117.781,,117.781,7.0,,7.0,0.711154140016,41.96414285714286,0.2533768088662857
16,decode,8,73,202284706218293,202284712253828,0.006035535,113362206720,14174519296,1325.4831593222473,7.997605022978834,18.782461988870914,2348.5108272920297,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.8870425789499999,71.15314285714285,0.4294472840742857
17,decode,8,74,202284712269878,202284718326363,0.006056485,113365417984,14174978048,1320.8981777384076,7.9975727369817795,18.71802175420231,2340.462834135641,False,1,nearest,146.97,,146.97,7.0,,7.0,0.89012160045,71.15314285714285,0.43093794241714284
18,decode,8,75,202284718340253,202284724375248,0.006034995,113368629248,14175436800,1325.6017610619397,7.997540453074434,18.785206822540864,2348.872998237778,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.88696321515,71.15314285714285,0.4294088613771428
19,decode,8,76,202284724389518,202284730441284,0.006051766,113371840512,14175895552,1321.9281776592154,7.997508171256594,18.73367881573742,2342.4394717178425,False,1,nearest,146.97,,146.97,7.0,,7.0,0.8894280490200001,71.15314285714285,0.430602170736
20,decode,8,77,202284730457883,202284736489239,0.006031356,113375051776,14176354304,1326.401558787112,7.997475891528056,18.797605675406988,2350.442305842998,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.88642839132,71.15314285714285,0.4291499350902857
21,decode,8,78,202284736503419,202284742545414,0.006041995,113378263040,14176813056,1324.0659748973642,7.99744361388862,18.765037548028427,2346.37947499129,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.88799200515,71.15314285714285,0.4299069333771428
22,decode,8,79,202284742561494,202284748657439,0.006095945,113381474304,14177271808,1312.3477984135354,7.997411338338079,18.599491022966905,2325.6889305923855,False,1,nearest,146.97,,146.97,7.0,,7.0,0.89592103665,71.15314285714285,0.43374564543428573
23,decode,8,80,202284748671439,202284754713754,0.006042315,113384685568,14177730560,1323.9958525829918,7.997379064876234,18.765106679807324,2346.407057559892,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.8880390355500001,71.15314285714285,0.42992970238285716
24,decode,8,81,202284754727914,202284760760229,0.006032315,113387896832,14178189312,1326.190691301764,7.99734679350288,18.796746660610395,2350.3728356360702,False,1,nearest,146.97,,146.97,7.0,,7.0,0.88656933555,71.15314285714285,0.42921817095428566
25,decode,8,82,202284760774199,202284766814655,0.006040456,113391108096,14178648064,1324.4033231928186,7.997314524217814,18.771945047857315,2347.281076792878,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.8877658183199999,71.15314285714285,0.42979742869028564
26,decode,8,83,202284766829134,202284772862110,0.006032976,113394319360,14179106816,1326.0453878815365,7.997282257020836,18.795751774911754,2350.267399704557,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.8866664827199999,71.15314285714285,0.42926520318171424
27,decode,8,84,202284772878220,202284778920105,0.006041885,113397530624,14179565568,1324.0900811584463,7.997249991911741,18.768568190887446,2346.877765465579,False,1,nearest,146.97,,146.97,7.0,,7.0,0.88797583845,71.15314285714285,0.4298991065314286
28,decode,8,85,202284778934285,202284784969221,0.006034936,113400741888,14180024320,1325.6147206863502,7.997217728890327,18.79071159793575,2349.6561222853065,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.8869545439200001,71.15314285714285,0.4294046633417143
29,decode,8,86,202284784983350,202284791009726,0.006026376,113403953152,14180483072,1327.497653647897,7.997185467956391,18.817935215459507,2353.069750709216,False,1,nearest,146.97,,146.97,7.0,,7.0,0.88569648072,71.15314285714285,0.4287955924388571
30,decode,8,87,202284791023956,202284797051432,0.006027476,113407164416,14180941824,1327.2553884909703,7.997153209109731,18.815033758077174,2352.716431222621,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.88585814772,71.15314285714285,0.428873860896
31,decode,8,88,202284797065231,202284803095007,0.006029776,113410375680,14181400576,1326.7491197019592,7.997120952350144,18.808389512313557,2351.895091293607,False,1,single_sample,146.97,,146.97,7.0,,7.0,0.88619617872,71.15314285714285,0.4290375131245714
32,decode,8,89,202284803110497,202284809156032,0.006045535,113413586944,14181859328,1323.290659966405,7.997088697677428,18.759892539535375,2345.8402487124795,False,1,nearest,146.97,,146.97,7.0,,7.0,0.8885122789500001,71.15314285714285,0.4301588155028571
33,decode,8,90,202284809171412,202284815218217,0.006046805,113416798208,14182318080,1323.012731516892,7.9970564450913795,18.756483499633276,2345.4234227827756,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04434369155,96.89314285714286,0.5858939406942857
34,decode,8,91,202284815231927,202284821276322,0.006044395,113420009472,14182776832,1323.5402385184952,7.9970241945917975,18.76449329866761,2346.4344788849835,False,1,nearest,172.71,,172.71,90.0,,90.0,1.0439274604500002,96.89314285714286,0.5856604282200001
35,decode,8,92,202284821290242,202284827320028,0.006029786,113423220736,14183235584,1326.746919376575,7.996991946178478,18.810488587157156,2352.1955147330273,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04140434006,96.89314285714286,0.584244916296
36,decode,8,93,202284827334078,202284833374383,0.006040305,113426432000,14183694336,1324.4364316040333,7.996959699851219,18.778262355957192,2348.175189166772,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04322107655,96.89314285714286,0.5852641352657143
37,decode,8,94,202284833390103,202284839443188,0.006053085,113429643264,14184153088,1321.6401223508344,7.9969274556098195,18.739145950205558,2343.2932278334106,False,1,nearest,172.71,,172.71,90.0,,90.0,1.04542831035,96.89314285714286,0.5865024296314286
38,decode,8,95,202284839457158,202284845558733,0.006101575,113432854528,14184611840,1311.1368785928223,7.996895213454075,18.590749851964453,2324.7459614935487,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.05380301825,96.89314285714286,0.5912007781285714
39,decode,8,96,202284845572613,202284851621778,0.006049165,113436065792,14185070592,1322.4965759737088,7.996862973383784,18.752351075231047,2344.963410983169,False,1,nearest,172.71,,172.71,90.0,,90.0,1.04475128715,96.89314285714286,0.5861226085114286
40,decode,8,97,202284851635688,202284857678803,0.006043115,113439277056,14185529344,1323.8205792873378,7.996830735398746,18.77165618327634,2347.3869592089513,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04370639165,96.89314285714286,0.5855364049971429
41,decode,8,98,202284857693363,202284863730529,0.006037166,113442488320,14185988096,1325.125066960226,7.996798499498755,18.790685616396832,2349.776053201121,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04267893986,96.89314285714286,0.5849599876902858
42,decode,8,99,202284863745769,202284869805014,0.006059245,113445699584,14186446848,1320.2965055877423,7.996766265683611,18.722745091839,2341.28952501508,False,1,nearest,172.71,,172.71,90.0,,90.0,1.0464922039500002,96.89314285714286,0.5870992913914287
43,decode,8,100,202284869818863,202284875859169,0.006040306,113448910848,14186905600,1324.436212337587,7.996734033953112,18.78198072216871,2348.706439706863,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04322124926,96.89314285714286,0.5852642321588571
44,decode,8,101,202284875873379,202284881903864,0.006030485,113452122112,14187364352,1326.5931347147036,7.9967018043070555,18.81310078907418,2352.607518632415,False,1,nearest,172.71,,172.71,90.0,,90.0,1.04152506435,96.89314285714286,0.5843126446028573
45,decode,8,102,202284881918184,202284887965109,0.006046925,113455333376,14187823104,1322.9864765976095,7.996669576745239,18.762483969290177,2346.28726236889,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.0443644167500001,96.89314285714286,0.5859055678714286
46,decode,8,103,202284887978999,202284894016675,0.006037676,113458544640,14188281856,1325.0131341926929,7.99663735126746,18.791757729298492,2349.9574763534843,False,1,single_sample,172.71,,172.71,90.0,,90.0,1.04276702196,96.89314285714286,0.5850094031931429
