step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,118,59,39488669042521,39488777779106,0.108736585,913312006144,9059360768,1085.1913364761272,100.8141776812834,8.399307428534748,83.3147442325874,False,7,sampled,11.973285714285714,0.5913920623652057,12.651,85.71428571428571,6.799859942535231,94.0,1.3019341998007141,8.811834576400841,0.958168799422749
1,decode,2,59,39488777950680,39488864654914,0.086704234,18139709440,9059532800,23.06692427500138,2.002278687042228,0.20921365201150385,104.4877785322456,False,6,sampled,13.046,0.0,13.046,91.16666666666667,3.1885210782848317,96.0,1.131143436764,9.884548862115127,0.8570322375252637
2,decode,2,60,39488864851007,39488952485045,0.087634038,18140397568,9059704832,22.822182403599843,2.002316621169143,0.20700173108535752,103.38111809933945,False,6,sampled,13.046,0.0,13.046,90.33333333333333,2.804757862395017,93.0,1.143273659748,9.884548862115127,0.8662229305954537
3,decode,2,61,39488952623628,39489039530146,0.086906518,18141085696,9059876864,23.013233598888405,2.0023545538554464,0.20874252142975053,104.24853132419825,False,7,sampled,12.651,0.0,12.651,91.71428571428571,3.093772546815388,96.0,1.099454359218,9.489548862115127,0.8247036489972878
4,decode,2,62,39489039671137,39489126278794,0.086607657,18141773824,9060048896,23.092646415778226,2.0023924851012196,0.20947078413632642,104.61025283249494,False,6,sampled,12.651000000000002,0.0,12.651,90.16666666666667,3.125166662222459,92.0,1.0956734687070002,9.489548862115129,0.8218675929348074
5,decode,2,63,39489126439535,39489213576084,0.087136549,18142461952,9060220928,22.95248116837861,2.0024304149065446,0.20820725815065275,103.97727511563488,False,6,sampled,12.519333333333334,0.20397712290025707,12.651,88.16666666666667,5.192943930629973,92.0,1.0908915024473333,9.357882195448461,0.8154135604599223
6,decode,2,64,39489213705658,39489300186133,0.086480475,18143150080,9060392960,23.126607479896474,2.002468343271504,0.20979475517450616,104.76807579976868,False,7,sampled,12.256,0.0,12.256,91.57142857142857,3.101458950082625,96.0,1.0599047016,9.094548862115127,0.7865009055064257
7,decode,2,65,39489300334800,39489386590275,0.086255475,18143838208,9060564992,23.186933930860622,2.00250627019618,0.21034998889056028,105.04336092288635,False,5,sampled,12.256,0.0,12.256,90.4,1.949358868961793,92.0,1.0571471016,9.094548862115127,0.7844546320124498
8,decode,2,66,39489386764220,39489473318747,0.086554527,18144526336,9060737024,23.10682143754306,2.002544195680654,0.20963116505737475,104.68241625305167,False,6,sampled,12.256,0.0,12.256,91.16666666666667,2.786873995477131,94.0,1.0608122829120001,9.094548862115127,0.7871743750387631
9,decode,2,67,39489473464192,39489560177775,0.086713583,18145214464,9060909056,23.064437321197996,2.002582119725008,0.20925458084231163,104.49238449759365,False,6,sampled,12.256,0.0,12.256,90.5,3.449637662132068,94.0,1.062761673248,9.094548862115127,0.7886209176025756
10,decode,2,68,39489560310016,39489646781136,0.08647112,18145902592,9061081088,23.12910946452411,2.0026200423293243,0.2098492836914799,104.78736817564061,False,6,sampled,12.256,0.0,12.256,90.5,3.0166206257996713,94.0,1.05979004672,9.094548862115127,0.7864158260018206
11,decode,2,69,39489646932145,39489733586969,0.086654824,18146590720,9061253120,23.08007688065929,2.002657963493685,0.20941235446972922,104.56720932235693,False,6,sampled,12.256833333333333,0.002041241452318909,12.261,89.66666666666667,3.011090610836324,92.0,1.0621137352973333,9.09538219544846,0.7881587433593199
12,decode,2,70,39489733958043,39489821261924,0.087303881,18147278848,9061425152,22.908489028110903,2.002695883218172,0.20786336918973855,103.79177933682008,False,7,sampled,11.916571428571428,0.1496739313116543,12.256,89.85714285714286,3.9761191895520196,95.0,1.040362933928,8.755120290686556,0.7643559799987845
13,decode,2,71,39489821546693,39489910005604,0.088458911,18147966976,9061597184,22.609367189700084,2.0027338015028677,0.20515702455346754,102.43848902910415,False,6,sampled,11.86,0.0,11.86,89.0,6.0332412515993425,93.0,1.04912268446,8.698548862115127,0.7694641596229933
14,decode,2,72,39489910327595,39489997602663,0.087275068,18148655104,9061769216,22.91605203905427,2.0027717183478533,0.20794776240105595,103.82998745987801,False,6,sampled,11.86,0.0,11.86,88.66666666666667,5.921711464320654,92.0,1.0350823064799999,8.698548862115127,0.7591664434424202
15,decode,2,73,39489997893987,39490084529219,0.086635232,18149343232,9061941248,23.08529629146719,2.0028096337532113,0.20949148300312742,104.598799342974,False,6,sampled,11.86,0.0,11.86,90.33333333333333,2.804757862395017,93.0,1.02749385152,8.698548862115127,0.75360079873268
16,decode,2,74,39490084847293,39490171941478,0.087094185,18150031360,9062113280,22.963645621116953,2.002847547719024,0.2083954440815997,104.0495789701689,False,6,sampled,11.862499999999999,0.0027386127875262587,11.865,88.66666666666667,5.819507424745385,92.0,1.0331547695624999,8.701048862115126,0.7578107592910943
17,decode,2,75,39490172238441,39490259509589,0.087271148,18150719488,9062285312,22.917081370351628,2.0028854602453725,0.20798075771846153,103.8405649482232,False,7,sampled,11.864285714285714,0.0018898223650464317,11.865,90.14285714285714,3.023715784073818,93.0,1.0354098344857143,8.702834576400841,0.7595063643365951
18,decode,2,76,39490259792108,39490346487249,0.086695141,18151407616,9062457344,23.069343644068816,2.0029233713323396,0.20937052995853594,104.53247136422559,False,5,sampled,11.864,0.0022360679775001394,11.865,89.8,3.3466401061363023,92.0,1.0285511528240001,8.702548862115128,0.7544687006604606
19,decode,2,77,39490346835194,39490433458502,0.086623308,18152095744,9062629376,23.0884740628931,2.002961280980007,0.20955209588624807,104.62114164469452,False,6,sampled,12.058,0.21689813277204623,12.256,90.66666666666667,3.0767948691238205,94.0,1.0445038478639999,8.896548862115127,0.7706484922200482
20,decode,2,78,39490433761235,39490520940922,0.087179687,18152783872,9062801408,22.941123888182805,2.0029991891884564,0.20822263186147938,103.95542493746278,False,6,sampled,12.256,0.0,12.256,89.5,4.370354676682432,93.0,1.068474243872,9.094548862115127,0.792859923205403
21,decode,2,79,39490521307654,39490608647747,0.087340093,18153472000,9062973440,22.898990959398226,2.0030370959577697,0.20784809560484438,103.76647343391312,False,7,sampled,11.973142857142857,0.19322821444380997,12.256,90.85714285714286,4.259443290250164,95.0,1.0457354106451429,8.811691719257984,0.7696139742473221
22,decode,2,80,39490608943904,39490696274950,0.087331046,18154160128,9063145472,22.901363164710062,2.0030750012880296,0.20787750702081367,103.7791929344348,False,6,sampled,11.991999999999999,0.20449352067975202,12.256,89.16666666666667,4.665476038590989,92.0,1.0472739036319998,8.830548862115126,0.7711810688826237
23,decode,2,81,39490696601070,39490783442607,0.086841537,18154848256,9063317504,23.030453733217552,2.0031129051793175,0.20905719639669668,104.36615722266639,False,7,sampled,12.256,0.0,12.256,89.85714285714286,4.634241089562614,95.0,1.064329877472,9.094548862115127,0.7897846015076787
24,decode,2,82,39490783730663,39490870876301,0.087145638,18155536384,9063489536,22.95008730098459,2.003150807631715,0.20833557250450105,104.00393805138016,False,6,sampled,12.256,0.0,12.256,90.16666666666667,3.125166662222459,92.0,1.068056939328,9.094548862115127,0.7925502629111968
25,decode,2,83,39490871230486,39490958407303,0.087176817,18156224512,9063661568,22.941879146608436,2.003188708645305,0.20826895425649689,103.96871415940777,False,6,sampled,12.256,0.0,12.256,88.0,7.509993342207435,92.0,1.068439069152,9.094548862115127,0.7928338218501687
26,decode,2,84,39490958704572,39491045599557,0.086894985,18156912640,9063833600,23.016287994065483,2.0032266082201686,0.20895236520266391,104.30790223394366,False,6,sampled,12.256,0.0,12.256,90.5,3.449637662132068,94.0,1.06498493616,9.094548862115127,0.790270686955261
27,decode,2,85,39491045894751,39491132721227,0.086826476,18157600768,9064005632,23.03444861680209,2.003264506356388,0.20912516094745112,104.39218599635439,False,6,sampled,12.256,0.0,12.256,90.5,2.8809720581775866,93.0,1.064145289856,9.094548862115127,0.7896476285072664
28,decode,2,86,39491133002412,39491219662819,0.086660407,18158288896,9064177664,23.078589972465743,2.003302403054045,0.20953385201618083,104.59421987251918,False,6,sampled,12.256,0.0,12.256,89.0,5.019960159204453,92.0,1.062109948192,9.094548862115127,0.7881373058722838
29,decode,2,87,39491219948032,39491307159374,0.087211342,18158977024,9064349696,22.932796974962272,2.003340298313222,0.2082180666821983,103.9354456442145,False,7,sampled,12.256,0.0,12.256,90.85714285714286,3.9761191895520196,96.0,1.068862207552,9.094548862115127,0.7931478111496332
30,decode,2,88,39491307454263,39491394812921,0.087358658,18159665152,9064521728,22.89412458694134,2.003378192134,0.20787481822351253,103.7621448809344,False,6,sampled,12.257666666666665,0.0025819888974710978,12.261,89.16666666666667,4.622409184253019,92.0,1.0708133102113333,9.096215528781793,0.7946331814731378
31,decode,2,89,39491395097125,39491481834877,0.086737752,18160353280,9064693760,23.058010541937957,2.0034160845164615,0.20937080868777874,104.5069021387596,False,7,sampled,12.256,0.0,12.256,91.71428571428571,3.498298906339371,96.0,1.0630578885120001,9.094548862115127,0.7888407237540241
32,decode,2,90,39491482122184,39491568889233,0.086767049,18161041408,9064865792,23.050224976534583,2.003453975460688,0.20930804513128018,104.47359794384617,False,6,sampled,12.256833333333333,0.002041241452318909,12.261,90.33333333333333,3.265986323710904,93.0,1.0634892584181665,9.09538219544846,0.7891794726262041
33,decode,2,91,39491569192835,39491656171773,0.086978938,18161729536,9065037824,22.994072427051247,2.003491864966762,0.2088060621756499,104.22106813950751,False,6,sampled,12.256,0.0,12.256,88.83333333333333,5.845225972250061,92.0,1.0660138641280001,9.094548862115127,0.7910342016158822
34,decode,2,92,39491656484125,39491744650754,0.088166629,18162417664,9065209856,22.684319710125244,2.003529753034765,0.20600104449950107,102.81905930644122,False,7,sampled,12.256714285714285,0.00188982236504576,12.261,89.42857142857143,4.995235825502231,95.0,1.0806331811875713,9.095263147829412,0.8018986916120479
35,decode,2,93,39491744954606,39491832394125,0.087439519,18163105792,9065381888,22.872952903595,2.0035676396647792,0.2077219316817148,103.67602648866355,False,6,sampled,12.261000000000001,0.0,12.261,90.33333333333333,3.8297084310253524,94.0,1.072095942459,9.099548862115128,0.7956601756203441
