step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,928,58,40433259228661,40433619914160,0.360685499,12139177967616,14193786880,2572.8785952661765,855.2458952811894,33.65585253987713,39.352252639355484,False,27,sampled,23.56837037037037,4.154990124473575,30.035,96.74074074074075,2.194268628681278,98.0,8.500769427653852,20.40337037037037,7.3591998233188525
1,decode,16,58,40433620358631,40433734032236,0.113673605,226628075520,14194704384,140.7538715781909,15.965677719604422,1.9936736898596645,124.87247487224496,False,7,sampled,28.510428571428573,0.9525507610521088,30.035,95.14285714285714,2.340126166724879,97.0,3.240883195809286,25.345428571428574,2.881106235984286
2,decode,16,59,40433734458199,40433847435274,0.112977075,226634498048,14195621888,141.6216520032936,15.965098241985523,2.006022000905936,125.6504639370421,False,7,sampled,24.953714285714284,0.7713636656998466,26.083,95.28571428571429,2.4299715851758235,97.0,2.819197650385714,21.788714285714285,2.461625208010714
3,decode,16,60,40433847855061,40433961859948,0.114004887,226640920576,14196539392,140.34486083039582,15.964518839268402,1.9879930285444691,124.525709077717,False,7,sampled,22.528428571428574,0.5556758219030395,23.316,95.14285714285714,2.340126166724879,97.0,2.568350953573286,19.363428571428575,2.207525486218286
4,decode,16,61,40433962268365,40434075167107,0.112898742,226647343104,14197456896,141.71991393845647,15.963939511438543,2.0075276224424186,125.75389809037907,False,8,sampled,20.752875,0.47291268825681293,21.349,94.75,3.011881234615431,97.0,2.34297348038325,17.587875,1.98564896195325
5,decode,16,62,40434075581404,40434189716907,0.114135503,226653765632,14198374400,140.18425099506504,15.963360258481421,1.9858305231458087,124.39928003821913,False,8,sampled,19.224,0.41955009917086894,19.768,95.375,2.38671920665766,97.0,2.194140909672,16.059,1.8329020426770002
6,decode,16,63,40434190119748,40434302389520,0.112269772,226660188160,14199291904,142.51387274572892,15.962781080382527,2.0188888257473256,126.47475496788218,False,7,sampled,18.07314285714286,0.2985919336772892,18.581,95.71428571428571,1.7043362064926935,97.0,2.0290676278948574,14.90814285714286,1.6737337995148576
7,decode,16,64,40434302802641,40434418306915,0.115504274,226666610688,14200209408,138.52301257700645,15.96220197712735,1.9624088601950782,122.94098665128183,False,8,sampled,17.197499999999998,0.21113638111081504,17.395,93.875,5.276294695549682,97.0,1.9863847521149998,14.032499999999999,1.6208137249049999
8,decode,16,65,40434418720322,40434534101504,0.115381182,226673033216,14201126912,138.67079295478183,15.961622948701383,1.9645580785955201,123.08009560865827,False,8,sampled,16.506,0.18331237975496556,16.605,95.125,3.758324094593227,97.0,1.904481790092,13.341000000000001,1.539300349062
9,decode,16,66,40434534512985,40434649488122,0.114975137,226679455744,14202044416,139.160521287311,15.961043995090122,1.9715519516536866,123.52274401725653,False,7,sampled,16.09614285714286,0.1927402644073351,16.209,94.57142857142857,3.8234863173611093,97.0,1.8506562301715717,12.93114285714286,1.4867599215665717
10,decode,16,67,40434649884038,40434764030235,0.114146197,226685878272,14202961920,140.17111757126696,15.96046511627907,1.9859258059381513,124.42781532178421,False,8,sampled,15.814,0.0,15.814,95.875,2.03100960115899,97.0,1.8051079593580002,12.649000000000001,1.4438352458530002
11,decode,16,68,40434764443013,40434880117237,0.115674224,226692300800,14203879424,138.31949285434584,15.95988631225373,1.959747755040051,122.79208740574737,False,8,sampled,15.419,0.0,15.419,92.875,8.201698430377524,97.0,1.7835808598560001,12.254000000000001,1.4174719408960001
12,decode,16,69,40434880515820,40434995106901,0.114591081,226698723328,14204796928,139.6269226223636,15.959307582999612,1.9783278187942044,123.96075509576526,False,8,sampled,15.419,0.0,15.419,95.25,1.9086270308410553,97.0,1.766879877939,12.254000000000001,1.404199106574
13,decode,16,70,40434995525401,40435111265221,0.11573982,226705145856,14205714432,138.24109973559663,15.958728928502229,1.9587480424282673,122.73834910059477,False,9,sampled,15.023,0.0,15.023,95.44444444444444,2.1278575558006176,97.0,1.7387593158599999,11.858,1.3724427855599999
14,decode,16,71,40435111676749,40435228675994,0.116999245,226711568384,14206631936,136.75301921820093,15.958150348747093,1.9377182167628517,121.4249881356072,False,7,sampled,15.023,0.0,15.023,92.28571428571429,9.877825093178588,97.0,1.757679657635,11.858,1.38737704721
15,decode,16,72,40435229075948,40435345509383,0.116433435,226717990912,14207549440,137.4175725383349,15.957571843719728,1.9471897476184568,122.0229347351987,False,7,sampled,15.023,0.0,15.023,95.28571428571429,2.4299715851758235,97.0,1.749179494005,11.858,1.38066767223
16,decode,16,73,40435345933733,40435460085172,0.114151439,226724413440,14208466944,140.16468070980693,15.956993413405657,1.9861721886834909,124.47032703635037,False,7,sampled,14.966571428571427,0.1492959668386446,15.023,95.0,2.70801280154532,97.0,1.708455665467714,11.801571428571428,1.3471663610327143
17,decode,16,74,40435460503875,40435576932549,0.116428674,226730835968,14209384448,137.42319181613286,15.956415057790405,1.9473796976164137,122.04368528666745,False,7,sampled,15.023,0.0,15.023,95.71428571428571,2.2146697055682827,97.0,1.749107969502,11.858,1.3806112162920001
18,decode,16,75,40435577425030,40435691289825,0.113864795,226737258496,14210301952,140.5175322188039,15.955836776859504,1.9912850016196841,124.79978514869323,False,7,sampled,14.797285714285715,0.21113638111081504,15.023,95.42857142857143,2.5071326821120348,97.0,1.6848899044135717,11.632285714285715,1.3245078282385716
19,decode,16,76,40435691702362,40435808362675,0.116660313,226743681024,14211219456,137.15032634963015,15.95525857059849,1.9436231156348776,121.81708663853833,False,8,sampled,15.023,0.0,15.023,95.5,2.32992949004287,97.0,1.752587882199,11.858,1.3833579915540002
20,decode,16,77,40435808798063,40435923342371,0.114544308,226750103552,14212136960,139.68393785224143,15.954680438992899,1.9795842107841797,124.07545349176146,False,7,sampled,15.023,0.0,15.023,95.0,2.309401076758503,97.0,1.7207991390839998,11.858,1.358266404264
21,decode,16,78,40435923750639,40436040217065,0.116466426,226756526080,14213054464,137.37864678701482,15.954102382028275,1.9469690439371772,122.03563681090378,False,7,sampled,14.740857142857143,0.1927402644073351,15.023,95.28571428571429,1.889822365046136,96.0,1.7168149476051429,11.575857142857142,1.3481987093151429
