step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,236,59,46618783796841,46618952754705,0.168817679,1826624012288,9069510656,1397.957852506668,201.40270865436204,10.820099074386635,53.723701864186864,False,11,sampled,14.627909090909093,1.0312228134157484,15.814,80.63636363636364,22.637458900118304,96.0,2.4694496613502728,11.439870164734597,1.9312523292718422
1,decode,4,59,46618952884233,46619022105560,0.069221327,36279418880,9069854720,57.78565903540104,4.0,0.5241075323505427,131.0268830876357,False,4,sampled,14.92425,0.1974999999999998,15.023,93.5,3.7859388972001824,96.0,1.0330763894797501,11.736211073825505,0.8123961044822964
2,decode,4,60,46619022218716,46619091525506,0.06930679,36280795136,9070198784,57.71440287452356,4.0,0.5234811067717897,130.8702766929474,False,5,sampled,14.628,0.0,14.628,95.2,2.4899799195977463,97.0,1.01381972412,11.439961073825504,0.7928669797517987
3,decode,4,61,46619091651423,46619161219240,0.069567817,36282171392,9070542848,57.49785134123153,4.0,0.5215367242585749,130.3841810646437,False,4,sampled,14.232,0.0,14.232,93.75,5.188127472091127,97.0,0.990089171544,11.043961073825503,0.7683042629390161
4,decode,4,62,46619161344073,46619231063424,0.069719351,36283547648,9070886912,57.372880593796694,4.0,0.5204229116820093,130.10572792050232,False,4,sampled,14.13325,0.1974999999999998,14.232,93.25,4.856267428111155,96.0,0.98536101752075,10.945211073825504,0.7630930126251272
5,decode,4,63,46619231184424,46619301171266,0.069986842,36284923904,9071230976,57.15360038676985,4.0,0.5184535102183923,129.61337755459806,False,5,sampled,13.837,0.0,13.837,94.0,4.527692569068709,97.0,0.968407932754,10.648961073825504,0.7452871561379758
6,decode,4,64,46619301298979,46619371438968,0.070139989,36286300160,9071575040,57.02880848755194,4.0,0.5173411156366164,129.3352789091541,False,5,sampled,13.837,0.0,13.837,90.6,8.734987120768983,97.0,0.9705270277929999,10.648961073825504,0.746918012579549
7,decode,4,65,46619371559876,46619442891718,0.071331842,36287676416,9071919104,56.075938709111135,4.0,0.5087163796499184,127.17909491247961,False,5,sampled,13.442000000000002,0.0,13.442,88.4,13.011533345459327,97.0,0.9588426201640002,10.253961073825506,0.7314339311922714
8,decode,4,66,46619443014273,46619512907432,0.069893159,36289052672,9072263168,57.23020760873035,4.0,0.5192075045856778,129.80187614641943,False,4,sampled,13.442,0.0,13.442,93.75,3.8622100754188224,96.0,0.939503843278,10.253961073825504,0.7166817317126967
9,decode,4,67,46619513039331,46619584349915,0.071310584,36290428928,9072607232,56.092655194073295,4.0,0.5089066291758317,127.22665729395794,False,5,sampled,13.442000000000002,0.0,13.442,89.0,10.074720839804943,96.0,0.9585568701280001,10.253961073825506,0.7312159524877639
10,decode,4,68,46619584481582,46619655645785,0.071164203,36291805184,9072951296,56.208034817729924,4.0,0.5099727623451358,127.49319058628394,False,5,sampled,13.125200000000001,0.1770965838179837,13.442,89.8,7.694153624668538,96.0,0.9340443972156001,9.937161073825505,0.7071701479014162
11,decode,4,69,46619655776155,46619727069893,0.071293738,36293181440,9073295360,56.10590932965249,4.0,0.5090654867893166,127.26637169732916,False,5,sampled,13.045999999999998,0.0,13.046,88.8,11.606032913963324,97.0,0.9300981059479998,9.857961073825502,0.702810894011514
12,decode,4,70,46619727200106,46619797059643,0.069859537,36294557696,9073639424,57.25775136471346,4.0,0.5195361901124538,129.88404752811346,False,4,sampled,13.046,0.0,13.046,92.5,5.744562646538029,96.0,0.9113875197019999,9.857961073825503,0.6886725963814725
