step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,120,120,48825227428473,48825345785098,0.118291402,730180730880,3704242176,1014.4439745502382,197.12013852951713,6.172728689782542,31.314551297650524,False,9,sampled,20.25088888888889,0.9640726689991328,21.349,91.66666666666667,6.4031242374328485,97.0,2.3955060384128894,17.637062685680334,2.0863128722510123
1,decode,1,120,48825345931718,48825380833944,0.034902226,7257440256,3704291328,28.65146767429676,1.9591980255825063,0.20793631489292402,106.13338324036982,False,2,sampled,20.558,0.0,20.558,68.5,0.7071067811865476,69.0,0.7175199621080001,17.944173796791443,0.626291609238893
2,decode,1,121,48825380995277,48825416254965,0.035259688,7257833472,3704340480,28.360999677592158,1.9592781795263052,0.2058394127594096,105.05879915897157,False,3,sampled,20.031333333333333,0.22805335632990192,20.163,73.0,9.16515138991168,83.0,0.7062985635573332,17.417507130124775,0.6141358671459749
3,decode,1,122,48825416402678,48825449908116,0.033505438,7258226688,3704389632,29.845901432477916,1.959358331343046,0.21662831830462867,110.56084782416515,False,3,sampled,19.504,0.22863070659909226,19.768,76.0,7.0,84.0,0.6534900627520001,16.890173796791444,0.5659126709576203
4,decode,1,123,48825450042162,48825484079832,0.03403767,7258619904,3704438784,29.379214264666178,1.9594384810328127,0.21325254942538666,108.83350076547543,False,2,sampled,19.174500000000002,0.279307178568686,19.372,70.0,2.8284271247461903,72.0,0.652655303415,16.560673796791445,0.5636867496728343
5,decode,1,124,48825484211248,48825517688002,0.033476754,7259013120,3704487936,29.87147439683071,1.9595186285956905,0.21683742456033822,110.65851653359223,False,3,sampled,18.977,0.0,18.977,71.33333333333333,8.386497083606082,81.0,0.635288360658,16.363173796791443,0.5477859438544331
6,decode,1,125,48825517807104,48825551245367,0.033438263,7259406336,3704537088,29.905859643486863,1.9595987740317637,0.21709878697945523,110.78736619781954,False,2,sampled,18.581,0.0,18.581,66.0,0.0,66.0,0.621316364803,15.967173796791442,0.5339145567838208
7,decode,1,126,48825551365747,48825584810251,0.033444504,7259799552,3704586240,29.90027898156301,1.959678917341117,0.21707003195502617,110.76816208725954,False,3,sampled,18.186,0.0,18.186,71.0,8.717797887081348,81.0,0.608221749744,15.572173796791443,0.5208036288354866
8,decode,1,127,48825584929853,48825617495849,0.032565996,7260192768,3704635392,30.706875969646376,1.9597590585238354,0.2229378388426996,113.75777949490627,False,2,sampled,17.791,0.0,17.791,68.5,2.1213203435596424,70.0,0.579381634836,15.177173796791443,0.49425978115761493
9,decode,1,128,48825617621136,48825650506447,0.032885311,7260585984,3704684544,30.408713483050228,1.9598391975800031,0.2207850789065063,112.65469084358058,False,2,sampled,17.791,0.0,17.791,66.0,0.0,66.0,0.585062568001,15.177173796791443,0.49910608040853743
10,decode,1,129,48825650536382,48825681774267,0.031237885,7260979200,3704733696,32.01241057133029,1.959919334509705,0.23244144730028937,118.59745613379394,False,3,sampled,17.527,0.22863070659909226,17.791,78.33333333333333,6.6583281184793925,84.0,0.547506410395,14.913173796791444,0.4658560080491845
11,decode,1,130,48825681893508,48825713578542,0.031685034,7261372416,3704782848,31.560641531897993,1.9599994693130258,0.22917357185098808,116.92532341925212,False,2,sampled,17.395,0.0,17.395,71.0,0.0,71.0,0.55116116643,14.781173796791442,0.46834199431124596
12,decode,1,131,48825713608848,48825745060057,0.031451209,7261765632,3704832000,31.795280111489514,1.9600796019900497,0.23088987237342767,117.79617120600992,False,2,sampled,17.0,0.0,17.0,72.0,1.4142135623730951,73.0,0.534670553,14.386173796791443,0.45246255879321123
13,decode,1,132,48825745164168,48825777600312,0.032436144,7262158848,3704881152,30.82980517042963,1.9601597325408617,0.22389094240055166,114.22076409575688,False,3,sampled,17.0,0.0,17.0,75.0,10.44030650891055,87.0,0.5514144480000001,14.386173796791443,0.466632004881754
14,decode,1,133,48825777715451,48825809788612,0.032073161,7262552064,3704930304,31.178716684644833,1.9602398609655465,0.22643705321093857,115.51497228477105,False,2,sampled,17.0,0.0,17.0,69.0,2.8284271247461903,71.0,0.5452437370000001,14.386173796791443,0.46141006835847326
