step,phase,tokens,kv_len,start_ns,end_ns,latency_s,flops,bytes,tokens_per_second,ai_flops_per_byte,achieved_tflops,achieved_gbs,drain_like,gpu_samples,gpu_quality,gpu_power_w_avg,gpu_power_w_std,gpu_power_w_peak,gpu_util_pct_avg,gpu_util_pct_std,gpu_util_pct_peak,gpu_energy_j,gpu_power_w_dyn,gpu_energy_dyn_j
0,prefill,232,58,47538010483558,47538222677867,0.212074559,3034794491904,14153875456,1093.9548859323575,214.41438433863806,14.310035613012875,66.74009142228135,False,13,sampled,16.057076923076924,1.5188093725864384,17.395,89.84615384615384,20.53795735480265,98.0,3.4052975072906153,12.841580955334988,2.7233726179654663
1,decode,4,58,47538222815905,47538321452544,0.098636639,56657018880,14154104832,40.55288218001832,4.002868394185425,0.5744013528279284,143.497436403931,False,6,sampled,16.407,0.21689813277204623,16.605,95.5,3.7282703764614498,98.0,1.618331336073,13.191504032258065,1.3011656210968832
2,decode,4,59,47538321586230,47538420755185,0.099168955,56658624512,14154334208,40.335203693534936,4.002916963764828,0.5713342901717579,142.72948835651235,False,5,sampled,15.813999999999998,0.0,15.814,96.6,1.51657508881031,98.0,1.5682578543699999,12.598504032258063,1.2493804794423184
3,decode,4,60,47538420896537,47538520507307,0.09961077,56660230144,14154563584,40.156300367922064,4.002965531770082,0.5688163051445141,142.09872671398887,False,5,sampled,15.419,0.0,15.419,95.0,3.9370039370059056,97.0,1.53589846263,12.203504032258065,1.2156004333513308
4,decode,4,61,47538520659862,47538620285420,0.099625558,56661835776,14154792960,40.15033973511094,4.003014098201264,0.5687479891053658,142.07993655603914,False,5,sampled,15.023,0.0,15.023,95.8,3.2710854467592254,98.0,1.496674757834,11.807504032258064,1.1763291778009597
5,decode,4,62,47538620430457,47538720058841,0.099628384,56663441408,14155022336,40.149200854246516,4.00306266305845,0.5687479725456552,142.0782087161024,False,6,sampled,14.628,0.0,14.628,95.5,3.0166206257996713,98.0,1.457364001152,11.412504032258065,1.1370093341273548
6,decode,4,63,47538720197739,47538819595300,0.099397561,56665047040,14155251712,40.24243612979598,4.003111226341717,0.5700848840747712,142.41045323033632,False,6,sampled,14.496,0.20449352067975202,14.628,95.16666666666667,4.02077936060494,97.0,1.4408670442559999,11.280504032258065,1.121254587657117
7,decode,4,64,47538819736188,47538919342582,0.099606394,56666652672,14155481088,40.15806455155881,4.00315978805114,0.5689057739807346,142.11418082256847,False,5,sampled,14.232,0.0,14.232,95.0,4.0,98.0,1.417598199408,11.016504032258064,1.0973142411396855
8,decode,4,65,47538919489666,47539019208603,0.099718937,56668258304,14155710464,40.1127420762618,4.0032083481867975,0.5682798073148334,141.95609068716809,False,6,sampled,14.232,0.0,14.232,95.66666666666667,3.265986323710904,97.0,1.419199911384,11.016504032258064,1.0985540715529878
9,decode,4,66,47539019353363,47539119116513,0.09976315,56669863936,14155939840,40.0949649244235,4.003256906748764,0.5680440516964431,141.8954778392623,False,5,sampled,13.916,0.1766493702224832,14.232,95.2,3.492849839314596,97.0,1.3883039954,10.700504032258065,1.0675159888457662
10,decode,4,67,47539119259920,47539218849209,0.099589289,56671469568,14156169216,40.16496191673785,4.003305463737118,0.5690518542410721,142.1454993618842,False,6,sampled,13.836999999999998,0.0,13.837,96.66666666666667,2.3380903889000244,98.0,1.3780169918929999,10.621504032258063,1.0577880346832136
11,decode,4,68,47539218994412,47539318782277,0.099787865,56673075200,14156398592,40.08503438769834,4.003354019151935,0.5679355420621536,141.8649310915711,False,6,sampled,13.836999999999998,0.0,13.837,92.5,10.074720839804943,97.0,1.3807646880049997,10.621504032258063,1.0598972104679232
12,decode,4,69,47539318928036,47539418685190,0.099757154,56674680832,14156627968,40.09737487097918,4.003402572993292,0.5681264807534505,141.91090463547107,False,6,sampled,13.836999999999998,0.0,13.837,91.5,11.623252556836231,97.0,1.3803397398979997,10.621504032258063,1.0595710134575886
13,decode,4,70,47539418828839,47539518683355,0.099854516,56676286464,14156857344,40.05827838572669,4.003451125261265,0.5675886152610263,141.77483313824283,False,6,sampled,13.836999999999998,0.0,13.837,92.83333333333333,9.32559202767667,98.0,1.3816869378919998,10.621504032258063,1.0606051443331772
14,decode,4,71,47539518829356,47539618427293,0.099597937,56677892096,14157086720,40.161474428933204,4.00349967595593,0.5690669285248349,142.14236907336746,False,5,sampled,13.837,0.0,13.837,94.0,5.049752469181039,97.0,1.378136654269,10.621504032258064,1.0578798894500847
15,decode,4,72,47539618566728,47539718371257,0.099804529,56679497728,14157316096,40.078341534981845,4.003548225077364,0.5679050669935028,141.85043742854597,False,7,sampled,13.837,0.0,13.837,95.57142857142857,2.9920529661723827,98.0,1.380995267773,10.621504032258064,1.060074207211117
